actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-31T03:11:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-31T03:11:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-31T03:11:41.2Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612744,0,0,2022-12-31T03:11:41Z,40000,False,,,0,,Jump Ball K. Looney vs. D. Eubanks: Tip to J. Poole,"[1629673, 1626172, 1629234]",1610612744.0,GSW,startperiod,J. Poole,1629673.0,Poole,J. Poole,Looney,1626172.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-12-31T03:11:59.5Z,1,REGULAR,2pt,Jump Shot,[],202691,90.22667542706965,69.36274509803921,1610612744,2,0,2022-12-31T03:12:03Z,70000,False,97.0,39.0,1,right,K. Thompson 10' turnaround fadeaway Jump Shot (2 PTS),[202691],1610612744.0,GSW,turnaround fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,10.45,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2022-12-31T03:12:22.0Z,1,REGULAR,3pt,Jump Shot,[],203924,7.966491458607096,4.166666666666666,1610612757,2,0,2022-12-31T03:12:26Z,80000,False,229.0,22.0,1,left,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,23.03,Missed,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-12-31T03:12:24.0Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,2,0,2022-12-31T03:12:43Z,90000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M04.00S,2022-12-31T03:12:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,89.56964520367937,61.274509803921575,1610612744,4,0,2022-12-31T03:12:36Z,100000,False,56.0,46.0,1,right,K. Thompson 7' driving finger roll Layup (4 PTS) (J. Poole 1 AST),"[202691, 1629673]",1610612744.0,GSW,driving finger roll,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,7.25,Made,4.0,,,,,J. Poole,1629673.0,1.0,,,,,,,,,,
12,PT10M49.00S,2022-12-31T03:12:49.3Z,1,REGULAR,3pt,Jump Shot,[],1628404,3.630091984231275,94.6078431372549,1610612757,4,0,2022-12-31T03:12:52Z,120000,False,-223.0,-18.0,1,left,MISS J. Hart 3PT,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,22.38,Missed,,,,,,,,,,,,,,,,,,
13,PT10M47.00S,2022-12-31T03:12:51.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,4,0,2022-12-31T03:13:35Z,130000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M38.00S,2022-12-31T03:12:59.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629673,93.11760840998686,59.55882352941176,1610612744,6,0,2022-12-31T03:13:07Z,140000,False,48.0,12.0,1,right,J. Poole running reverse Layup (2 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,running reverse,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,2.0,,,,,D. Green,203110.0,1.0,,,,,,,,,,
16,PT10M30.00S,2022-12-31T03:13:08.4Z,1,REGULAR,turnover,lost ball,[],203081,,,1610612757,6,0,2022-12-31T03:13:09Z,160000,False,,,0,,D. Lillard lost ball TURNOVER (1 TO),"[203081, 1628978]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,,,
