actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-03-01T03:10:29.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-01T03:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-01T03:10:31.6Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2023-03-01T03:10:31Z,40000,False,,,0,,Jump Ball K. Looney vs. D. Eubanks: Tip to D. Green,"[203110, 1626172, 1629234]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-03-01T03:10:43.8Z,1,REGULAR,2pt,Jump Shot,[],202691,93.64323258869908,71.32352941176471,1610612744,0,0,2023-03-01T03:11:00Z,70000,False,107.0,7.0,1,right,MISS K. Thompson 10' Jump Shot - blocked,"[202691, 1629680]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,10.68,Missed,Thybulle,1629680.0,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-03-01T03:10:43.8Z,1,REGULAR,block,,[],1629680,,,1610612744,0,0,2023-03-01T03:10:53Z,80000,False,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-03-01T03:10:44.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2023-03-01T03:11:00Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,8-16 Right,,,,,7.0,,,,,,,,,,,,,,,
10,PT11M34.00S,2023-03-01T03:11:11.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629673,79.188567674113,83.08823529411765,1610612744,0,0,2023-03-01T03:11:37Z,100000,False,165.0,143.0,1,right,MISS J. Poole 21' turnaround fadeaway Shot,[1629673],1610612744.0,GSW,turnaround fadeaway,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,21.87,Missed,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2023-03-01T03:11:14.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,0,2023-03-01T03:11:18Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,10.0,,,,,,,,,,,,,,,
13,PT11M16.00S,2023-03-01T03:11:40.4Z,1,REGULAR,3pt,Jump Shot,[],203924,16.245072273324574,95.09803921568627,1610612757,0,0,2023-03-01T03:11:47Z,130000,False,-225.0,100.0,1,left,MISS J. Grant 24' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,24.68,Missed,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2023-03-01T03:11:43.4Z,1,REGULAR,rebound,offensive,[],1629680,,,1610612757,0,0,2023-03-01T03:11:47Z,140000,False,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,
15,PT11M11.00S,2023-03-01T03:11:46.3Z,1,REGULAR,turnover,lost ball,[],1629629,,,1610612757,0,0,2023-03-01T03:11:50Z,150000,False,,,0,,C. Reddish lost ball TURNOVER (1 TO),"[1629629, 203110]",1610612757.0,POR,,,,Reddish,C. Reddish,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1.0,Green,203110.0,,,,,,,,,
