actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-05T01:40:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-05T01:40:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-05T01:40:48.7Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2023-02-05T01:40:48Z,40000,False,,,0,,Jump Ball K. Looney vs. D. Powell: Tip to S. Curry,"[201939, 1626172, 203939]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-02-05T01:40:59.4Z,1,REGULAR,2pt,Jump Shot,[],202691,72.7496714848883,59.55882352941176,1610612744,0,0,2023-02-05T01:41:10Z,70000,False,48.0,204.0,1,right,MISS K. Thompson 20' pullup Shot,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,20.92,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-02-05T01:41:01.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2023-02-05T01:41:10Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,16-24 Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2023-02-05T01:41:22.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203952,87.20433639947439,49.754901960784316,1610612744,0,0,2023-02-05T01:41:31Z,100000,False,-1.0,68.0,1,right,MISS A. Wiggins 6' driving Hook,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.78,Missed,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2023-02-05T01:41:25.9Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2023-02-05T01:41:31Z,110000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M36.00S,2023-02-05T01:41:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,94.40999984741211,50.0,1610612744,2,0,2023-02-05T01:41:26Z,120000,False,0.0,0.0,1,right,K. Looney putback Layup (2 PTS),[1626172],1610612744.0,GSW,putback,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M20.00S,2023-02-05T01:41:43.2Z,1,REGULAR,turnover,out-of-bounds,[],203915,,,1610612742,2,0,2023-02-05T01:41:51Z,130000,False,,,0,,S. Dinwiddie step out-of-bounds TURNOVER (1 TO),[203915],1610612742.0,DAL,step,,,Dinwiddie,S. Dinwiddie,,,,,Left Corner 3,24+ Left,,,,,,,,1155.0,1.0,,,,,,,,,,,
14,PT10M58.00S,2023-02-05T01:42:15.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201939,85.49605781865965,15.931372549019606,1610612744,4,0,2023-02-05T01:42:20Z,140000,False,-170.0,84.0,1,right,S. Curry 18' pullup Jump Shot (2 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Mid-Range,16-24 Left,18.98,Made,,,,,2.0,,,D. Green,203110.0,1.0,,,,,,,,
16,PT10M45.00S,2023-02-05T01:42:27.4Z,1,REGULAR,2pt,Jump Shot,[],203501,13.61695137976347,20.588235294117645,1610612742,4,0,2023-02-05T01:42:32Z,160000,False,147.0,75.0,1,left,MISS T. Hardaway Jr. 16' step back Shot,[203501],1610612742.0,DAL,step back,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Right,16.53,Missed,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2023-02-05T01:42:29.4Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,4,0,2023-02-05T01:42:32Z,170000,False,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Right,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT10M35.00S,2023-02-05T01:42:38.6Z,1,REGULAR,3pt,Jump Shot,[],202691,95.74572930354796,96.56862745098039,1610612744,4,0,2023-02-05T01:42:43Z,180000,False,233.0,-13.0,1,right,MISS K. Thompson 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,23.31,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2023-02-05T01:42:40.6Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,4,0,2023-02-05T01:42:58Z,190000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M21.00S,2023-02-05T01:42:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,9.543363994743759,49.754901960784316,1610612742,4,2,2023-02-05T01:42:59Z,200000,False,1.0,37.0,1,left,S. Dinwiddie driving floating Jump Shot (2 PTS),[203915],1610612742.0,DAL,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,3.72,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M09.00S,2023-02-05T01:43:20.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,91.93495400788436,54.166666666666664,1610612744,6,2,2023-02-05T01:43:27Z,220000,False,21.0,23.0,1,right,K. Thompson cutting Layup (2 PTS) (S. Curry 1 AST),"[202691, 201939]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,3.12,Made,,,,,2.0,,,S. Curry,201939.0,1.0,,,,,,,,
