actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-25T03:10:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-25T03:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-25T03:10:51.5Z,1,REGULAR,jumpball,recovered,[],1630228,,,1610612744,0,0,2023-02-25T03:10:51Z,40000,False,,,0,,Jump Ball K. Looney vs. A. Sengun: Tip to J. Kuminga,"[1630228, 1626172, 1630578]",1610612744.0,GSW,startperiod,J. Kuminga,1630228.0,Kuminga,J. Kuminga,Looney,1626172.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-02-25T03:11:02.8Z,1,REGULAR,3pt,Jump Shot,[],1628978,63.9454664914586,46.81372549019608,1610612744,0,0,2023-02-25T03:11:07Z,70000,False,-16.0,286.0,1,right,MISS D. DiVincenzo 28' 3PT,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,28.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-02-25T03:11:05.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2023-02-25T03:11:07Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-02-25T03:11:26.2Z,1,REGULAR,3pt,Jump Shot,[],1631095,27.677398160315374,82.1078431372549,1610612745,0,0,2023-02-25T03:11:49Z,90000,False,-161.0,208.0,1,left,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,26.25,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-02-25T03:11:28.2Z,1,REGULAR,rebound,offensive,[],1630231,,,1610612745,0,0,2023-02-25T03:11:43Z,100000,False,,,0,,K. Martin Jr. REBOUND (Off:1 Def:0),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M11.00S,2023-02-25T03:11:37.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,7.703679369250986,59.31372549019608,1610612745,0,2,2023-02-25T03:11:41Z,110000,False,-47.0,20.0,1,left,J. Tate driving Layup (2 PTS) (A. Sengun 1 AST),"[1630256, 1630578]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,In The Paint (Non-RA),0-8 Center,5.07,Made,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,
13,PT11M00.00S,2023-02-25T03:11:48.3Z,1,REGULAR,3pt,Jump Shot,[],202691,74.58935611038108,14.705882352941178,1610612744,3,2,2023-02-25T03:11:52Z,130000,False,-176.0,186.0,1,right,K. Thompson 25' 3PT pullup (3 PTS) (D. DiVincenzo 1 AST),"[202691, 1628978]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,25.67,Made,,,,,3.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,
15,PT10M39.00S,2023-02-25T03:12:08.7Z,1,REGULAR,3pt,Jump Shot,[],1630256,25.837713534822605,15.441176470588236,1610612745,3,5,2023-02-25T03:12:13Z,150000,False,173.0,190.0,1,left,J. Tate 25' 3PT  (5 PTS) (T. Washington Jr. 1 AST),"[1630256, 1631102]",1610612745.0,HOU,,,,Tate,J. Tate,,,,,Above the Break 3,24+ Right Center,25.71,Made,,,,,5.0,T. Washington Jr.,1631102.0,1.0,,,,,,,,,,
17,PT10M21.00S,2023-02-25T03:12:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,85.75886990801577,50.245098039215684,1610612744,5,5,2023-02-25T03:12:41Z,170000,False,1.0,81.0,1,right,J. Kuminga 8' turnaround fadeaway Jump Shot (2 PTS),[1630228],1610612744.0,GSW,turnaround fadeaway,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,8.14,Made,,,,,2.0,,,,,,,,,,,,,
