actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-03T03:11:27.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T03:11:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-03T03:11:29.0Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2022-12-03T03:11:29Z,40000,False,,,0,,Jump Ball K. Looney vs. N. Vucevic: Tip to K. Thompson,"[202691, 1626172, 202696]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-12-03T03:11:41.1Z,1,REGULAR,2pt,Jump Shot,[],203952,7.966491458607096,27.205882352941174,1610612744,2,0,2022-12-03T03:11:49Z,70000,False,114.0,22.0,1,left,A. Wiggins 11' driving bank Jump Shot (2 PTS),[203952],1610612744.0,GSW,driving bank,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,11.62,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-12-03T03:11:53.1Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612741,2,0,2022-12-03T03:12:03Z,80000,False,,,0,,K. Thompson shooting personal FOUL (1 PF) (Green 2 FT),"[202691, 1629750]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,202037.0,1.0,0.0,Green,1629750.0,,,,,,,,,,,,
10,PT11M34.00S,2022-12-03T03:12:22.3Z,1,REGULAR,freethrow,1 of 2,[],1629750,,,1610612741,2,0,2022-12-03T03:12:42Z,100000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2022-12-03T03:12:22.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,2,0,2022-12-03T03:12:42Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
12,PT11M34.00S,2022-12-03T03:12:22.3Z,1,REGULAR,freethrow,2 of 2,[],1629750,,,1610612741,2,0,2022-12-03T03:12:42Z,120000,False,,,0,,MISS J. Green Free Throw 2 of 2,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M32.00S,2022-12-03T03:12:24.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,0,2022-12-03T03:12:42Z,130000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M13.00S,2022-12-03T03:13:03.3Z,1,REGULAR,foul,offensive,[],203952,,,1610612744,2,0,2022-12-03T03:13:23Z,140000,False,,,0,,A. Wiggins offensive FOUL (1 PF),"[203952, 1627936]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Center,,,,1627541.0,1.0,0.0,Caruso,1627936.0,,,,,,,,,,,,
16,PT11M13.00S,2022-12-03T03:13:03.3Z,1,REGULAR,turnover,offensive foul,[],203952,,,1610612744,2,0,2022-12-03T03:13:03Z,160000,False,,,0,,A. Wiggins offensive foul TURNOVER (1 TO),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Center,,,,1627541.0,,,,,,,,,1.0,,,,,,,
