actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-07T00:40:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-07T00:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-07T00:40:44.0Z,1,REGULAR,jumpball,recovered,[],1630180,,,1610612737,0,0,2023-12-07T00:40:44Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Claxton: Tip to S. Bey,"[1630180, 203991, 1629651]",1610612737.0,ATL,startperiod,S. Bey,1630180.0,Bey,S. Bey,Capela,203991.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-07T00:40:59.4Z,1,REGULAR,foul,personal,[],1628969,,,1610612737,0,0,2023-12-07T00:41:07Z,70000,False,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1629027]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,202901.0,1.0,0.0,Young,1629027.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-12-07T00:41:22.9Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612737,0,0,2023-12-07T00:41:27Z,90000,False,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 203915]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,,,1.0,Dinwiddie,203915.0,,,,,,,,,,,,
10,PT11M35.00S,2023-12-07T00:41:22.9Z,1,REGULAR,steal,,[],203915,,,1610612751,0,0,2023-12-07T00:41:25Z,100000,False,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2023-12-07T00:41:28.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",1629661,89.43823915900131,10.784313725490197,1610612751,0,0,2023-12-07T00:41:36Z,110000,False,-196.0,47.0,1,right,MISS C. Johnson 20' running Shot,[1629661],1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,,,20.16,Missed,,,,,,,,,,
12,PT11M28.00S,2023-12-07T00:41:30.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,0,0,2023-12-07T00:41:37Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,11.0,,,,,,,,,
14,PT11M21.00S,2023-12-07T00:41:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,5.601182654402102,49.26470588235294,1610612737,2,0,2023-12-07T00:42:18Z,140000,False,4.0,0.0,1,left,D. Hunter cutting Layup (2 PTS) (T. Young 1 AST),"[1629631, 1629027]",1610612737.0,ATL,cutting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,0.37,Made,,2.0,T. Young,1629027.0,1.0,,,,,
16,PT11M21.00S,2023-12-07T00:41:49.9Z,1,REGULAR,foul,personal,['1freethrow'],1630560,,,1610612737,2,0,2023-12-07T00:42:09Z,160000,False,,,0,,C. Thomas shooting personal FOUL (1 PF) (Hunter 1 FT),"[1630560, 1629631]",1610612751.0,BKN,shooting,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,203591.0,1.0,0.0,Hunter,1629631.0,,,,,,,,,,,,,,,
18,PT11M21.00S,2023-12-07T00:42:10.0Z,1,REGULAR,freethrow,1 of 1,[],1629631,,,1610612737,3,0,2023-12-07T00:42:10Z,180000,False,,,0,,D. Hunter Free Throw 1 of 1 (3 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,Made,,3.0,,,,,,,,
