actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-09T23:41:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-09T23:41:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-09T23:42:00.3Z,1,REGULAR,jumpball,recovered,[],1628997,,,1610612748,0,0,2024-04-09T23:42:00Z,40000,False,,,0,,Jump Ball B. Adebayo vs. C. Capela: Tip to C. Martin,"[1628997, 1628389, 203991]",1610612748.0,MIA,startperiod,C. Martin,1628997.0,Martin,C. Martin,Adebayo,1628389.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-04-09T23:42:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,14.273981603153747,58.333333333333336,1610612748,0,0,2024-04-09T23:42:30Z,70000,False,-42.0,82.0,1,left,MISS J. Butler 9' driving floating Shot,[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,9.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2024-04-09T23:42:23.4Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,0,0,2024-04-09T23:42:30Z,80000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-04-09T23:42:30.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,83.78777923784494,31.372549019607842,1610612737,0,0,2024-04-09T23:42:35Z,90000,False,-93.0,100.0,1,right,MISS D. Murray 13' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,13.66,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-04-09T23:42:33.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2024-04-09T23:42:35Z,100000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M05.00S,2024-04-09T23:42:50.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,17.427726675427067,51.71568627450981,1610612748,0,2,2024-04-09T23:42:55Z,110000,False,-9.0,111.0,1,left,T. Herro 11' pullup Jump Shot (2 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,11.16,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M42.00S,2024-04-09T23:43:13.5Z,1,REGULAR,turnover,bad pass,[],203991,,,1610612737,0,2,2024-04-09T23:43:19Z,120000,False,,,0,,C. Capela bad pass TURNOVER (1 TO),"[203991, 1628997]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1.0,Martin,1628997.0,,,,,,,,,,
13,PT10M42.00S,2024-04-09T23:43:13.5Z,1,REGULAR,steal,,[],1628997,,,1610612748,0,2,2024-04-09T23:43:16Z,130000,False,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
14,PT10M30.00S,2024-04-09T23:43:25.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628997,5.206964520367937,3.6764705882352944,1610612748,0,2,2024-04-09T23:43:32Z,140000,False,232.0,-4.0,1,left,MISS C. Martin step back 3PT,[1628997],1610612748.0,MIA,step back,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
