actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-30T23:40:23.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-30T23:40:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-10-30T23:40:25.7Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2023-10-30T23:40:25Z,40000,False,,,0,,Jump Ball C. Capela vs. R. Gobert: Tip to J. Johnson,"[1630552, 203991, 203497]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Capela,203991.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-10-30T23:40:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,82.60512483574244,48.77450980392157,1610612737,2,0,2023-10-30T23:40:42Z,70000,False,-6.0,111.0,1,right,T. Young 11' driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,11.12,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2023-10-30T23:40:54.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203497,14.14257555847569,48.03921568627451,1610612750,2,0,2023-10-30T23:41:03Z,80000,False,10.0,80.0,1,left,MISS R. Gobert 8' turnaround Hook,[203497],1610612750.0,MIN,turnaround,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,8.1,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2023-10-30T23:40:56.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,0,2023-10-30T23:41:03Z,90000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M09.00S,2023-10-30T23:41:13.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,74.98357424441524,17.892156862745097,1610612737,2,0,2023-10-30T23:41:20Z,100000,False,-161.0,183.0,1,right,MISS D. Murray 24' pullup 3PT,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,24.32,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2023-10-30T23:41:15.5Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,2,0,2023-10-30T23:41:15Z,110000,False,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT10M58.00S,2023-10-30T23:41:24.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630552,70.90998685939553,27.205882352941174,1610612737,5,0,2023-10-30T23:41:29Z,120000,False,-114.0,221.0,1,right,J. Johnson 24' 3PT  (3 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,24.86,Made,3.0,,,,,T. Young,1629027.0,1.0,,,,,,,,,,
14,PT10M42.00S,2023-10-30T23:41:40.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,14.14257555847569,4.411764705882353,1610612750,5,3,2023-10-30T23:41:45Z,140000,False,228.0,80.0,1,left,J. McDaniels 24' 3PT  (3 PTS) (K. Towns 1 AST),"[1630183, 1626157]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,24.17,Made,3.0,,,,,K. Towns,1626157.0,1.0,,,,,,,,,,
16,PT10M24.00S,2023-10-30T23:41:57.8Z,1,REGULAR,3pt,Jump Shot,[],1629631,90.48948751642575,97.54901960784314,1610612737,8,3,2023-10-30T23:42:03Z,160000,False,238.0,37.0,1,right,D. Hunter 24' 3PT pullup (3 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,24.05,Made,3.0,,,,,,,,,,,,,,,,,
17,PT10M12.00S,2023-10-30T23:42:11.4Z,1,REGULAR,foul,personal,['2freethrow'],1630552,,,1610612750,8,3,2023-10-30T23:42:47Z,170000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (Gobert 2 FT),"[1630552, 203497]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1630886.0,1.0,0.0,Gobert,203497.0,,,,,
19,PT10M12.00S,2023-10-30T23:42:47.8Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,8,4,2023-10-30T23:42:47Z,190000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2023-10-30T23:43:03.6Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,8,5,2023-10-30T23:43:03Z,200000,False,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M54.00S,2023-10-30T23:43:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,92.46057818659659,45.34313725490196,1610612737,10,5,2023-10-30T23:43:29Z,210000,False,-23.0,18.0,1,right,D. Murray driving floating bank Jump Shot (2 PTS) (J. Johnson 1 AST),"[1627749, 1630552]",1610612737.0,ATL,driving floating bank,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,2.97,Made,2.0,,,,,J. Johnson,1630552.0,1.0,,,,,,,,,,
23,PT09M40.00S,2023-10-30T23:43:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,18.2161629434954,49.01960784313725,1610612750,10,7,2023-10-30T23:43:43Z,230000,False,5.0,119.0,1,left,K. Towns 11' turnaround fadeaway Jump Shot (2 PTS),[1626157],1610612750.0,MIN,turnaround fadeaway,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,11.88,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M23.00S,2023-10-30T23:43:52.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,79.188567674113,32.35294117647059,1610612737,12,7,2023-10-30T23:43:58Z,240000,False,-88.0,143.0,1,right,D. Murray 16' pullup Jump Shot (4 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,16.81,Made,4.0,,,,,,,,,,,,,,,,,
25,PT09M05.00S,2023-10-30T23:44:11.4Z,1,REGULAR,3pt,Jump Shot,[],1630162,16.770696452036795,94.36274509803921,1610612750,12,10,2023-10-30T23:44:16Z,250000,False,-222.0,105.0,1,left,A. Edwards 24' 3PT  (3 PTS) (M. Conley 1 AST),"[1630162, 201144]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,24.54,Made,3.0,,,,,M. Conley,201144.0,1.0,,,,,,,,,,
27,PT08M50.00S,2023-10-30T23:44:26.4Z,1,REGULAR,2pt,Jump Shot,[],1629631,90.22667542706965,70.58823529411765,1610612737,12,10,2023-10-30T23:44:33Z,270000,False,103.0,39.0,1,right,MISS D. Hunter 11' turnaround Shot,[1629631],1610612737.0,ATL,turnaround,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,11.02,Missed,,,,,,,,,,,,,,,,,,
28,PT08M47.00S,2023-10-30T23:44:29.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,12,10,2023-10-30T23:44:33Z,280000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT08M41.00S,2023-10-30T23:44:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630183,32.40801576872536,48.529411764705884,1610612750,12,13,2023-10-30T23:44:42Z,290000,False,7.0,252.0,1,left,J. McDaniels 25' 3PT  (6 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,25.22,Made,6.0,,,,,A. Edwards,1630162.0,1.0,,,,,,,,,,
31,PT08M28.00S,2023-10-30T23:44:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630552,70.90998685939553,75.0,1610612737,12,13,2023-10-30T23:44:54Z,310000,False,125.0,221.0,1,right,MISS J. Johnson 25' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,25.38,Missed,,,,,,,,,,,,,,,,,,
32,PT08M25.00S,2023-10-30T23:44:51.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,12,13,2023-10-30T23:44:54Z,320000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT08M10.00S,2023-10-30T23:45:06.4Z,1,REGULAR,3pt,Jump Shot,[],201144,28.597240473061763,75.0,1610612750,12,13,2023-10-30T23:45:12Z,330000,False,-125.0,216.0,1,left,MISS M. Conley 24' 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,24.98,Missed,,,,,,,,,,,,,,,,,,
34,PT08M07.00S,2023-10-30T23:45:09.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,12,13,2023-10-30T23:45:12Z,340000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT07M59.00S,2023-10-30T23:45:17.3Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,12,13,2023-10-30T23:45:24Z,350000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1630162]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,Edwards,1630162.0,,
36,PT07M59.00S,2023-10-30T23:45:17.3Z,1,REGULAR,steal,,[],1630162,,,1610612750,12,13,2023-10-30T23:45:19Z,360000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
37,PT07M55.00S,2023-10-30T23:45:21.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,6.258212877792378,49.50980392156863,1610612750,12,15,2023-10-30T23:45:33Z,370000,False,2.0,6.0,1,left,J. McDaniels running DUNK (8 PTS) (A. Edwards 2 AST),"[1630183, 1630162]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,0.68,Made,8.0,,,,,A. Edwards,1630162.0,2.0,,,,,,,,,,
39,PT07M33.00S,2023-10-30T23:45:42.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,68.54467805519053,66.66666666666666,1610612737,12,15,2023-10-30T23:45:49Z,390000,False,83.0,243.0,1,right,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,25.71,Missed,,,,,,,,,,,,,,,,,,
40,PT07M32.00S,2023-10-30T23:45:43.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,12,15,2023-10-30T23:45:49Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,39.0,,,,,,,,,,,,,,,,
42,PT07M17.00S,2023-10-30T23:46:07.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,11.251642575558476,45.83333333333333,1610612750,12,17,2023-10-30T23:46:17Z,420000,False,21.0,53.0,1,left,K. Towns turnaround Hook (4 PTS),[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,5.72,Made,4.0,,,,,,,,,,,,,,,,,
45,PT07M09.00S,2023-10-30T23:46:23.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,12,17,2023-10-30T23:46:23Z,450000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M09.00S,2023-10-30T23:48:49.0Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,12,17,2023-10-30T23:49:19Z,460000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M09.00S,2023-10-30T23:48:49.0Z,1,REGULAR,substitution,in,[],203992,,,1610612737,12,17,2023-10-30T23:49:19Z,470000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M59.00S,2023-10-30T23:49:36.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,68.01905387647832,60.5392156862745,1610612737,15,17,2023-10-30T23:49:42Z,480000,False,53.0,248.0,1,right,D. Murray 25' 3PT pullup (7 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.36,Made,7.0,,,,,,,,,,,,,,,,,
49,PT06M44.00S,2023-10-30T23:49:51.6Z,1,REGULAR,3pt,Jump Shot,[],201144,31.750985545335087,42.40196078431372,1610612750,15,20,2023-10-31T00:39:10Z,490000,False,38.0,246.0,1,left,M. Conley 24' 3PT  (3 PTS) (A. Edwards 3 AST),"[201144, 1630162]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,24.89,Made,3.0,,,,,A. Edwards,1630162.0,3.0,,,,,,,,,,
51,PT06M31.00S,2023-10-30T23:50:05.7Z,1,REGULAR,2pt,Jump Shot,[],1630552,92.32917214191852,66.17647058823529,1610612737,17,20,2023-10-30T23:50:14Z,510000,False,81.0,20.0,1,right,J. Johnson 8' driving floating Jump Shot (5 PTS) (C. Capela 1 AST),"[1630552, 203991]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,8.32,Made,5.0,,,,,C. Capela,203991.0,1.0,,,,,,,,,,
53,PT06M31.00S,2023-10-30T23:50:11.7Z,1,REGULAR,foul,personal,['1freethrow'],1626157,,,1610612737,17,20,2023-10-30T23:50:32Z,530000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Johnson 1 FT),"[1626157, 1630552]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2882.0,1.0,0.0,Johnson,1630552.0,,,,,
55,PT06M31.00S,2023-10-30T23:50:17.7Z,1,REGULAR,substitution,out,[],1630183,,,1610612737,17,20,2023-10-30T23:50:27Z,550000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M31.00S,2023-10-30T23:50:17.7Z,1,REGULAR,substitution,in,[],203937,,,1610612737,17,20,2023-10-30T23:50:27Z,560000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M31.00S,2023-10-30T23:50:32.9Z,1,REGULAR,freethrow,1 of 1,[],1630552,,,1610612737,18,20,2023-10-30T23:50:32Z,570000,False,,,0,,J. Johnson Free Throw 1 of 1 (6 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
58,PT06M09.00S,2023-10-30T23:50:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,10.068988173455978,44.36274509803921,1610612750,18,20,2023-10-30T23:51:04Z,580000,False,28.0,42.0,1,left,MISS R. Gobert Layup - blocked,"[203497, 203991]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,Capela,203991.0
59,PT06M09.00S,2023-10-30T23:50:56.8Z,1,REGULAR,block,,[],203991,,,1610612750,18,20,2023-10-30T23:50:59Z,590000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
60,PT06M07.00S,2023-10-30T23:50:58.8Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,18,20,2023-10-30T23:51:04Z,600000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,
61,PT06M07.00S,2023-10-30T23:51:02.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612750,18,20,2023-10-30T23:51:14Z,610000,False,,,0,,MIN shot clock Team TURNOVER,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,,,,,,,,,
62,PT05M51.00S,2023-10-30T23:51:27.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203991,92.32917214191852,50.73529411764706,1610612737,18,20,2023-10-30T23:51:33Z,620000,False,4.0,20.0,1,right,MISS C. Capela Layup - blocked,"[203991, 203497]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,Gobert,203497.0
63,PT05M51.00S,2023-10-30T23:51:27.6Z,1,REGULAR,block,,[],203497,,,1610612737,18,20,2023-10-30T23:51:30Z,630000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT05M48.00S,2023-10-30T23:51:30.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,18,20,2023-10-30T23:51:33Z,640000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,
65,PT05M45.00S,2023-10-30T23:51:34.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,5.995400788436268,94.85294117647058,1610612750,18,23,2023-10-30T23:51:45Z,650000,False,-224.0,4.0,1,left,A. Edwards 3PT running (6 PTS) (M. Conley 2 AST),"[1630162, 201144]",1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,22.43,Made,6.0,,,,,M. Conley,201144.0,2.0,,,,,,,,,,
67,PT05M33.00S,2023-10-30T23:51:47.8Z,1,REGULAR,foul,personal,[],1630162,,,1610612737,18,23,2023-10-30T23:51:53Z,670000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1627749]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2882.0,1.0,0.0,Murray,1627749.0,,,,,
69,PT05M33.00S,2023-10-30T23:51:53.8Z,1,REGULAR,substitution,out,[],1630552,,,1610612737,18,23,2023-10-30T23:52:06Z,690000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M33.00S,2023-10-30T23:51:53.8Z,1,REGULAR,substitution,out,[],201144,,,1610612737,18,23,2023-10-30T23:52:06Z,700000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M33.00S,2023-10-30T23:51:53.8Z,1,REGULAR,substitution,out,[],203497,,,1610612737,18,23,2023-10-30T23:52:06Z,710000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M33.00S,2023-10-30T23:51:53.8Z,1,REGULAR,substitution,in,[],1630180,,,1610612737,18,23,2023-10-30T23:52:06Z,720000,False,,,0,,SUB in: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M33.00S,2023-10-30T23:51:53.8Z,1,REGULAR,substitution,in,[],1629675,,,1610612737,18,23,2023-10-30T23:52:06Z,730000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M33.00S,2023-10-30T23:51:53.8Z,1,REGULAR,substitution,in,[],1629638,,,1610612737,18,23,2023-10-30T23:52:06Z,740000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M23.00S,2023-10-30T23:52:25.7Z,1,REGULAR,2pt,Jump Shot,[],203992,96.1892247043364,11.297487745098039,1610612737,20,23,2023-10-30T23:58:31Z,750000,False,-194.0,-17.0,1,right,B. Bogdanovic 19' Jump Shot (2 PTS) (D. Hunter 1 AST),"[203992, 1629631]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Left,19.42,Made,2.0,,,,,D. Hunter,1629631.0,1.0,,,,,,,,,,
77,PT05M09.00S,2023-10-30T23:52:40.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.521024967148489,46.81372549019608,1610612750,20,23,2023-10-30T23:52:48Z,770000,False,16.0,9.0,1,left,MISS K. Towns driving reverse Layup,[1626157],1610612750.0,MIN,driving reverse,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.82,Missed,,,,,,,,,,,,,,,,,,
78,PT05M06.00S,2023-10-30T23:52:43.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,20,23,2023-10-30T23:52:48Z,780000,False,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,77.0,3.0,3.0,0.0,,,,,,,,,,,,,
