actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-11T00:40:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T00:40:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-11T00:40:24.8Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2024-01-11T00:40:24Z,40000,False,,,0,,Jump Ball O. Okongwu vs. P. Reed: Tip to T. Young,"[1629027, 1630168, 1630194]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Okongwu,1630168.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-11T00:40:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,92.32917214191852,48.28431372549019,1610612737,2,0,2024-01-11T00:41:51Z,70000,False,-9.0,20.0,1,right,O. Okongwu cutting Layup (2 PTS) (T. Young 1 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,
9,PT11M44.00S,2024-01-11T00:40:43.8Z,1,REGULAR,foul,personal,['1freethrow'],1630194,,,1610612737,2,0,2024-01-11T00:40:56Z,90000,False,,,0,,P. Reed shooting personal FOUL (1 PF) (Okongwu 1 FT),"[1630194, 1630168]",1610612755.0,PHI,shooting,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,1151.0,1.0,0.0,Okongwu,1630168.0,,,,,,,,,
11,PT11M44.00S,2024-01-11T00:41:00.3Z,1,REGULAR,freethrow,1 of 1,[],1630168,,,1610612737,3,0,2024-01-11T00:41:00Z,110000,False,,,0,,O. Okongwu Free Throw 1 of 1 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2024-01-11T00:41:20.5Z,1,REGULAR,2pt,Jump Shot,[],202699,16.376478318002626,79.41176470588235,1610612755,3,0,2024-01-11T00:41:26Z,120000,False,-147.0,101.0,1,left,MISS T. Harris 17' Jump Shot,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left,17.87,Missed,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2024-01-11T00:41:23.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,3,0,2024-01-11T00:41:26Z,130000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M15.00S,2024-01-11T00:41:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,83.39356110381078,42.8921568627451,1610612737,5,0,2024-01-11T00:41:34Z,140000,False,-36.0,104.0,1,right,D. Murray 10' driving floating Jump Shot (2 PTS),[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.95,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2024-01-11T00:41:43.9Z,1,REGULAR,3pt,Jump Shot,[],1629001,12.565703022339028,96.81372549019608,1610612755,5,3,2024-01-11T00:41:49Z,150000,False,-234.0,66.0,1,left,D. Melton 24' 3PT  (3 PTS) (T. Harris 1 AST),"[1629001, 202699]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,24.31,Made,3.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
17,PT10M46.00S,2024-01-11T00:41:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,91.80354796320631,40.68627450980392,1610612737,5,3,2024-01-11T00:42:04Z,170000,False,-47.0,25.0,1,right,MISS D. Murray driving floating bank Shot,[1627749],1610612737.0,ATL,driving floating bank,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,5.26,Missed,,,,,,,,,,,,,,,,,,
