actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-31T00:40:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-31T00:40:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-31T00:40:20.9Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2024-01-31T00:40:20Z,40000,False,,,0,,Jump Ball C. Capela vs. J. Hayes: Tip to T. Young,"[1629027, 203991, 1629637]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Hayes,1629637.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-01-31T00:40:39.3Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2024-01-31T00:40:43Z,70000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1627752]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Center,1.0,Prince,1627752.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-01-31T00:40:39.3Z,1,REGULAR,steal,,[],1627752,,,1610612747,0,0,2024-01-31T00:40:41Z,80000,False,,,0,,T. Prince STEAL (1 STL),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2024-01-31T00:40:54.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630559,10.988830486202366,51.9607843137255,1610612747,0,2,2024-01-31T00:41:00Z,90000,False,-10.0,51.0,1,left,A. Reaves driving finger roll Layup (2 PTS),[1630559],1610612747.0,LAL,driving finger roll,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,5.17,Made,2.0,,,,,,,,,,,,,,
10,PT11M09.00S,2024-01-31T00:41:07.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,69.85873850197109,70.58823529411765,1610612737,0,2,2024-01-31T00:41:14Z,100000,False,103.0,231.0,1,right,MISS D. Murray 25' pullup 3PT,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,25.27,Missed,,,,,,,,,,,,,,,
11,PT11M06.00S,2024-01-31T00:41:10.5Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612737,0,2,2024-01-31T00:41:14Z,110000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M03.00S,2024-01-31T00:41:13.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630180,91.01511169513797,3.431372549019608,1610612737,0,2,2024-01-31T00:41:18Z,120000,False,-233.0,32.0,1,right,MISS S. Bey step back 3PT,[1630180],1610612737.0,ATL,step back,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,,,,23.5,Missed,,,,,,,,,,,,,,,
13,PT11M01.00S,2024-01-31T00:41:15.8Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,0,2,2024-01-31T00:41:18Z,130000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Left Corner 3,24+ Left,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M50.00S,2024-01-31T00:41:26.7Z,1,REGULAR,3pt,Jump Shot,[],1627752,25.969119579500656,17.647058823529413,1610612747,0,2,2024-01-31T00:41:32Z,140000,False,162.0,192.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,25.08,Missed,,,,,,,,,,,,,,,
15,PT10M47.00S,2024-01-31T00:41:29.7Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,2,2024-01-31T00:41:32Z,150000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M39.00S,2024-01-31T00:41:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,86.41590013140605,59.80392156862745,1610612737,0,2,2024-01-31T00:41:48Z,160000,False,49.0,75.0,1,right,MISS T. Young 8' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Right,,,,8.98,Missed,,,,,,,,,,,,,,,
17,PT10M35.00S,2024-01-31T00:41:42.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,2,2024-01-31T00:41:48Z,170000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M32.00S,2024-01-31T00:41:46.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",2544,11.383048620236531,57.84313725490197,1610612747,0,4,2024-01-31T00:42:19Z,180000,False,-39.0,55.0,1,left,L. James 6' driving floating bank Jump Shot (2 PTS),[2544],1610612747.0,LAL,driving floating bank,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,6.71,Made,2.0,,,,,,,,,,,,,,
19,PT10M32.00S,2024-01-31T00:41:54.7Z,1,REGULAR,foul,personal,['1freethrow'],1630552,,,1610612747,0,4,2024-01-31T00:42:14Z,190000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (James 1 FT),"[1630552, 2544]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202056.0,1.0,0.0,James,2544.0,,,,,
21,PT10M32.00S,2024-01-31T00:42:15.9Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],2544,,,1610612747,0,5,2024-01-31T00:42:16Z,210000,False,,,0,,L. James Free Throw 1 of 1 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
22,PT10M23.00S,2024-01-31T00:42:25.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630552,93.51182654402102,49.26470588235294,1610612737,2,5,2024-01-31T00:42:32Z,220000,False,-4.0,8.0,1,right,J. Johnson cutting DUNK (2 PTS) (T. Young 1 AST),"[1630552, 1629027]",1610612737.0,ATL,cutting,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,0.93,Made,2.0,,,,,,,,,,T. Young,1629027.0,1.0,,
24,PT10M09.00S,2024-01-31T00:42:38.8Z,1,REGULAR,2pt,Jump Shot,[],1626156,22.552562417871222,51.225490196078425,1610612747,2,5,2024-01-31T00:42:45Z,240000,False,-6.0,159.0,1,left,MISS D. Russell 15' pullup Shot,[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Center,,,,15.96,Missed,,,,,,,,,,,,,,,
