actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-11T00:40:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-11T00:40:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-11T00:40:21.8Z,1,REGULAR,jumpball,recovered,[],1641708,,,1610612745,0,0,2024-02-11T00:40:21Z,40000,False,,,0,,Jump Ball J. Green vs. O. Okongwu: Tip to A. Thompson,"[1641708, 201145, 1630168]",1610612745.0,HOU,startperiod,A. Thompson,1641708.0,Thompson,A. Thompson,Green,201145.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-02-11T00:40:40.8Z,1,REGULAR,3pt,Jump Shot,[],201145,95.22010512483574,94.85294117647058,1610612745,0,0,2024-02-11T00:40:47Z,70000,False,224.0,-8.0,1,right,MISS J. Green 3PT,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,22.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-02-11T00:40:46.8Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612745,0,0,2024-02-11T00:40:47Z,80000,False,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-02-11T00:40:46.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628415,94.40999984741211,50.0,1610612745,0,0,2024-02-11T00:40:46Z,90000,False,0.0,0.0,1,right,MISS D. Brooks tip Layup,[1628415],1610612745.0,HOU,tip,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-02-11T00:40:47.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,0,2024-02-11T00:40:47Z,100000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-02-11T00:41:00.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,6.521024967148489,49.26470588235294,1610612737,2,0,2024-02-11T00:41:05Z,110000,False,4.0,9.0,1,left,O. Okongwu alley-oop DUNK (2 PTS) (T. Young 1 AST),"[1630168, 1629027]",1610612737.0,ATL,alley-oop,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,
13,PT11M04.00S,2024-02-11T00:41:15.6Z,1,REGULAR,turnover,traveling,[],1631095,,,1610612745,2,0,2024-02-11T00:41:22Z,130000,False,,,0,,J. Smith Jr. traveling TURNOVER (1 TO),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,,,,,,,,,,,204059.0,1.0,,,,,,,,
14,PT10M51.00S,2024-02-11T00:41:41.0Z,1,REGULAR,foul,offensive,[],1630552,,,1610612737,2,0,2024-02-11T00:41:49Z,140000,False,,,0,,J. Johnson offensive FOUL (1 PF),"[1630552, 1641708]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,204059.0,,1.0,0.0,Thompson,1641708.0,,,,
16,PT10M51.00S,2024-02-11T00:41:41.0Z,1,REGULAR,turnover,offensive foul,[],1630552,,,1610612737,2,0,2024-02-11T00:41:41Z,160000,False,,,0,,J. Johnson offensive foul TURNOVER (1 TO),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,204059.0,1.0,,,,,,,,
