actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-30T23:41:58.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-30T23:41:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-30T23:42:02.9Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-03-30T23:42:02Z,40000,False,,,0,,Jump Ball B. Lopez vs. C. Capela: Tip to G. Antetokounmpo,"[203507, 201572, 203991]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-03-30T23:42:20.9Z,1,REGULAR,foul,personal,['2freethrow'],1630249,,,1610612749,0,0,2024-03-30T23:42:44Z,70000,False,,,0,,V. Krejci shooting personal FOUL (1 PF) (Lopez 2 FT),"[1630249, 201572]",1610612737.0,ATL,shooting,,,Krejci,V. Krejci,,,,,In The Paint (Non-RA),0-8 Center,1626301.0,1.0,0.0,Lopez,201572.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2024-03-30T23:42:47.6Z,1,REGULAR,freethrow,1 of 2,[],201572,,,1610612749,0,1,2024-03-30T23:42:47Z,90000,False,,,0,,B. Lopez Free Throw 1 of 2 (1 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M39.00S,2024-03-30T23:43:04.5Z,1,REGULAR,freethrow,2 of 2,[],201572,,,1610612749,0,2,2024-03-30T23:43:04Z,100000,False,,,0,,B. Lopez Free Throw 2 of 2 (2 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M25.00S,2024-03-30T23:43:25.5Z,1,REGULAR,foul,technical,['1freethrow'],201572,,,1610612737,0,2,2024-03-30T23:43:38Z,110000,False,,,0,,B. Lopez defensive-3-second technical FOUL (1 Tech),[201572],1610612749.0,MIL,defensive-3-second,,,Lopez,B. Lopez,,,,,,,1626301.0,0.0,1.0,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2024-03-30T23:43:42.8Z,1,REGULAR,freethrow,1 of 1,[],203992,,,1610612737,1,2,2024-03-30T23:43:42Z,120000,False,,,0,,B. Bogdanovic technical Free Throw 1 of 1 (1 PTS),[203992],1610612737.0,ATL,technical,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
13,PT11M15.00S,2024-03-30T23:44:03.4Z,1,REGULAR,3pt,Jump Shot,[],1627749,69.72733245729303,30.14705882352941,1610612737,4,2,2024-03-30T23:44:08Z,130000,False,-99.0,232.0,1,right,D. Murray 25' 3PT  (3 PTS) (D. Hunter 1 AST),"[1627749, 1629631]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.24,D. Hunter,1629631.0,1.0,,,,,,,,,
15,PT11M05.00S,2024-03-30T23:44:13.1Z,1,REGULAR,2pt,Jump Shot,[],203507,7.835085413929041,77.69607843137256,1610612749,4,2,2024-03-30T23:44:18Z,150000,False,-138.0,21.0,1,left,MISS G. Antetokounmpo 14' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,,,,Missed,,14.01,,,,,,,,,,,,
16,PT11M02.00S,2024-03-30T23:44:16.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,4,2,2024-03-30T23:48:13Z,160000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M59.00S,2024-03-30T23:44:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630249,67.09921156373193,41.66666666666667,1610612737,4,2,2024-03-30T23:44:25Z,170000,False,-42.0,257.0,1,right,MISS V. Krejci 26' running pullup 3PT,[1630249],1610612737.0,ATL,running pullup,,,Krejci,V. Krejci,,,,,Above the Break 3,24+ Center,,,,,,Missed,,26.02,,,,,,,,,,,,
18,PT10M56.00S,2024-03-30T23:44:22.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,2,2024-03-30T23:44:25Z,180000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
