actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-13T00:40:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-13T00:40:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-13T00:40:57.2Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2024-02-13T00:40:57Z,40000,False,,,0,,Jump Ball N. Vucevic vs. O. Okongwu: Tip to C. White,"[1629632, 202696, 1630168]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vucevic,202696.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-02-13T00:41:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,93.24901445466492,49.01960784313725,1610612741,0,2,2024-02-13T00:41:12Z,70000,False,-5.0,11.0,1,right,A. Dosunmu driving Layup (2 PTS) (D. DeRozan 1 AST),"[1630245, 201942]",1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.2,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-13T00:41:24.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,32.40801576872536,56.372549019607845,1610612737,0,2,2024-02-13T00:41:29Z,90000,False,-32.0,252.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.41,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2024-02-13T00:41:26.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,2,2024-02-13T00:41:29Z,100000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2024-02-13T00:41:37.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,81.8166885676741,51.9607843137255,1610612741,0,2,2024-02-13T00:41:42Z,110000,False,10.0,118.0,1,right,MISS A. Dosunmu 11' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Center,11.88,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2024-02-13T00:41:40.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,2,2024-02-13T00:41:42Z,120000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M59.00S,2024-02-13T00:41:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,15.588042049934298,42.8921568627451,1610612737,0,2,2024-02-13T00:42:01Z,130000,False,36.0,94.0,1,left,MISS T. Young 10' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,10.05,Missed,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2024-02-13T00:41:57.8Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612741,0,2,2024-02-13T00:42:01Z,140000,False,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M43.00S,2024-02-13T00:42:10.7Z,1,REGULAR,3pt,Jump Shot,[],1628470,86.5473061760841,94.11764705882352,1610612741,0,2,2024-02-13T00:42:16Z,150000,False,221.0,74.0,1,right,MISS T. Craig 3PT,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,Right Corner 3,24+ Right,23.27,Missed,,,,,,,,,,,,,,,,,,
