actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-10T23:41:39.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-10T23:41:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-10T23:41:42.6Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2024-04-10T23:41:42Z,40000,False,,,0,,Jump Ball C. Capela vs. G. Williams: Tip to T. Young,"[1629027, 203991, 1629684]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Williams,1629684.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-04-10T23:41:57.6Z,1,REGULAR,3pt,Jump Shot,[],203992,29.25427069645204,22.794117647058822,1610612737,3,0,2024-04-10T23:42:03Z,70000,False,136.0,222.0,1,left,B. Bogdanovic 26' 3PT  (3 PTS) (G. Mathews 1 AST),"[203992, 1629726]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,26.08,Made,3.0,G. Mathews,1629726.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2024-04-10T23:42:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,93.11760840998686,49.50980392156863,1610612766,3,2,2024-04-10T23:42:19Z,90000,False,-2.0,12.0,1,right,G. Williams cutting Layup (2 PTS) (V. Micic 1 AST),"[1629684, 203995]",1610612766.0,CHA,cutting,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,1.25,Made,2.0,V. Micic,203995.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2024-04-10T23:42:29.5Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,3,2,2024-04-10T23:42:57Z,110000,False,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[203992, 1630544]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Mann,1630544.0,,,,,,,,,,,
12,PT11M09.00S,2024-04-10T23:42:29.5Z,1,REGULAR,steal,,[],1630544,,,1610612766,3,2,2024-04-10T23:42:32Z,120000,False,,,0,,T. Mann STEAL (1 STL),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2024-04-10T23:42:35.6Z,1,REGULAR,foul,personal,['1freethrow'],203992,,,1610612766,3,2,2024-04-10T23:43:13Z,130000,False,,,0,,B. Bogdanovic transition take personal FOUL (1 PF) (Micic 1 FT),"[203992, 203995]",1610612737.0,ATL,transition take,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,,,,,,,,1193.0,1.0,0.0,Micic,203995.0,,,,,,
15,PT11M09.00S,2024-04-10T23:43:14.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630544,,,1610612766,3,3,2024-04-10T23:43:14Z,150000,False,,,0,,T. Mann transition take Free Throw 1 of 1 (1 PTS),[1630544],1610612766.0,CHA,transition take,,,Mann,T. Mann,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2024-04-10T23:43:30.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,66.83639947437582,58.57843137254902,1610612766,3,6,2024-04-10T23:43:34Z,160000,False,43.0,259.0,1,right,B. Miller 26' 3PT  (3 PTS) (M. Bridges 1 AST),"[1641706, 1628970]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,26.27,Made,3.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
18,PT10M46.00S,2024-04-10T23:43:38.9Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,3,6,2024-04-10T23:43:43Z,180000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 203995]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Micic,203995.0,,,,,,,,,,,
19,PT10M46.00S,2024-04-10T23:43:38.9Z,1,REGULAR,steal,,[],203995,,,1610612766,3,6,2024-04-10T23:43:41Z,190000,False,,,0,,V. Micic STEAL (1 STL),[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
20,PT10M39.00S,2024-04-10T23:43:46.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,67.62483574244416,40.19607843137255,1610612766,3,6,2024-04-10T23:43:51Z,200000,False,-49.0,252.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,25.65,Missed,,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2024-04-10T23:43:49.4Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,3,6,2024-04-10T23:43:51Z,210000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M25.00S,2024-04-10T23:44:01.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,7.30946123521682,52.450980392156865,1610612737,5,6,2024-04-10T23:44:06Z,220000,False,-12.0,16.0,1,left,T. Young driving finger roll Layup (2 PTS) (B. Bogdanovic 1 AST),"[1629027, 203992]",1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,2.03,Made,2.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,,,,,,
24,PT10M11.00S,2024-04-10T23:44:14.5Z,1,REGULAR,3pt,Jump Shot,[],1628970,73.40670170827858,18.137254901960784,1610612766,5,9,2024-04-10T23:44:18Z,240000,False,-159.0,197.0,1,right,M. Bridges 25' 3PT  (3 PTS) (T. Mann 1 AST),"[1628970, 1630544]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,25.37,Made,3.0,T. Mann,1630544.0,1.0,,,,,,,,,,,,,,
