actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-26T00:10:14.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-26T00:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-02-26T00:10:20.6Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-02-26T00:10:20Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. C. Capela: Tip to J. Suggs,"[1630591, 1628976, 203991]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-02-26T00:10:36.7Z,1,REGULAR,3pt,Jump Shot,[],1629048,11.383048620236531,3.1862745098039214,1610612753,0,0,2024-02-26T00:10:41Z,70000,False,234.0,55.0,1,left,MISS G. Bitadze 24' 3PT,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Right Corner 3,24+ Right,24.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-02-26T00:10:40.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,0,0,2024-02-26T00:10:41Z,80000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-26T00:10:49.9Z,1,REGULAR,foul,personal,[],1629048,,,1610612737,0,0,2024-02-26T00:10:56Z,90000,False,,,0,,G. Bitadze personal FOUL (1 PF),"[1629048, 203991]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2002.0,1.0,0.0,Capela,203991.0,,,,,,,,,
11,PT11M22.00S,2024-02-26T00:11:13.8Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612737,0,0,2024-02-26T00:11:47Z,110000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1630591, 203992]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,1155.0,1.0,0.0,Bogdanovic,203992.0,,,,,,,,,
13,PT11M22.00S,2024-02-26T00:11:48.4Z,1,REGULAR,freethrow,1 of 2,[],203992,,,1610612737,1,0,2024-02-26T00:11:48Z,130000,False,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M22.00S,2024-02-26T00:12:03.0Z,1,REGULAR,freethrow,2 of 2,[],203992,,,1610612737,2,0,2024-02-26T00:12:03Z,140000,False,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M03.00S,2024-02-26T00:12:25.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,6.783837056504599,46.81372549019608,1610612753,2,0,2024-02-26T00:12:30Z,150000,False,16.0,11.0,1,left,MISS W. Carter Jr. driving DUNK - blocked,"[1628976, 1630552]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.95,Missed,,,,,,,,,,,Johnson,1630552.0,,,,,,
16,PT11M03.00S,2024-02-26T00:12:25.5Z,1,REGULAR,block,,[],1630552,,,1610612753,2,0,2024-02-26T00:12:28Z,160000,False,,,0,,J. Johnson BLOCK (1 BLK),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
