actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-14T00:40:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-14T00:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-14T00:40:38.2Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2024-01-14T00:40:38Z,40000,False,,,0,,Jump Ball D. Gafford vs. C. Capela: Tip to J. Poole,"[1629673, 1629655, 203991]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Gafford,1629655.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-14T00:40:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,88.91261498028909,41.911764705882355,1610612764,0,0,2024-01-14T00:40:54Z,70000,False,-40.0,52.0,1,right,MISS K. Kuzma 6' Layup,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,6.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-01-14T00:40:50.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2024-01-14T00:40:54Z,80000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-01-14T00:41:13.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,0,0,2024-01-14T00:41:25Z,90000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,1193.0,,,,,,,,,,,,,
10,PT11M02.00S,2024-01-14T00:41:43.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630166,84.05059132720105,47.30392156862745,1610612764,0,0,2024-01-14T00:41:50Z,100000,False,-13.0,97.0,1,right,MISS D. Avdija 9' driving floating Shot,[1630166],1610612764.0,WAS,driving floating,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,9.83,Missed,,,,,,,,,,,,,,,,,,
11,PT10M58.00S,2024-01-14T00:41:47.6Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,0,2024-01-14T00:41:50Z,110000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M47.00S,2024-01-14T00:41:57.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,8.623521681997373,94.6078431372549,1610612737,0,0,2024-01-14T00:42:03Z,120000,False,-223.0,29.0,1,left,MISS D. Murray 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,22.48,Missed,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2024-01-14T00:41:59.3Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612764,0,0,2024-01-14T00:42:03Z,130000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M41.00S,2024-01-14T00:42:04.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,75.24638633377135,13.480392156862745,1610612764,0,0,2024-01-14T00:42:13Z,140000,False,-183.0,180.0,1,right,MISS J. Poole 25' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.65,Missed,,,,,,,,,,,,,,,,,,
