actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-23T23:40:10.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-23T23:40:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-23T23:40:13.2Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612737,0,0,2024-03-23T23:40:13Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Richards: Tip to D. Murray,"[1627749, 203991, 1630208]",1610612737.0,ATL,startperiod,D. Murray,1627749.0,Murray,D. Murray,Capela,203991.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-03-23T23:40:30.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,28.728646517739815,78.18627450980392,1610612737,3,0,2024-03-23T23:40:44Z,70000,False,-141.0,218.0,1,left,D. Murray 25' 3PT  (3 PTS) (D. Hunter 1 AST),"[1627749, 1629631]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,25.92,Made,3.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,,
9,PT11M11.00S,2024-03-23T23:40:58.6Z,1,REGULAR,2pt,Jump Shot,[],1630208,95.6143232588699,76.47058823529412,1610612766,3,2,2024-03-23T23:41:04Z,90000,False,132.0,-11.0,1,right,N. Richards 13' Jump Shot (2 PTS) (T. Mann 1 AST),"[1630208, 1630544]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Right,13.29,Made,2.0,T. Mann,1630544.0,1.0,,,,,,,,,,,,,,
12,PT10M43.00S,2024-03-23T23:41:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,14.668199737187912,60.5392156862745,1610612737,5,2,2024-03-23T23:41:50Z,120000,False,-53.0,85.0,1,left,B. Bogdanovic 10' fadeaway Jump Shot (2 PTS),[203992],1610612737.0,ATL,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,10.04,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M30.00S,2024-03-23T23:41:54.2Z,1,REGULAR,turnover,out-of-bounds,[],1641706,,,1610612766,5,2,2024-03-23T23:42:06Z,130000,False,,,0,,B. Miller step out-of-bounds TURNOVER (1 TO),[1641706],1610612766.0,CHA,step,,,Miller,B. Miller,,,,,Left Corner 3,24+ Left,,,,,,,1627519.0,1.0,,,,,,,,,,,,
14,PT10M11.00S,2024-03-23T23:42:17.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203991,5.732588699080158,51.225490196078425,1610612737,7,2,2024-03-23T23:42:24Z,140000,False,-6.0,1.0,1,left,C. Capela DUNK (2 PTS) (V. Krejci 1 AST),"[203991, 1630249]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,V. Krejci,1630249.0,1.0,,,,,,,,,,,,,,
16,PT09M55.00S,2024-03-23T23:42:34.4Z,1,REGULAR,2pt,Layup,[],1630544,89.43823915900131,68.38235294117648,1610612766,7,4,2024-03-23T23:42:40Z,160000,False,92.0,47.0,1,right,T. Mann 10' driving Layup (2 PTS),[1630544],1610612766.0,CHA,driving,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,10.31,Made,2.0,,,,,,,,,,,,,,,,,
17,PT09M41.00S,2024-03-23T23:42:48.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,28.465834428383708,25.49019607843137,1610612737,7,4,2024-03-23T23:42:54Z,170000,False,123.0,215.0,1,left,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,24.75,Missed,,,,,,,,,,,,,,,,,,
18,PT09M38.00S,2024-03-23T23:42:51.5Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612766,7,4,2024-03-23T23:42:54Z,180000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
