actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-21T00:40:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-21T00:40:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-21T00:40:28.9Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2024-01-21T00:40:28Z,40000,False,,,0,,Jump Ball J. Allen vs. C. Capela: Tip to D. Mitchell,"[1628378, 1628386, 203991]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-01-21T00:40:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,15.982260183968464,51.71568627450981,1610612739,0,2,2024-01-21T00:40:49Z,70000,False,-9.0,98.0,1,left,J. Allen 9' floating Jump Shot (2 PTS) (M. Strus 1 AST),"[1628386, 1629622]",1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,9.81,Made,2.0,M. Strus,1629622.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-01-21T00:40:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,84.05059132720105,58.82352941176471,1610612737,0,2,2024-01-21T00:41:01Z,90000,False,44.0,97.0,1,right,MISS D. Murray 10' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.69,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2024-01-21T00:40:58.4Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,0,2,2024-01-21T00:41:01Z,100000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M24.00S,2024-01-21T00:41:02.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629622,7.703679369250986,49.01960784313725,1610612739,0,4,2024-01-21T00:41:10Z,110000,False,5.0,20.0,1,left,M. Strus running Layup (2 PTS) (I. Okoro 1 AST),"[1629622, 1630171]",1610612739.0,CLE,running,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,2.05,Made,2.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,,
13,PT11M03.00S,2024-01-21T00:41:22.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,84.1819973718791,48.28431372549019,1610612737,0,4,2024-01-21T00:42:01Z,130000,False,-9.0,96.0,1,right,MISS J. Johnson 9' turnaround Shot,[1630552],1610612737.0,ATL,turnaround,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,9.66,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-01-21T00:41:25.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,4,2024-01-21T00:41:29Z,140000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M57.00S,2024-01-21T00:41:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,5.863994743758213,51.9607843137255,1610612739,0,6,2024-01-21T00:41:35Z,150000,False,-10.0,3.0,1,left,I. Okoro running Layup (2 PTS) (M. Strus 2 AST),"[1630171, 1629622]",1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,1.01,Made,2.0,M. Strus,1629622.0,2.0,,,,,,,,,,,,,,
17,PT10M43.00S,2024-01-21T00:41:45.2Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,0,6,2024-01-21T00:41:54Z,170000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,,,,,,,,,201638.0,1.0,,,,,,,,
