actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-27T00:41:54.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-27T00:41:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-27T00:41:57.6Z,1,REGULAR,jumpball,recovered,[],1631157,,,1610612749,0,0,2025-11-27T00:41:57Z,40000,False,,,0,,Jump Ball M. Turner vs. B. Adebayo: Tip to R. Rollins,"[1631157, 1626167, 1628389]",1610612749.0,MIL,startperiod,R. Rollins,1631157.0,Rollins,R. Rollins,Turner,1626167.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-11-27T00:42:13.7Z,1,REGULAR,3pt,Jump Shot,[],1631157,23.603810775295663,84.55882352941177,1610612749,0,0,2025-11-27T00:42:23Z,70000,False,-173.0,169.0,1,left,MISS R. Rollins 24' pullup 3PT,[1631157],1610612749.0,MIL,pullup,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,24.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-11-27T00:42:16.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2025-11-27T00:42:23Z,80000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-11-27T00:42:32.7Z,1,REGULAR,3pt,Jump Shot,[],1626181,94.03745072273325,95.34313725490196,1610612748,0,0,2025-11-27T00:42:49Z,90000,False,227.0,4.0,1,right,MISS N. Powell 3PT,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-11-27T00:42:36.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,0,0,2025-11-27T00:42:49Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Right Corner 3,24+ Right,,,9.0,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2025-11-27T00:43:00.8Z,1,REGULAR,3pt,Jump Shot,[],1631157,8.09789750328515,94.36274509803921,1610612749,0,0,2025-11-27T00:43:06Z,120000,False,-222.0,24.0,1,left,MISS R. Rollins 3PT,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2025-11-27T00:43:02.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2025-11-27T00:43:06Z,130000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M44.00S,2025-11-27T00:43:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,88.64980289093299,53.92156862745098,1610612748,2,0,2025-11-27T00:43:24Z,140000,False,20.0,54.0,1,right,T. Herro driving finger roll Layup (2 PTS) (N. Powell 1 AST),"[1629639, 1626181]",1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,5.76,Made,,,,,2.0,N. Powell,1626181.0,1.0,,,,,,,,,,
16,PT10M29.00S,2025-11-27T00:43:30.3Z,1,REGULAR,3pt,Jump Shot,[],1631260,22.026938239159,89.2156862745098,1610612749,2,3,2025-11-27T00:43:37Z,160000,False,-196.0,155.0,1,left,A. Green 24' 3PT  (3 PTS) (G. Trent Jr. 1 AST),"[1631260, 1629018]",1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,24.97,Made,,,,,3.0,G. Trent Jr.,1629018.0,1.0,,,,,,,,,,
