actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-13T00:41:18.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-13T00:41:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-13T00:41:21.3Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612739,0,0,2025-11-13T00:41:21Z,40000,False,,,0,,Jump Ball J. Allen vs. K. Ware: Tip to L. Ball,"[1628366, 1628386, 1642276]",1610612739.0,CLE,startperiod,L. Ball,1628366.0,Ball,L. Ball,Allen,1628386.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-13T00:41:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,5.995400788436268,39.705882352941174,1610612739,0,0,2025-11-13T00:48:59Z,70000,False,51.0,4.0,1,left,MISS J. Allen driving finger roll Layup,[1628386],1610612739.0,CLE,driving finger roll,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,5.16,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-11-13T00:41:34.3Z,1,REGULAR,rebound,offensive,[],1628366,,,1610612739,0,0,2025-11-13T00:48:59Z,80000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M34.00S,2025-11-13T00:41:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629631,8.754927726675426,58.57843137254902,1610612739,0,0,2025-11-13T00:41:52Z,90000,False,-43.0,30.0,1,left,MISS D. Hunter cutting Layup - blocked,"[1629631, 1642276]",1610612739.0,CLE,cutting,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,5.22,Missed,,,,,Ware,1642276.0,,,,,,,,,,,,
10,PT11M34.00S,2025-11-13T00:41:43.5Z,1,REGULAR,block,,[],1642276,,,1610612739,0,0,2025-11-13T00:41:46Z,100000,False,,,0,,K. Ware BLOCK (1 BLK),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2025-11-13T00:41:43.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,0,2025-11-13T00:41:52Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
13,PT11M32.00S,2025-11-13T00:42:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,10.988830486202366,45.588235294117645,1610612739,0,0,2025-11-13T00:42:12Z,130000,False,22.0,51.0,1,left,MISS J. Allen alley-oop Layup,[1628386],1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,5.54,Missed,,,,,,,,,,,,,,,,,,
14,PT11M30.00S,2025-11-13T00:42:06.4Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,0,0,2025-11-13T00:42:12Z,140000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M27.00S,2025-11-13T00:42:10.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203952,94.56307490144546,3.1862745098039214,1610612748,0,0,2025-11-13T00:50:15Z,150000,False,-234.0,-1.0,1,right,MISS A. Wiggins running 3PT,[203952],1610612748.0,MIA,running,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
