actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-29T00:48:18.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-29T00:48:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-29T00:48:20.5Z,1,REGULAR,jumpball,recovered,[],1626181,,,1610612748,0,0,2026-01-29T00:48:20Z,40000,False,,,0,,Jump Ball B. Adebayo vs. W. Carter Jr.: Tip to N. Powell,"[1626181, 1628389, 1628976]",1610612748.0,MIA,startperiod,N. Powell,1626181.0,Powell,N. Powell,Adebayo,1628389.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-01-29T00:48:30.3Z,1,REGULAR,3pt,Jump Shot,[],1628389,32.670827858081466,65.19607843137256,1610612748,0,0,2026-01-29T00:48:37Z,70000,False,-76.0,255.0,1,left,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,26.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2026-01-29T00:48:34.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,0,2026-01-29T00:48:34Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2026-01-29T00:48:53.1Z,1,REGULAR,3pt,Jump Shot,[],1630591,66.96780551905388,48.77450980392157,1610612753,0,0,2026-01-29T00:48:59Z,100000,False,-6.0,258.0,1,right,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,25.81,Missed,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2026-01-29T00:48:57.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2026-01-29T00:48:59Z,110000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M18.00S,2026-01-29T00:49:09.7Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612748,0,0,2026-01-29T00:49:18Z,120000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1628976, 1628389]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1628481.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
14,PT11M18.00S,2026-01-29T00:49:36.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,1,0,2026-01-29T00:49:55Z,140000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
15,PT11M18.00S,2026-01-29T00:49:36.0Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,1,0,2026-01-29T00:49:55Z,150000,False,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
16,PT11M16.00S,2026-01-29T00:49:38.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,1,0,2026-01-29T00:49:55Z,160000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT11M02.00S,2026-01-29T00:50:08.2Z,1,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,1,0,2026-01-29T00:50:19Z,170000,False,,,0,,J. Suggs step out-of-bounds TURNOVER (1 TO),[1630591],1610612753.0,ORL,step,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,1628953.0,,,,,,1.0,,,,,,,
18,PT10M48.00S,2026-01-29T00:50:30.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,26.757555847568987,81.86274509803921,1610612748,1,0,2026-01-29T00:50:40Z,180000,False,-159.0,199.0,1,left,MISS N. Powell 25' 3PT,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2026-01-29T00:50:35.5Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,1,0,2026-01-29T00:50:40Z,190000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M32.00S,2026-01-29T00:50:46.7Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,1,0,2026-01-29T00:50:51Z,200000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1642857]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Jakučionis,1642857.0,,,,,
21,PT10M32.00S,2026-01-29T00:50:46.7Z,1,REGULAR,steal,,[],1642857,,,1610612748,1,0,2026-01-29T00:50:49Z,210000,False,,,0,,K. Jakučionis STEAL (1 STL),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2026-01-29T00:50:52.8Z,1,REGULAR,turnover,out-of-bounds,[],1641796,,,1610612748,1,0,2026-01-29T00:50:57Z,220000,False,,,0,,P. Larsson step out-of-bounds TURNOVER (1 TO),[1641796],1610612748.0,MIA,step,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628953.0,,,,,,1.0,,,,,,,
23,PT10M09.00S,2026-01-29T00:51:21.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630217,92.19776609724047,41.66666666666667,1610612753,1,2,2026-01-29T00:51:27Z,230000,False,-42.0,21.0,1,right,D. Bane driving finger roll Layup (2 PTS),[1630217],1610612753.0,ORL,driving finger roll,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,4.66,Made,,,,,,,,,,2.0,,,,,,,,
24,PT10M00.00S,2026-01-29T00:51:30.6Z,1,REGULAR,3pt,Jump Shot,[],203952,23.866622864651774,12.990196078431374,1610612748,4,2,2026-01-29T00:51:37Z,240000,False,185.0,172.0,1,left,A. Wiggins 25' 3PT  (3 PTS) (B. Adebayo 1 AST),"[203952, 1628389]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,,,,,,3.0,,,,B. Adebayo,1628389.0,1.0,,
26,PT09M44.00S,2026-01-29T00:51:46.1Z,1,REGULAR,3pt,Jump Shot,[],1628976,70.90998685939553,23.774509803921568,1610612753,4,2,2026-01-29T00:52:00Z,260000,False,-131.0,221.0,1,right,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,25.69,Missed,,,,,,,,,,,,,,,,,,
27,PT09M41.00S,2026-01-29T00:51:52.6Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,4,2,2026-01-29T00:51:52Z,270000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Left Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M41.00S,2026-01-29T00:52:01.7Z,1,REGULAR,foul,personal,[],1626181,,,1610612753,4,2,2026-01-29T00:52:26Z,280000,False,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1641710]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628953.0,1.0,0.0,Black,1641710.0,,,,,,,,,
30,PT09M37.00S,2026-01-29T00:52:14.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641710,94.69448094612353,46.81372549019608,1610612753,4,4,2026-01-29T00:52:59Z,300000,False,-16.0,-3.0,1,right,A. Black alley-oop DUNK (2 PTS) (P. Banchero 1 AST),"[1641710, 1631094]",1610612753.0,ORL,alley-oop,,,Black,A. Black,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,,,,,2.0,,,,P. Banchero,1631094.0,1.0,,
32,PT09M23.00S,2026-01-29T00:52:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642857,6.389618922470433,46.07843137254902,1610612748,4,4,2026-01-29T00:53:15Z,320000,False,20.0,8.0,1,left,MISS K. Jakučionis pullup bank Shot,[1642857],1610612748.0,MIA,pullup bank,,,Jakučionis,K. Jakučionis,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
33,PT09M21.00S,2026-01-29T00:52:30.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,4,2026-01-29T00:52:32Z,330000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT09M17.00S,2026-01-29T00:52:37.9Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612753,4,4,2026-01-29T00:52:44Z,340000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Banchero 2 FT),"[203952, 1631094]",1610612748.0,MIA,shooting,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Center,,,,,,,1628481.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,
36,PT09M17.00S,2026-01-29T00:53:04.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631094,,,1610612753,4,5,2026-01-29T00:53:04Z,360000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
37,PT09M17.00S,2026-01-29T00:53:22.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631094,,,1610612753,4,6,2026-01-29T00:53:22Z,370000,False,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
39,PT09M11.00S,2026-01-29T00:53:39.9Z,1,REGULAR,foul,personal,[],1641710,,,1610612748,4,6,2026-01-29T00:53:58Z,390000,False,,,0,,A. Black personal FOUL (1 PF),"[1641710, 1626181]",1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Left Center,,,,,,,1628953.0,1.0,0.0,Powell,1626181.0,,,,,,,,,
