actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-01T01:11:55.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-01T01:11:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-01T01:11:59.0Z,1,REGULAR,jumpball,recovered,[],1642857,,,1610612748,0,0,2026-02-01T01:11:59Z,40000,False,,,0,,Jump Ball B. Adebayo vs. M. Buzelis: Tip to K. Jakučionis,"[1642857, 1628389, 1641824]",1610612748.0,MIA,startperiod,K. Jakučionis,1642857.0,Jakučionis,K. Jakučionis,Adebayo,1628389.0,Buzelis,1641824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-02-01T01:12:08.7Z,1,REGULAR,2pt,Jump Shot,[],203952,5.174113009198422,22.058823529411768,1610612748,0,0,2026-02-01T01:12:16Z,70000,False,140.0,-4.0,1,left,MISS A. Wiggins 13' step back Shot,[203952],1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,13.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-02-01T01:12:12.7Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,0,2026-02-01T01:12:16Z,80000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2026-02-01T01:12:29.5Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,0,0,2026-02-01T01:12:35Z,90000,False,,,0,,M. Buzelis lost ball TURNOVER (1 TO),"[1641824, 203952]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Wiggins,203952.0,,,,,,,,,,,
10,PT11M25.00S,2026-02-01T01:12:29.5Z,1,REGULAR,steal,,[],203952,,,1610612748,0,0,2026-02-01T01:12:32Z,100000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2026-02-01T01:12:42.4Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612748,0,0,2026-02-01T01:13:11Z,110000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Larsson 2 FT),"[1630171, 1641796]",1610612741.0,CHI,shooting,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Right,,,,,,,,,,1627534.0,1.0,0.0,Larsson,1641796.0,,,,,,
13,PT11M14.00S,2026-02-01T01:13:11.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641796,,,1610612748,0,0,2026-02-01T01:13:11Z,130000,False,,,0,,MISS P. Larsson Free Throw 1 of 2,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2026-02-01T01:13:11.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,0,0,2026-02-01T01:13:11Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2026-02-01T01:13:27.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641796,,,1610612748,1,0,2026-02-01T01:13:27Z,150000,False,,,0,,P. Larsson Free Throw 2 of 2 (1 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
