actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-03-04T00:42:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-04T00:42:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-04T00:42:53.0Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2026-03-04T00:42:53Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Claxton: Tip to T. Herro,"[1629639, 1628389, 1629651]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-04T00:43:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630558,23.73521681997372,85.29411764705883,1610612748,0,0,2026-03-04T00:43:47Z,70000,False,-176.0,171.0,1,left,MISS D. Mitchell 24' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,24.55,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-03-04T00:43:07.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,0,0,2026-03-04T00:43:11Z,80000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2026-03-04T00:43:25.1Z,1,REGULAR,2pt,Jump Shot,[],1629008,94.69448094612353,81.37254901960785,1610612751,0,0,2026-03-04T00:43:52Z,90000,False,157.0,-3.0,1,right,MISS M. Porter Jr. 15' step back Shot,[1629008],1610612751.0,BKN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Right,15.69,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2026-03-04T00:43:28.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2026-03-04T00:43:33Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,8-16 Right,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2026-03-04T00:44:03.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,79.188567674113,6.127450980392156,1610612751,0,0,2026-03-04T00:44:26Z,120000,False,-219.0,143.0,1,right,MISS M. Porter Jr. 26' step back 3PT,[1629008],1610612751.0,BKN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.19,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2026-03-04T00:44:06.6Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,0,0,2026-03-04T00:44:10Z,130000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M54.00S,2026-03-04T00:44:19.1Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612748,0,0,2026-03-04T00:44:51Z,140000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Herro 2 FT),"[1629008, 1629639]",1610612751.0,BKN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Right,,,,,,,1628168.0,1.0,0.0,Herro,1629639.0,,,,,,,,,
16,PT10M54.00S,2026-03-04T00:44:51.8Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,1,0,2026-03-04T00:44:51Z,160000,False,,,0,,T. Herro Free Throw 1 of 2 (1 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
