actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-01T23:12:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-01T23:12:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-01T23:12:32.2Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2026-02-01T23:12:32Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Vučević: Tip to D. Mitchell,"[1630558, 1628389, 202696]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Adebayo,1628389.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2026-02-01T23:12:41.1Z,1,REGULAR,foul,personal,['2freethrow'],1641824,,,1610612748,0,0,2026-02-01T23:12:54Z,80000,False,,,0,,M. Buzelis shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1641824, 203952]",1610612741.0,CHI,shooting,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,203593.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,,,,,,,
10,PT11M47.00S,2026-02-01T23:13:05.7Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612748,1,0,2026-02-01T23:13:05Z,100000,False,,,0,,A. Wiggins Free Throw 1 of 2 (1 PTS),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M47.00S,2026-02-01T23:13:20.5Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612748,2,0,2026-02-01T23:13:20Z,110000,False,,,0,,A. Wiggins Free Throw 2 of 2 (2 PTS),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
12,PT11M25.00S,2026-02-01T23:13:44.0Z,1,REGULAR,3pt,Jump Shot,[],1630171,23.603810775295663,88.72549019607843,1610612741,2,0,2026-02-01T23:13:51Z,120000,False,-194.0,169.0,1,left,MISS I. Okoro 25' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.72,,,,,,,,,,,,
13,PT11M22.00S,2026-02-01T23:13:47.0Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,2,0,2026-02-01T23:13:51Z,130000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M10.00S,2026-02-01T23:14:00.0Z,1,REGULAR,3pt,Jump Shot,[],203952,65.25952693823915,24.754901960784316,1610612748,5,0,2026-02-01T23:14:04Z,140000,False,-126.0,274.0,1,right,A. Wiggins 30' 3PT  (5 PTS) (S. Fontecchio 1 AST),"[203952, 1631323]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,30.18,,,,,S. Fontecchio,1631323.0,1.0,,,,,
16,PT11M02.00S,2026-02-01T23:14:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,28.597240473061763,77.69607843137256,1610612741,5,0,2026-02-01T23:14:12Z,160000,False,-138.0,216.0,1,left,MISS C. White 25' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.68,,,,,,,,,,,,
17,PT10M58.00S,2026-02-01T23:14:11.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,5,0,2026-02-01T23:14:12Z,170000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,
18,PT10M54.00S,2026-02-01T23:14:14.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641796,77.87450722733246,8.088235294117647,1610612748,8,0,2026-02-01T23:14:22Z,180000,False,-210.0,155.0,1,right,P. Larsson 26' 3PT running (3 PTS) (A. Wiggins 1 AST),"[1641796, 203952]",1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,26.1,,,,,A. Wiggins,203952.0,1.0,,,,,
20,PT10M37.00S,2026-02-01T23:14:33.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,8.623521681997373,44.85294117647059,1610612741,8,0,2026-02-01T23:16:05Z,200000,False,26.0,29.0,1,left,MISS N. Vučević driving Hook - blocked,"[202696, 203952]",1610612741.0,CHI,driving,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.85,,,,,,,,Wiggins,203952.0,,,
74,PT10M37.00S,2026-02-01T23:14:33.6Z,1,REGULAR,block,,[],203952,,,1610612741,8,0,2026-02-01T23:25:16Z,210000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M37.00S,2026-02-01T23:14:33.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,8,0,2026-02-01T23:14:37Z,220000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,
23,PT10M37.00S,2026-02-01T23:14:39.8Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612741,8,0,2026-02-01T23:14:45Z,230000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Vučević 2 FT),"[203952, 202696]",1610612748.0,MIA,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,203593.0,1.0,0.0,Vučević,202696.0,,,,,,,,,,,,,,,
25,PT10M37.00S,2026-02-01T23:14:59.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202696,,,1610612741,8,1,2026-02-01T23:14:59Z,250000,False,,,0,,N. Vučević Free Throw 1 of 2 (1 PTS),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
26,PT10M37.00S,2026-02-01T23:15:13.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202696,,,1610612741,8,2,2026-02-01T23:15:13Z,260000,False,,,0,,N. Vučević Free Throw 2 of 2 (2 PTS),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
27,PT10M29.00S,2026-02-01T23:15:26.5Z,1,REGULAR,foul,personal,[],1630171,,,1610612748,8,2,2026-02-01T23:15:33Z,270000,False,,,0,,I. Okoro personal FOUL (1 PF),"[1630171, 1641796]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,202026.0,1.0,0.0,Larsson,1641796.0,,,,,,,,,,,,,,,
29,PT10M21.00S,2026-02-01T23:15:49.9Z,1,REGULAR,3pt,Jump Shot,[],1630558,73.14388961892247,12.5,1610612748,8,2,2026-02-01T23:15:54Z,290000,False,-188.0,200.0,1,right,MISS D. Mitchell 27' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,27.41,,,,,,,,,,,,
30,PT10M17.00S,2026-02-01T23:15:53.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,8,2,2026-02-01T23:15:54Z,300000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT10M09.00S,2026-02-01T23:16:01.7Z,1,REGULAR,3pt,Jump Shot,[],1630245,4.812746386333772,0.7352941176470588,1610612741,8,5,2026-02-01T23:16:06Z,310000,False,246.0,-7.0,1,left,A. Dosunmu 24' 3PT  (3 PTS) (C. White 1 AST),"[1630245, 1629632]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,24.64,,,,,C. White,1629632.0,1.0,,,,,
