actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-20T00:41:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-20T00:41:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-20T00:41:32.6Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2025-11-20T00:41:32Z,40000,False,,,0,,Jump Ball B. Adebayo vs. T. Jackson-Davis: Tip to D. Mitchell,"[1630558, 1628389, 1631218]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Adebayo,1628389.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-20T00:41:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,92.85479632063075,47.794117647058826,1610612748,2,0,2025-11-20T00:41:53Z,70000,False,-11.0,15.0,1,right,A. Wiggins driving Layup (2 PTS),[203952],1610612748.0,MIA,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2025-11-20T00:42:01.1Z,1,REGULAR,3pt,Jump Shot,[],1630611,5.206964520367937,2.941176470588235,1610612744,2,0,2025-11-20T00:42:18Z,80000,False,235.0,-4.0,1,left,MISS G. Santos 3PT,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Right Corner 3,24+ Right,23.53,Missed,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2025-11-20T00:42:08.1Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,2,0,2025-11-20T00:42:18Z,90000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M13.00S,2025-11-20T00:42:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,88.38699080157687,51.225490196078425,1610612748,4,0,2025-11-20T00:42:24Z,100000,False,6.0,57.0,1,right,D. Mitchell driving finger roll Layup (2 PTS) (B. Adebayo 1 AST),"[1630558, 1628389]",1610612748.0,MIA,driving finger roll,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,5.7,Made,2.0,,,,,B. Adebayo,1628389.0,1.0,,,,,,,,,,
12,PT11M05.00S,2025-11-20T00:42:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,6.1268068331143235,50.245098039215684,1610612744,4,0,2025-11-20T00:42:28Z,120000,False,-1.0,5.0,1,left,MISS B. Podziemski driving Layup,[1641764],1610612744.0,GSW,driving,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,0.52,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2025-11-20T00:42:22.9Z,1,REGULAR,rebound,offensive,[],1630611,,,1610612744,4,0,2025-11-20T00:42:28Z,130000,False,,,0,,G. Santos REBOUND (Off:1 Def:0),[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Restricted Area,0-8 Center,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT11M00.00S,2025-11-20T00:42:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630611,6.915243101182654,54.65686274509803,1610612744,4,0,2025-11-20T00:42:34Z,140000,False,-23.0,13.0,1,left,MISS G. Santos Layup,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2025-11-20T00:42:30.1Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,4,0,2025-11-20T00:42:34Z,150000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M46.00S,2025-11-20T00:43:01.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,88.78120893561103,56.372549019607845,1610612748,4,0,2025-11-20T00:43:05Z,170000,False,32.0,53.0,1,right,MISS B. Adebayo 6' alley-oop DUNK,[1628389],1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2025-11-20T00:43:03.4Z,1,REGULAR,rebound,defensive,[],1630611,,,1610612744,4,0,2025-11-20T00:43:03Z,180000,False,,,0,,G. Santos REBOUND (Off:1 Def:1),[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,In The Paint (Non-RA),0-8 Center,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,,
19,PT10M31.00S,2025-11-20T00:43:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612744,4,0,2025-11-20T00:43:32Z,190000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Podziemski 2 FT),"[1626181, 1641764]",1610612748.0,MIA,shooting,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1627962.0,1.0,0.0,Podziemski,1641764.0,,,,,
21,PT10M31.00S,2025-11-20T00:43:45.5Z,1,REGULAR,freethrow,1 of 2,[],1641764,,,1610612744,4,1,2025-11-20T00:44:50Z,210000,False,,,0,,B. Podziemski Free Throw 1 of 2 (1 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2025-11-20T00:43:45.5Z,1,REGULAR,freethrow,2 of 2,[],1641764,,,1610612744,4,2,2025-11-20T00:44:50Z,220000,False,,,0,,B. Podziemski Free Throw 2 of 2 (2 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2025-11-20T00:44:15.1Z,1,REGULAR,3pt,Jump Shot,[],1630558,69.72733245729303,21.568627450980394,1610612748,7,2,2025-11-20T00:44:20Z,230000,False,-142.0,232.0,1,right,D. Mitchell 27' 3PT  (5 PTS) (P. Larsson 1 AST),"[1630558, 1641796]",1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,27.22,Made,5.0,,,,,P. Larsson,1641796.0,1.0,,,,,,,,,,
25,PT09M54.00S,2025-11-20T00:44:37.7Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612744,7,2,2025-11-20T00:44:51Z,250000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Moody 2 FT),"[203952, 1630541]",1610612748.0,MIA,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2714.0,1.0,0.0,Moody,1630541.0,,,,,
27,PT09M54.00S,2025-11-20T00:44:59.7Z,1,REGULAR,freethrow,1 of 2,[],1630541,,,1610612744,7,3,2025-11-20T00:44:59Z,270000,False,,,0,,M. Moody Free Throw 1 of 2 (1 PTS),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
28,PT09M54.00S,2025-11-20T00:45:12.9Z,1,REGULAR,freethrow,2 of 2,[],1630541,,,1610612744,7,4,2025-11-20T00:45:12Z,280000,False,,,0,,M. Moody Free Throw 2 of 2 (2 PTS),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M43.00S,2025-11-20T00:45:25.2Z,1,REGULAR,2pt,Jump Shot,[],203952,91.93495400788436,85.29411764705883,1610612748,7,4,2025-11-20T00:45:34Z,290000,False,176.0,23.0,1,right,MISS A. Wiggins 17' step back Shot,[203952],1610612748.0,MIA,step back,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right,17.8,Missed,,,,,,,,,,,,,,,,,,
30,PT09M41.00S,2025-11-20T00:45:27.2Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,7,4,2025-11-20T00:47:28Z,300000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,16-24 Right,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M39.00S,2025-11-20T00:45:34.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641764,31.225361366622867,30.637254901960787,1610612744,7,4,2025-11-20T00:46:15Z,310000,False,97.0,241.0,1,left,MISS B. Podziemski 25' running pullup 3PT,[1641764],1610612744.0,GSW,running pullup,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
32,PT09M36.00S,2025-11-20T00:45:37.4Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,7,4,2025-11-20T00:46:15Z,320000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,
33,PT09M29.00S,2025-11-20T00:45:39.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641796,77.34888304862024,7.8431372549019605,1610612748,10,4,2025-11-20T00:47:11Z,330000,False,-211.0,160.0,1,right,P. Larsson 26' 3PT running (3 PTS) (D. Mitchell 1 AST),"[1641796, 1630558]",1610612748.0,MIA,running,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Left Center,26.49,Made,3.0,,,,,D. Mitchell,1630558.0,1.0,,,,,,,,,,
35,PT09M10.00S,2025-11-20T00:45:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641764,17.0335085413929,47.30392156862745,1610612744,10,4,2025-11-20T00:46:28Z,350000,False,13.0,108.0,1,left,MISS B. Podziemski 10' driving floating Shot,[1641764],1610612744.0,GSW,driving floating,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,10.84,Missed,,,,,,,,,,,,,,,,,,
36,PT09M10.00S,2025-11-20T00:46:02.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,10,4,2025-11-20T00:46:02Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,35.0,,,,,,,,,,,,,,,,
38,PT09M04.00S,2025-11-20T00:46:22.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630541,6.521024967148489,52.69607843137255,1610612744,10,4,2025-11-20T00:46:48Z,380000,False,-13.0,9.0,1,left,MISS M. Moody driving Layup,[1630541],1610612744.0,GSW,driving,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,,
