actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-12T23:41:30.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-12T23:41:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-12T23:41:33.1Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2026-03-12T23:41:33Z,40000,False,,,0,,Jump Ball K. Ware vs. M. Turner: Tip to D. Mitchell,"[1630558, 1642276, 1626167]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Ware,1642276.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2026-03-12T23:41:41.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1641796,4.812746386333772,47.794117647058826,1610612748,2,0,2026-03-12T23:42:54Z,70000,False,11.0,-7.0,1,left,P. Larsson driving Layup (2 PTS) (D. Mitchell 1 AST),"[1641796, 1630558]",1610612748.0,MIA,driving,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,1.32,Made,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,,,
8,PT11M49.00S,2026-03-12T23:41:46.8Z,1,REGULAR,violation,defensive goaltending,[],1628398,,,1610612748,2,0,2026-03-12T23:41:59Z,80000,False,,,0,,K. Kuzma defensive goaltending VIOLATION,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,200832.0,,,,,,,,,,,,,
9,PT11M34.00S,2026-03-12T23:42:08.3Z,1,REGULAR,3pt,Jump Shot,[],1626167,93.77463863337714,96.07843137254902,1610612749,2,0,2026-03-12T23:42:18Z,90000,False,230.0,6.0,1,right,MISS M. Turner 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2026-03-12T23:42:12.3Z,1,REGULAR,rebound,defensive,[],1641796,,,1610612748,2,0,2026-03-12T23:42:18Z,100000,False,,,0,,P. Larsson REBOUND (Off:0 Def:1),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Right Corner 3,24+ Right,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M26.00S,2026-03-12T23:42:16.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628389,9.543363994743759,71.32352941176471,1610612748,4,0,2026-03-12T23:43:52Z,110000,False,-107.0,37.0,1,left,B. Adebayo 11' running pullup Jump Shot (2 PTS) (P. Larsson 1 AST),"[1628389, 1641796]",1610612748.0,MIA,running pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,11.29,Made,2.0,P. Larsson,1641796.0,1.0,,,,,,,,,,,,,,
12,PT11M16.00S,2026-03-12T23:42:26.5Z,1,REGULAR,2pt,Jump Shot,[],203507,76.5604467805519,66.42156862745098,1610612749,4,0,2026-03-12T23:43:05Z,120000,False,82.0,168.0,1,right,MISS G. Antetokounmpo 18' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,18.68,Missed,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2026-03-12T23:42:26.5Z,1,REGULAR,rebound,defensive,[],1642857,,,1610612748,4,0,2026-03-12T23:42:36Z,130000,False,,,0,,K. Jakučionis REBOUND (Off:0 Def:1),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Mid-Range,16-24 Right Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M01.00S,2026-03-12T23:42:40.9Z,1,REGULAR,3pt,Jump Shot,[],1630558,24.52365308804205,15.686274509803921,1610612748,4,0,2026-03-12T23:42:49Z,140000,False,172.0,178.0,1,left,MISS D. Mitchell 24' 3PT,[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,24.72,Missed,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2026-03-12T23:42:44.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,0,2026-03-12T23:42:44Z,150000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M47.00S,2026-03-12T23:42:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.64323258869908,48.28431372549019,1610612749,4,2,2026-03-12T23:43:02Z,160000,False,-9.0,7.0,1,right,G. Antetokounmpo driving Layup (2 PTS) (M. Turner 1 AST),"[203507, 1626167]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,,,
19,PT10M33.00S,2026-03-12T23:43:09.1Z,1,REGULAR,3pt,Jump Shot,[],1642857,32.933639947437584,50.49019607843137,1610612748,7,2,2026-03-12T23:43:14Z,180000,False,-2.0,257.0,1,left,K. Jakučionis 25' 3PT  (3 PTS) (P. Larsson 2 AST),"[1642857, 1641796]",1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Center,25.71,Made,3.0,P. Larsson,1641796.0,2.0,,,,,,,,,,,,,,
21,PT10M11.00S,2026-03-12T23:43:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,90.3580814717477,50.49019607843137,1610612749,7,2,2026-03-12T23:58:14Z,200000,False,2.0,38.0,1,right,MISS M. Turner cutting Layup - blocked,"[1626167, 1642857]",1610612749.0,MIL,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.82,Missed,,,,,,,,,,Jakučionis,1642857.0,,,,,,,
22,PT10M11.00S,2026-03-12T23:43:31.3Z,1,REGULAR,block,,[],1642857,,,1610612749,7,2,2026-03-12T23:43:33Z,210000,False,,,0,,K. Jakučionis BLOCK (1 BLK),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2026-03-12T23:43:34.3Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,7,2,2026-03-12T23:44:02Z,220000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M06.00S,2026-03-12T23:43:36.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642857,28.86005256241787,76.7156862745098,1610612748,10,2,2026-03-12T23:47:46Z,230000,False,-134.0,219.0,1,left,K. Jakučionis 25' 3PT running (6 PTS) (D. Mitchell 2 AST),"[1642857, 1630558]",1610612748.0,MIA,running,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Left Center,25.64,Made,6.0,D. Mitchell,1630558.0,2.0,,,,,,,,,,,,,,
