actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-24T00:43:43.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-24T00:43:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-12-24T00:43:47.9Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2025-12-24T00:43:48Z,40000,False,,,0,,Jump Ball K. Ware vs. S. Barnes: Tip to D. Mitchell,"[1630558, 1642276, 1630567]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Ware,1642276.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-12-24T00:43:58.0Z,1,REGULAR,foul,personal,['2freethrow'],1627742,,,1610612748,0,0,2025-12-24T00:44:13Z,70000,False,,,0,,B. Ingram shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1627742, 1628389]",1610612761.0,TOR,shooting,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,203591.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2025-12-24T00:44:24.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,0,0,2025-12-24T00:44:24Z,90000,False,,,0,,MISS B. Adebayo Free Throw 1 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M46.00S,2025-12-24T00:44:24.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,0,0,2025-12-24T00:44:24Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M46.00S,2025-12-24T00:44:40.6Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,1,0,2025-12-24T00:44:40Z,110000,False,,,0,,B. Adebayo Free Throw 2 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M24.00S,2025-12-24T00:45:03.6Z,1,REGULAR,3pt,Jump Shot,[],1630572,18.478975032851512,91.66666666666666,1610612761,1,3,2025-12-24T00:45:08Z,120000,False,-208.0,121.0,1,left,S. Mamukelashvili 24' 3PT  (3 PTS) (I. Quickley 1 AST),"[1630572, 1630193]",1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,24.1,I. Quickley,1630193.0,1.0,,,,,,,,
14,PT11M09.00S,2025-12-24T00:45:18.0Z,1,REGULAR,3pt,Jump Shot,[],1628389,86.81011826544021,94.6078431372549,1610612748,1,3,2025-12-24T00:45:22Z,140000,False,223.0,71.0,1,right,MISS B. Adebayo 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,23.42,,,,,,,,,,,
15,PT11M05.00S,2025-12-24T00:45:22.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,1,3,2025-12-24T00:45:22Z,150000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,,,,14.0,,,,,,1.0,1.0,0.0,,,,,
16,PT11M00.00S,2025-12-24T00:45:26.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,26.49474375821288,86.76470588235294,1610612761,1,3,2025-12-24T01:51:43Z,160000,False,-184.0,197.0,1,left,MISS I. Quickley 26' running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.91,,,,,,,,,,,
17,PT10M57.00S,2025-12-24T00:45:29.3Z,1,REGULAR,rebound,offensive,[],1630572,,,1610612761,1,3,2025-12-24T01:51:43Z,170000,False,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:0),[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,,,,,,1.0,0.0,1.0,,,,,
18,PT10M54.00S,2025-12-24T00:45:32.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627742,4.812746386333772,95.58823529411765,1610612761,1,6,2025-12-24T00:45:39Z,180000,False,-228.0,-7.0,1,left,B. Ingram 3PT  (3 PTS) (I. Quickley 2 AST),"[1627742, 1630193]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,,,,,,Made,,3.0,22.8,I. Quickley,1630193.0,2.0,,,,,,,,
