actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-08T22:11:45.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-08T22:11:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2026-03-08T22:11:51.2Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2026-03-08T22:11:51Z,40000,False,,,0,,Jump Ball B. Adebayo vs. J. Duren: Tip to T. Herro,"[1629639, 1628389, 1631105]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Adebayo,1628389.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-03-08T22:12:06.6Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,0,0,2026-03-08T22:24:17Z,70000,False,,,0,,B. Adebayo lost ball out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,lost ball,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2026-03-08T22:12:22.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631105,87.33574244415243,53.431372549019606,1610612765,0,2,2026-03-08T22:12:29Z,80000,False,17.0,67.0,1,right,J. Duren 6' driving Layup (2 PTS) (D. Robinson 1 AST),"[1631105, 1629130]",1610612765.0,DET,driving,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,6.87,Made,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,
9,PT11M19.00S,2026-03-08T22:12:32.2Z,1,REGULAR,3pt,Jump Shot,[],1628389,30.305519053876477,74.01960784313727,1610612748,0,2,2026-03-08T22:12:39Z,90000,False,-120.0,232.0,1,left,MISS B. Adebayo 26' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,26.16,Missed,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2026-03-08T22:12:36.2Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612765,0,2,2026-03-08T22:12:39Z,100000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M11.00S,2026-03-08T22:12:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,81.553876478318,50.73529411764706,1610612765,0,2,2026-03-08T22:13:50Z,110000,False,4.0,121.0,1,right,MISS C. Cunningham 12' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,12.1,Missed,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2026-03-08T22:12:47.1Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,0,2,2026-03-08T22:12:50Z,120000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M02.00S,2026-03-08T22:12:49.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630558,9.543363994743759,46.568627450980394,1610612748,2,2,2026-03-08T22:14:26Z,130000,False,17.0,37.0,1,left,D. Mitchell running Layup (2 PTS),[1630558],1610612748.0,MIA,running,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,4.1,Made,2.0,,,,,,,,,,,,,,,,
15,PT10M45.00S,2026-03-08T22:13:06.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,92.19776609724047,3.6764705882352944,1610612765,2,2,2026-03-08T22:13:13Z,140000,False,-232.0,21.0,1,right,MISS D. Robinson 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,,23.25,Missed,,,,,,,,,,,,,,,,,
