actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-16T00:41:44.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-16T00:41:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-16T00:41:46.5Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612738,0,0,2026-01-16T00:41:46Z,40000,False,,,0,,Jump Ball N. Queta vs. B. Adebayo: Tip to P. Pritchard,"[1630202, 1629674, 1628389]",1610612738.0,BOS,startperiod,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Queta,1629674.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-01-16T00:42:00.5Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612738,0,0,2026-01-16T00:42:07Z,70000,False,,,0,,D. White bad pass out-of-bounds TURNOVER (1 TO),[1628401],1610612738.0,BOS,bad pass,,,White,D. White,,,,,Above the Break 3,24+ Center,204058.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2026-01-16T00:42:21.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,21.50131406044678,90.19607843137256,1610612748,3,0,2026-01-16T00:42:28Z,80000,False,-201.0,150.0,1,left,A. Wiggins 25' 3PT  (3 PTS) (B. Adebayo 1 AST),"[203952, 1628389]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,25.06,Made,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,
10,PT11M15.00S,2026-01-16T00:42:37.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,92.19776609724047,3.431372549019608,1610612738,3,0,2026-01-16T00:42:46Z,100000,False,-233.0,21.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,23.37,Missed,,,,,,,,,,,,,,,,
11,PT11M14.00S,2026-01-16T00:42:38.7Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,3,0,2026-01-16T00:43:07Z,110000,False,,,0,,S. Hauser REBOUND (Off:1 Def:0),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
12,PT11M14.00S,2026-01-16T00:42:43.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630573,94.40999984741211,50.0,1610612738,3,2,2026-01-16T00:43:12Z,120000,False,0.0,0.0,1,right,S. Hauser tip Layup (2 PTS),[1630573],1610612738.0,BOS,tip,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,0.0,Made,2.0,,,,,,,,,,,,,,,
13,PT11M00.00S,2026-01-16T00:42:51.8Z,1,REGULAR,3pt,Jump Shot,[],1628389,6.915243101182654,4.166666666666666,1610612748,3,2,2026-01-16T00:43:33Z,130000,False,229.0,13.0,1,left,MISS B. Adebayo pullup 3PT,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,22.95,Missed,,,,,,,,,,,,,,,,
14,PT10M57.00S,2026-01-16T00:42:54.8Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,3,2,2026-01-16T00:43:02Z,140000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Right Corner 3,24+ Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M47.00S,2026-01-16T00:43:05.6Z,1,REGULAR,2pt,Jump Shot,[],1630573,93.9060446780552,77.20588235294117,1610612738,3,4,2026-01-16T00:43:17Z,150000,False,136.0,5.0,1,right,S. Hauser 13' pullup Jump Shot (4 PTS) (P. Pritchard 1 AST),"[1630573, 1630202]",1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Mid-Range,8-16 Right,,,13.61,Made,4.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,
17,PT10M36.00S,2026-01-16T00:43:16.8Z,1,REGULAR,3pt,Jump Shot,[],203952,9.543363994743759,2.696078431372549,1610612748,6,4,2026-01-16T00:43:22Z,170000,False,237.0,37.0,1,left,A. Wiggins 3PT  (6 PTS) (B. Adebayo 2 AST),"[203952, 1628389]",1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,,,23.94,Made,6.0,B. Adebayo,1628389.0,2.0,,,,,,,,,,,,
19,PT10M23.00S,2026-01-16T00:43:29.0Z,1,REGULAR,3pt,Jump Shot,[],1630573,66.96780551905388,34.068627450980394,1610612738,6,4,2026-01-16T00:43:36Z,190000,False,-80.0,258.0,1,right,MISS S. Hauser 27' pullup 3PT,[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,27.0,Missed,,,,,,,,,,,,,,,,
20,PT10M21.00S,2026-01-16T00:43:31.0Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,6,4,2026-01-16T00:43:36Z,200000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
