actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-12-30T00:41:32.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-30T00:41:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-30T00:41:34.8Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2025-12-30T00:41:34Z,40000,False,,,0,,Jump Ball N. Jokić vs. K. Ware: Tip to J. Murray,"[1627750, 203999, 1642276]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokić,203999.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-12-30T00:41:52.2Z,1,REGULAR,3pt,Jump Shot,[],203999,31.61957950065703,42.64705882352941,1610612743,0,0,2025-12-30T00:41:59Z,70000,False,37.0,245.0,1,left,MISS N. Jokić 24' 3PT,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,24.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-12-30T00:41:54.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,0,2025-12-30T00:41:59Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2025-12-30T00:42:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631212,6.389618922470433,51.9607843137255,1610612743,0,0,2025-12-30T00:42:22Z,100000,False,-10.0,8.0,1,left,MISS P. Watson cutting Layup - blocked,"[1631212, 1630558]",1610612743.0,DEN,cutting,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,1.24,Missed,,Mitchell,1630558.0,,,,,,,,,,,,,,,
11,PT11M33.00S,2025-12-30T00:42:14.9Z,1,REGULAR,block,,[],1630558,,,1610612743,0,0,2025-12-30T00:42:17Z,110000,False,,,0,,D. Mitchell BLOCK (1 BLK),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2025-12-30T00:42:17.9Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2025-12-30T00:42:22Z,120000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,10.0,,,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M24.00S,2025-12-30T00:42:24.7Z,1,REGULAR,turnover,lost ball,[],1626181,,,1610612748,0,0,2025-12-30T00:42:28Z,130000,False,,,0,,N. Powell lost ball TURNOVER (1 TO),"[1626181, 1642461]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Jones,1642461.0,,,,,,,,,
14,PT11M24.00S,2025-12-30T00:42:24.7Z,1,REGULAR,steal,,[],1642461,,,1610612743,0,0,2025-12-30T00:42:27Z,140000,False,,,0,,S. Jones STEAL (1 STL),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M20.00S,2025-12-30T00:42:28.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627750,23.73521681997372,85.5392156862745,1610612743,0,0,2025-12-30T00:43:45Z,150000,False,-178.0,171.0,1,left,MISS J. Murray 24' running 3PT,[1627750],1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,24.63,Missed,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2025-12-30T00:42:34.7Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,0,0,2025-12-30T00:50:44Z,160000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,15.0,,,1.0,0.0,1.0,,,,,,,,,,,,
75,PT11M13.00S,2025-12-30T00:42:35.8Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,0,0,2025-12-30T00:51:28Z,165000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 203952]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1.0,Wiggins,203952.0,,,,,,,,,
76,PT11M13.00S,2025-12-30T00:42:35.8Z,1,REGULAR,steal,,[],203952,,,1610612748,0,0,2025-12-30T00:51:09Z,167500,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2025-12-30T00:42:42.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,83.919185282523,57.84313725490197,1610612748,2,0,2025-12-30T00:51:09Z,170000,False,39.0,99.0,1,right,B. Adebayo 10' pullup Jump Shot (2 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,10.62,Made,,,,,,,,,,2.0,,,,,,,,
18,PT10M52.00S,2025-12-30T00:42:57.4Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612743,2,0,2025-12-30T00:43:09Z,180000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Jokić 2 FT),"[1628389, 203999]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628487.0,1.0,0.0,Jokić,203999.0,,,
20,PT10M52.00S,2025-12-30T00:43:28.9Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,2,1,2025-12-30T00:43:28Z,200000,False,,,0,,N. Jokić Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
