actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-18T01:13:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-18T01:13:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-18T01:13:49.5Z,1,REGULAR,jumpball,recovered,[],1626181,,,1610612748,0,0,2026-01-18T01:13:49Z,40000,False,,,0,,Jump Ball B. Adebayo vs. C. Holmgren: Tip to N. Powell,"[1626181, 1628389, 1631096]",1610612748.0,MIA,startperiod,N. Powell,1626181.0,Powell,N. Powell,Adebayo,1628389.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-18T01:14:05.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,9.904730617608408,46.32352941176471,1610612748,2,0,2026-01-18T01:14:16Z,70000,False,18.0,41.0,1,left,B. Adebayo turnaround Hook (2 PTS),[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,4.46,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2026-01-18T01:14:23.8Z,1,REGULAR,turnover,out-of-bounds,[],1631096,,,1610612760,2,0,2026-01-18T01:14:30Z,80000,False,,,0,,C. Holmgren bad pass out-of-bounds TURNOVER (1 TO),[1631096],1610612760.0,OKC,bad pass,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Center,,,,1628159.0,1.0,,,,,,,,,,,,,,,
9,PT11M13.00S,2026-01-18T01:14:43.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641796,5.831143232588701,45.833333333333336,1610612748,2,0,2026-01-18T01:14:49Z,90000,False,21.0,2.0,1,left,MISS P. Larsson driving Layup,[1641796],1610612748.0,MIA,driving,,,Larsson,P. Larsson,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2026-01-18T01:14:46.9Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,2,0,2026-01-18T01:14:49Z,100000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M06.00S,2026-01-18T01:14:50.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641717,92.82194480946123,53.67647058823529,1610612760,2,2,2026-01-18T01:14:57Z,110000,False,18.0,15.0,1,right,C. Wallace running Layup (2 PTS),[1641717],1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,2.37,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M50.00S,2026-01-18T01:15:06.8Z,1,REGULAR,3pt,Jump Shot,[],1628389,29.352825229960573,29.411764705882348,1610612748,2,2,2026-01-18T01:15:13Z,120000,False,103.0,223.0,1,left,MISS B. Adebayo 24' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,24.6,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2026-01-18T01:15:08.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,2,2,2026-01-18T01:15:13Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,12.0,,,,,,,,,,,,,,
14,PT10M48.00S,2026-01-18T01:15:15.7Z,1,REGULAR,foul,personal,[],1628983,,,1610612748,2,2,2026-01-18T01:16:44Z,140000,False,,,0,,S. Gilgeous-Alexander loose ball personal FOUL (1 PF),"[1628983, 1641796]",1610612760.0,OKC,loose ball,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,1628159.0,,,,,,1.0,0.0,Larsson,1641796.0,,,,,,,
