actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-14T00:41:56.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-14T00:41:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-14T00:42:00.1Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-01-14T00:42:00Z,40000,False,,,0,,Jump Ball M. Williams vs. B. Adebayo: Tip to C. Gillespie,"[1631221, 1631109, 1628389]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2026-01-14T00:42:33.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,75.1149802890933,11.27450980392157,1610612756,0,0,2026-01-14T00:42:44Z,80000,False,-194.0,181.0,1,right,MISS R. O'Neale 26' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-14T00:42:34.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,0,2026-01-14T00:42:44Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,8.0,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2026-01-14T00:43:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.040078843626807,48.03921568627451,1610612748,2,0,2026-01-14T00:43:10Z,110000,False,10.0,61.0,1,left,B. Adebayo 6' turnaround fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.15,Made,,2.0,,,,,,,,,,,,,,,,
12,PT11M02.00S,2026-01-14T00:43:18.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,83.39356110381078,59.068627450980394,1610612756,2,2,2026-01-14T00:43:23Z,120000,False,45.0,104.0,1,right,D. Booker 11' step back Jump Shot (2 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,11.31,Made,,2.0,,,,,,,,,,,,,,,,
13,PT10M54.00S,2026-01-14T00:43:26.3Z,1,REGULAR,3pt,Jump Shot,[],1628389,32.802233902759525,48.77450980392157,1610612748,5,2,2026-01-14T00:43:34Z,130000,False,6.0,256.0,1,left,B. Adebayo 25' 3PT  (5 PTS) (T. Herro 1 AST),"[1628389, 1629639]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,25.59,Made,,5.0,T. Herro,1629639.0,1.0,,,,,,,,,,,,,
15,PT10M31.00S,2026-01-14T00:43:49.6Z,1,REGULAR,3pt,Jump Shot,[],1631221,81.02825229960578,94.6078431372549,1610612756,5,5,2026-01-14T00:44:14Z,150000,False,223.0,126.0,1,right,C. Gillespie 25' 3PT  (3 PTS) (M. Williams 1 AST),"[1631221, 1631109]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Right Center,25.6,Made,,3.0,M. Williams,1631109.0,1.0,,,,,,,,,,,,,
17,PT10M18.00S,2026-01-14T00:44:09.0Z,1,REGULAR,foul,personal,[],1626164,,,1610612748,5,5,2026-01-14T00:44:33Z,170000,False,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1629639]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,,1626301.0,1.0,0.0,Herro,1629639.0,,,,,,,,
20,PT10M09.00S,2026-01-14T00:44:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1629639,6.652431011826544,55.14705882352941,1610612748,7,5,2026-01-14T00:44:51Z,200000,False,-26.0,10.0,1,left,T. Herro driving finger roll Layup (2 PTS),[1629639],1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.76,Made,,2.0,,,,,,,,,,,,,,,,
