actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-15T00:12:14.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-15T00:12:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M50.00S,2026-03-15T00:12:23.3Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2026-03-15T00:12:23Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. K. Ware: Tip to P. Banchero,"[1631094, 1628976, 1642276]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-03-15T00:12:37.7Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612753,0,0,2026-03-15T00:12:49Z,70000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Bane 2 FT),"[1642276, 1630217]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,202026.0,1.0,0.0,Bane,1630217.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2026-03-15T00:13:03.3Z,1,REGULAR,freethrow,1 of 2,[],1630217,,,1610612753,0,1,2026-03-15T00:13:03Z,90000,False,,,0,,D. Bane Free Throw 1 of 2 (1 PTS),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M40.00S,2026-03-15T00:13:17.3Z,1,REGULAR,freethrow,2 of 2,[],1630217,,,1610612753,0,2,2026-03-15T00:13:17Z,100000,False,,,0,,D. Bane Free Throw 2 of 2 (2 PTS),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M29.00S,2026-03-15T00:13:35.4Z,1,REGULAR,foul,personal,[],1630217,,,1610612748,0,2,2026-03-15T00:13:45Z,110000,False,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 1641796]",1610612753.0,ORL,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,1628487.0,1.0,0.0,Larsson,1641796.0,,,,,,,,,,,,,,,
13,PT11M15.00S,2026-03-15T00:14:01.4Z,1,REGULAR,3pt,Jump Shot,[],1630558,31.488173455978973,59.80392156862745,1610612748,3,2,2026-03-15T00:14:08Z,130000,False,-49.0,243.0,1,left,D. Mitchell 24' 3PT step back (3 PTS),[1630558],1610612748.0,MIA,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,24.84,,,,,,,,,,,,
15,PT11M06.00S,2026-03-15T00:14:11.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,72.35545335085413,15.931372549019606,1610612753,3,5,2026-03-15T00:14:19Z,150000,False,-170.0,207.0,1,right,D. Bane 26' 3PT  (5 PTS) (W. Carter Jr. 1 AST),"[1630217, 1628976]",1610612753.0,ORL,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,26.84,W. Carter Jr.,1628976.0,1.0,,,,,,,,,
17,PT10M56.00S,2026-03-15T00:14:21.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,10.5946123521682,43.38235294117647,1610612748,5,5,2026-03-15T00:14:33Z,170000,False,33.0,47.0,1,left,T. Herro driving Layup (2 PTS) (P. Larsson 1 AST),"[1629639, 1641796]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,5.76,P. Larsson,1641796.0,1.0,,,,,,,,,
18,PT10M42.00S,2026-03-15T00:14:37.8Z,1,REGULAR,foul,personal,['2freethrow'],1630558,,,1610612753,5,5,2026-03-15T00:14:45Z,180000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Banchero 2 FT),"[1630558, 1631094]",1610612748.0,MIA,shooting,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,202026.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,,,,,,,
