actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-06T00:40:56.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-06T00:40:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-06T00:40:59.0Z,1,REGULAR,jumpball,recovered,[],1629008,,,1610612751,0,0,2026-03-06T00:40:59Z,40000,False,,,0,,Jump Ball N. Claxton vs. B. Adebayo: Tip to M. Porter Jr.,"[1629008, 1629651, 1628389]",1610612751.0,BKN,startperiod,M. Porter Jr.,1629008.0,Porter Jr.,M. Porter Jr.,Claxton,1629651.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-06T00:41:10.4Z,1,REGULAR,turnover,out-of-bounds,[],1629008,,,1610612751,0,0,2026-03-06T00:41:17Z,70000,False,,,0,,M. Porter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1629008],1610612751.0,BKN,lost ball,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1628953.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2026-03-06T00:41:27.2Z,1,REGULAR,foul,personal,['2freethrow'],1629008,,,1610612748,0,0,2026-03-06T00:41:47Z,80000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629008, 1628389]",1610612751.0,BKN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1628953.0,,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,
10,PT11M34.00S,2026-03-06T00:41:56.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628389,,,1610612748,1,0,2026-03-06T00:41:56Z,100000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
11,PT11M34.00S,2026-03-06T00:42:14.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628389,,,1610612748,2,0,2026-03-06T00:42:14Z,110000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
12,PT11M18.00S,2026-03-06T00:42:32.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642849,93.24901445466492,51.71568627450981,1610612751,2,2,2026-03-06T00:42:35Z,120000,False,9.0,11.0,1,right,N. Traore driving finger roll Layup (2 PTS),[1642849],1610612751.0,BKN,driving finger roll,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,Made,2.0,1.4,,,,,,,,,,,
13,PT11M06.00S,2026-03-06T00:42:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.040078843626807,50.98039215686274,1610612748,4,2,2026-03-06T00:42:50Z,130000,False,-5.0,61.0,1,left,B. Adebayo 6' driving floating Jump Shot (4 PTS),[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,4.0,6.09,,,,,,,,,,,
14,PT10M55.00S,2026-03-06T00:42:55.1Z,1,REGULAR,3pt,Jump Shot,[],1629611,88.38699080157687,3.6764705882352944,1610612751,4,5,2026-03-06T00:43:00Z,140000,False,-232.0,57.0,1,right,T. Mann 3PT  (3 PTS) (N. Traore 1 AST),"[1629611, 1642849]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,,,,,,,Made,3.0,23.84,N. Traore,1642849.0,1.0,,,,,,,,
16,PT10M43.00S,2026-03-06T00:43:07.0Z,1,REGULAR,2pt,Jump Shot,[],1628389,28.991458607095925,50.245098039215684,1610612748,4,5,2026-03-06T00:43:24Z,160000,False,-1.0,220.0,1,left,MISS B. Adebayo 22' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,,,Missed,,22.0,,,,,,,,,,,
17,PT10M40.00S,2026-03-06T00:43:10.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,4,5,2026-03-06T00:43:12Z,170000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M37.00S,2026-03-06T00:43:14.2Z,1,REGULAR,turnover,out-of-bounds,[],1629008,,,1610612751,4,5,2026-03-06T00:43:27Z,180000,False,,,0,,M. Porter Jr. bad pass out-of-bounds TURNOVER (2 TO),[1629008],1610612751.0,BKN,bad pass,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,1628953.0,2.0,,,,,,,,,,,,,,,,,,
