actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-20T00:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-20T00:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-20T00:10:54.9Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2026-03-20T00:10:54Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Ayton: Tip to D. Mitchell,"[1630558, 1628389, 1629028]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Adebayo,1628389.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-03-20T00:11:15.1Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612748,0,0,2026-03-20T00:11:26Z,70000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629028, 1628389]",1610612747.0,LAL,shooting,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,2002.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-03-20T00:11:42.7Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,1,0,2026-03-20T00:11:42Z,90000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M38.00S,2026-03-20T00:11:58.8Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,2,0,2026-03-20T00:11:58Z,100000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M26.00S,2026-03-20T00:12:12.5Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612747,2,0,2026-03-20T00:14:23Z,110000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1628389]",1610612747.0,LAL,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,
12,PT11M26.00S,2026-03-20T00:12:12.5Z,1,REGULAR,steal,,[],1628389,,,1610612748,2,0,2026-03-20T00:12:14Z,120000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2026-03-20T00:12:19.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630558,27.151773981603156,18.137254901960784,1610612748,5,0,2026-03-20T00:14:44Z,130000,False,159.0,203.0,1,left,D. Mitchell 25' 3PT running (3 PTS) (T. Herro 1 AST),"[1630558, 1629639]",1610612748.0,MIA,running,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,25.78,T. Herro,1629639.0,1.0,,,,,,
15,PT11M00.00S,2026-03-20T00:12:37.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,66.83639947437582,25.0,1610612747,5,0,2026-03-20T00:12:43Z,150000,False,-125.0,259.0,1,right,MISS L. Dončić 28' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,28.78,,,,,,,,,
16,PT10M57.00S,2026-03-20T00:12:40.9Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612748,5,0,2026-03-20T00:12:43Z,160000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612748.0,MIA,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,
