actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-03T22:11:30.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-03T22:11:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-01-03T22:11:35.4Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2026-01-03T22:11:35Z,40000,False,,,0,,Jump Ball R. Gobert vs. K. Ware: Tip to A. Edwards,"[1630162, 203497, 1642276]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-01-03T22:11:53.7Z,1,REGULAR,3pt,Jump Shot,[],1628978,25.18068331143233,85.29411764705883,1610612750,0,0,2026-01-03T22:12:26Z,70000,False,-176.0,184.0,1,left,MISS D. DiVincenzo 25' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2026-01-03T22:11:59.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2026-01-03T22:12:07Z,80000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2026-01-03T22:12:00.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203497,5.863994743758213,49.26470588235294,1610612750,0,2,2026-01-03T22:12:12Z,90000,False,4.0,3.0,1,left,R. Gobert putback DUNK (2 PTS),[203497],1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.45,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M16.00S,2026-01-03T22:12:12.7Z,1,REGULAR,3pt,Jump Shot,[],203952,72.09264126149803,21.568627450980394,1610612748,0,2,2026-01-03T22:12:37Z,100000,False,-142.0,210.0,1,right,MISS A. Wiggins 25' pullup 3PT,[203952],1610612748.0,MIA,pullup,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2026-01-03T22:12:15.7Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,0,2,2026-01-03T22:12:18Z,110000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M12.00S,2026-01-03T22:12:17.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626181,77.34888304862024,9.803921568627452,1610612748,0,2,2026-01-03T22:12:24Z,120000,False,-201.0,160.0,1,right,MISS N. Powell 25' 3PT,[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2026-01-03T22:12:22.8Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,0,2,2026-01-03T22:12:24Z,130000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M59.00S,2026-01-03T22:12:30.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626181,87.33574244415243,33.57843137254902,1610612748,2,2,2026-01-03T22:12:39Z,140000,False,-82.0,67.0,1,right,N. Powell 10' turnaround fadeaway Jump Shot (2 PTS),[1626181],1610612748.0,MIA,turnaround fadeaway,,,Powell,N. Powell,,,,,Mid-Range,8-16 Left,10.57,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M50.00S,2026-01-03T22:12:39.5Z,1,REGULAR,turnover,lost ball,[],1628978,,,1610612750,2,2,2026-01-03T22:12:46Z,150000,False,,,0,,D. DiVincenzo lost ball TURNOVER (1 TO),"[1628978, 1626181]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,Powell,1626181.0,,,,,,,,,,
16,PT10M50.00S,2026-01-03T22:12:39.5Z,1,REGULAR,steal,,[],1626181,,,1610612748,2,2,2026-01-03T22:12:42Z,160000,False,,,0,,N. Powell STEAL (1 STL),[1626181],1610612748.0,MIA,,,,Powell,N. Powell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2026-01-03T22:12:45.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626181,71.04139290407359,77.69607843137256,1610612748,2,2,2026-01-03T22:14:08Z,170000,False,138.0,220.0,1,right,MISS N. Powell 25' running pullup 3PT,[1626181],1610612748.0,MIA,running pullup,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2026-01-03T22:12:48.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,2,2,2026-01-03T22:12:51Z,180000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M29.00S,2026-01-03T22:13:00.4Z,1,REGULAR,3pt,Jump Shot,[],203944,31.882391590013142,49.26470588235294,1610612750,2,2,2026-01-03T22:13:10Z,190000,False,4.0,247.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,24.72,Missed,,,,,,,,,,,,,,,,,,
20,PT10M25.00S,2026-01-03T22:13:04.4Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,2,2,2026-01-03T22:13:10Z,200000,False,,,0,,R. Gobert REBOUND (Off:2 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,19.0,2.0,0.0,2.0,,,,,,,,,,,,,,
22,PT10M24.00S,2026-01-03T22:13:05.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,5.206964520367937,50.245098039215684,1610612750,2,2,2026-01-03T22:14:59Z,220000,False,-1.0,-4.0,1,left,MISS R. Gobert putback Layup - blocked,"[203497, 1628389]",1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.38,Missed,,,,,,,,,Adebayo,1628389.0,,,,,,,,
23,PT10M24.00S,2026-01-03T22:13:05.2Z,1,REGULAR,block,,[],1628389,,,1610612750,2,2,2026-01-03T22:13:09Z,230000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M19.00S,2026-01-03T22:13:10.2Z,1,REGULAR,rebound,defensive,[],203952,,,1610612748,2,2,2026-01-03T22:13:10Z,240000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M16.00S,2026-01-03T22:13:13.5Z,1,REGULAR,3pt,Jump Shot,[],1628389,74.58935611038108,15.686274509803921,1610612748,5,2,2026-01-03T22:13:25Z,250000,False,-172.0,186.0,1,right,B. Adebayo 25' 3PT step back (3 PTS),[1628389],1610612748.0,MIA,step back,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,25.34,Made,,,,,3.0,,,,,,,,,,,,,
26,PT10M05.00S,2026-01-03T22:13:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628978,18.74178712220762,49.754901960784316,1610612750,5,2,2026-01-03T22:13:30Z,260000,False,1.0,124.0,1,left,MISS D. DiVincenzo 12' pullup Shot,[1628978],1610612750.0,MIN,pullup,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,12.37,Missed,,,,,,,,,,,,,,,,,,
