actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-10T23:40:45.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-10T23:40:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-10T23:40:48.6Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2026-03-10T23:40:48Z,40000,False,,,0,,Jump Ball B. Adebayo vs. A. Sarr: Tip to D. Mitchell,"[1630558, 1628389, 1642259]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Adebayo,1628389.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-03-10T23:41:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,10.5946123521682,44.36274509803921,1610612748,2,0,2026-03-10T23:41:13Z,70000,False,28.0,47.0,1,left,B. Adebayo turnaround fadeaway Jump Shot (2 PTS),[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,5.49,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2026-03-10T23:41:19.0Z,1,REGULAR,2pt,Jump Shot,[],1642259,87.86136662286465,30.88235294117647,1610612764,2,0,2026-03-10T23:41:27Z,80000,False,-96.0,62.0,1,right,MISS A. Sarr 11' turnaround fadeaway Shot,[1642259],1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Left,11.37,Missed,,,,,,,,,,,,,,,,,,
9,PT11M22.00S,2026-03-10T23:41:22.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,2,0,2026-03-10T23:41:27Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Left,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M08.00S,2026-03-10T23:41:45.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642066,5.863994743758213,52.20588235294118,1610612748,2,0,2026-03-10T23:46:47Z,110000,False,-11.0,3.0,1,left,MISS M. Gardner driving reverse DUNK - blocked,"[1642066, 1642259]",1610612748.0,MIA,driving reverse,,,Gardner,M. Gardner,,,,,Restricted Area,0-8 Center,1.13,Missed,,,Sarr,1642259.0,,,,,,,,,,,,,,
12,PT11M08.00S,2026-03-10T23:41:45.1Z,1,REGULAR,block,,[],1642259,,,1610612748,2,0,2026-03-10T23:41:47Z,120000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2026-03-10T23:41:49.1Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,2,0,2026-03-10T23:41:54Z,130000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,11.0,,,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M50.00S,2026-03-10T23:42:03.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641731,91.5407358738502,57.59803921568627,1610612764,2,0,2026-03-10T23:42:17Z,140000,False,38.0,27.0,1,right,MISS B. Coulibaly driving Hook,[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,4.66,Missed,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2026-03-10T23:42:08.5Z,1,REGULAR,rebound,defensive,[],1641796,,,1610612748,2,0,2026-03-10T23:42:09Z,150000,False,,,0,,P. Larsson REBOUND (Off:0 Def:1),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,,,,14.0,,,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M34.00S,2026-03-10T23:42:19.1Z,1,REGULAR,3pt,Jump Shot,[],1628389,16.507884362680684,94.11764705882352,1610612748,5,0,2026-03-10T23:49:59Z,160000,False,-221.0,103.0,1,left,B. Adebayo 24' 3PT  (5 PTS) (D. Mitchell 1 AST),"[1628389, 1630558]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,24.33,Made,5.0,,,,,,,D. Mitchell,1630558.0,1.0,,,,,,,,
18,PT10M22.00S,2026-03-10T23:42:32.8Z,1,REGULAR,foul,personal,[],1641796,,,1610612764,5,0,2026-03-10T23:42:51Z,180000,False,,,0,,P. Larsson personal FOUL (1 PF),"[1641796, 1642848]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2003.0,1.0,0.0,Johnson,1642848.0,,,
20,PT10M13.00S,2026-03-10T23:43:00.2Z,1,REGULAR,3pt,Jump Shot,[],1642259,67.49342969776609,40.931372549019606,1610612764,5,3,2026-03-10T23:43:05Z,200000,False,-45.0,253.0,1,right,A. Sarr 25' 3PT  (3 PTS) (T. Johnson 1 AST),"[1642259, 1642848]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Center,25.71,Made,3.0,,,,,,,T. Johnson,1642848.0,1.0,,,,,,,,
22,PT10M01.00S,2026-03-10T23:43:14.8Z,1,REGULAR,foul,personal,[],1642259,,,1610612748,5,3,2026-03-10T23:43:30Z,220000,False,,,0,,A. Sarr personal FOUL (1 PF),"[1642259, 1628389]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,2003.0,1.0,0.0,Adebayo,1628389.0,,,
24,PT09M54.00S,2026-03-10T23:43:47.7Z,1,REGULAR,turnover,out-of-bounds,[],1641796,,,1610612748,5,3,2026-03-10T23:43:55Z,240000,False,,,0,,P. Larsson bad pass out-of-bounds TURNOVER (1 TO),[1641796],1610612748.0,MIA,bad pass,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202049.0,,,,,1.0,,
25,PT09M43.00S,2026-03-10T23:44:02.3Z,1,REGULAR,turnover,out-of-bounds,[],1642267,,,1610612764,5,3,2026-03-10T23:44:09Z,250000,False,,,0,,B. Carrington bad pass out-of-bounds TURNOVER (1 TO),[1642267],1610612764.0,WAS,bad pass,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,202049.0,,,,,1.0,,
26,PT09M35.00S,2026-03-10T23:44:16.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641796,8.886333771353483,29.65686274509804,1610612748,5,3,2026-03-10T23:50:37Z,260000,False,102.0,31.0,1,left,MISS P. Larsson 10' driving floating bank Shot,[1641796],1610612748.0,MIA,driving floating bank,,,Larsson,P. Larsson,,,,,Mid-Range,8-16 Right,10.63,Missed,,,,,,,,,,,,,,,,,,
27,PT09M32.00S,2026-03-10T23:44:19.1Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,5,3,2026-03-10T23:44:24Z,270000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,,,,26.0,,,1.0,1.0,0.0,,,,,,,,,,,
28,PT09M26.00S,2026-03-10T23:44:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,91.5407358738502,63.23529411764706,1610612764,5,5,2026-03-10T23:44:31Z,280000,False,66.0,27.0,1,right,A. Sarr 7' turnaround fadeaway Jump Shot (5 PTS),[1642259],1610612764.0,WAS,turnaround fadeaway,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,7.15,Made,5.0,,,,,,,,,,,,,,,,,
29,PT09M09.00S,2026-03-10T23:44:43.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,9.806176084099869,46.32352941176471,1610612748,7,5,2026-03-10T23:51:20Z,290000,False,18.0,40.0,1,left,B. Adebayo driving floating Jump Shot (7 PTS) (D. Mitchell 2 AST),"[1628389, 1630558]",1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,4.38,Made,7.0,,,,,,,D. Mitchell,1630558.0,2.0,,,,,,,,
31,PT08M54.00S,2026-03-10T23:44:57.3Z,1,REGULAR,2pt,Jump Shot,[],1642848,77.34888304862024,72.30392156862744,1610612764,7,7,2026-03-10T23:45:04Z,310000,False,112.0,160.0,1,right,T. Johnson 19' step back Jump Shot (2 PTS),[1642848],1610612764.0,WAS,step back,,,Johnson,T. Johnson,,,,,Mid-Range,16-24 Right Center,19.53,Made,2.0,,,,,,,,,,,,,,,,,
32,PT08M44.00S,2026-03-10T23:45:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628389,17.427726675427067,93.38235294117648,1610612748,7,7,2026-03-10T23:45:18Z,320000,False,-217.0,111.0,1,left,MISS B. Adebayo 24' 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,24.38,Missed,,,,,,,,,,,,,,,,,,
33,PT08M43.00S,2026-03-10T23:45:08.3Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,7,7,2026-03-10T23:45:18Z,330000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:2),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,,,,32.0,,,2.0,2.0,0.0,,,,,,,,,,,
34,PT08M43.00S,2026-03-10T23:45:16.6Z,1,REGULAR,turnover,out-of-bounds,[],1641731,,,1610612764,7,7,2026-03-10T23:45:24Z,340000,False,,,0,,B. Coulibaly step out-of-bounds TURNOVER (1 TO),[1641731],1610612764.0,WAS,step,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202049.0,,,,,1.0,,
35,PT08M37.00S,2026-03-10T23:45:32.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630558,32.14520367936925,33.57843137254902,1610612748,7,7,2026-03-10T23:55:10Z,350000,False,82.0,250.0,1,left,MISS D. Mitchell 26' step back 3PT,[1630558],1610612748.0,MIA,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
36,PT08M33.00S,2026-03-10T23:45:36.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,7,7,2026-03-10T23:58:22Z,360000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Center,,,,35.0,,,,,,,,,,,,,,,,
40,PT08M20.00S,2026-03-10T23:45:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,93.77463863337714,48.529411764705884,1610612764,7,7,2026-03-10T23:46:00Z,400000,False,-7.0,6.0,1,right,MISS B. Coulibaly reverse Layup,[1641731],1610612764.0,WAS,reverse,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
41,PT08M17.00S,2026-03-10T23:45:56.8Z,1,REGULAR,rebound,defensive,[],1642857,,,1610612748,7,7,2026-03-10T23:46:00Z,410000,False,,,0,,K. Jakučionis REBOUND (Off:0 Def:1),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Restricted Area,0-8 Center,,,,40.0,,,1.0,1.0,0.0,,,,,,,,,,,
42,PT08M16.00S,2026-03-10T23:46:00.0Z,1,REGULAR,foul,personal,['2freethrow'],1642848,,,1610612748,7,7,2026-03-10T23:46:19Z,420000,False,,,0,,T. Johnson shooting personal FOUL (1 PF) (Larsson 2 FT),"[1642848, 1641796]",1610612764.0,WAS,shooting,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202049.0,1.0,0.0,Larsson,1641796.0,,,
44,PT08M16.00S,2026-03-10T23:46:30.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641796,,,1610612748,8,7,2026-03-10T23:46:30Z,440000,False,,,0,,P. Larsson Free Throw 1 of 2 (1 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
45,PT08M16.00S,2026-03-10T23:46:51.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641796,,,1610612748,9,7,2026-03-10T23:46:51Z,450000,False,,,0,,P. Larsson Free Throw 2 of 2 (2 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
46,PT08M04.00S,2026-03-10T23:47:04.6Z,1,REGULAR,3pt,Jump Shot,[],1642860,86.94152431011827,2.941176470588235,1610612764,9,7,2026-03-10T23:47:14Z,460000,False,-235.0,70.0,1,right,MISS W. Riley 24' 3PT,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,Left Corner 3,24+ Left,24.55,Missed,,,,,,,,,,,,,,,,,,
