actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-11-25T00:41:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-25T00:41:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-25T00:41:27.2Z,1,REGULAR,jumpball,recovered,[],1630558,,,1610612748,0,0,2025-11-25T00:41:27Z,40000,False,,,0,,Jump Ball K. Ware vs. D. Gafford: Tip to D. Mitchell,"[1630558, 1642276, 1629655]",1610612748.0,MIA,startperiod,D. Mitchell,1630558.0,Mitchell,D. Mitchell,Ware,1642276.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-25T00:41:38.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,14.668199737187912,47.549019607843135,1610612748,0,0,2025-11-25T00:50:19Z,70000,False,12.0,85.0,1,left,MISS B. Adebayo 8' driving Hook,[1628389],1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,8.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-11-25T00:41:43.8Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,0,0,2025-11-25T00:42:00Z,80000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-11-25T00:41:45.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642276,5.590000152587891,50.0,1610612748,0,0,2025-11-25T00:41:49Z,90000,False,0.0,0.0,1,left,MISS K. Ware tip Layup,[1642276],1610612748.0,MIA,tip,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2025-11-25T00:41:45.1Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,0,0,2025-11-25T01:00:40Z,100000,False,,,0,,K. Ware REBOUND (Off:2 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
140,PT11M39.00S,2025-11-25T00:41:47.8Z,1,REGULAR,turnover,out-of-bounds,[],1642276,,,1610612748,0,0,2025-11-25T01:02:17Z,105000,False,,,0,,K. Ware lost ball out-of-bounds TURNOVER (1 TO),[1642276],1610612748.0,MIA,lost ball,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,203592.0,1.0,,,,,,,,,,,,
12,PT11M23.00S,2025-11-25T00:42:08.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629023,89.30683311432325,60.78431372549019,1610612742,0,0,2025-11-25T01:01:11Z,120000,False,54.0,48.0,1,right,MISS P. Washington 7' driving floating Shot - blocked,"[1629023, 1628389]",1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,7.22,Missed,,,,,,,Adebayo,1628389.0,,,,,,,,,,
13,PT11M23.00S,2025-11-25T00:42:08.5Z,1,REGULAR,block,,[],1628389,,,1610612742,0,0,2025-11-25T00:42:12Z,130000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2025-11-25T00:42:13.5Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612742,0,0,2025-11-25T00:42:14Z,140000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M17.00S,2025-11-25T00:42:14.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fromturnover']",1629655,94.43166885676742,53.431372549019606,1610612742,0,0,2025-11-25T01:01:11Z,150000,False,17.0,0.0,1,right,MISS D. Gafford Layup,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.72,Missed,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2025-11-25T00:42:17.4Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612742,0,0,2025-11-25T00:42:17Z,160000,False,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
