actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-02T02:11:51.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-02T02:11:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-02T02:11:54.9Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2024-01-02T02:11:55Z,40000,False,,,0,,Jump Ball N. Richards vs. N. Jokic: Tip to M. Bridges,"[1628970, 1630208, 203999]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Richards,1630208.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-01-02T02:12:11.4Z,1,REGULAR,turnover,out-of-bounds,[],1641706,,,1610612766,0,0,2024-01-02T02:12:16Z,70000,False,,,0,,B. Miller bad pass out-of-bounds TURNOVER (1 TO),[1641706],1610612766.0,CHA,bad pass,,,Miller,B. Miller,,,,,Mid-Range,16-24 Right,1628482.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-01-02T02:12:34.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,29.911300919842315,25.245098039215684,1610612743,3,0,2024-01-02T02:13:00Z,80000,False,124.0,229.0,1,left,J. Murray 26' 3PT pullup (3 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,26.01,Made,3.0,,,,,,,,,,,,,,,
9,PT11M04.00S,2024-01-02T02:12:55.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630208,89.17542706964521,40.931372549019606,1610612766,3,2,2024-01-02T02:13:01Z,90000,False,-45.0,49.0,1,right,N. Richards 6' bank Jump Shot (2 PTS),[1630208],1610612766.0,CHA,bank,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,6.7,Made,2.0,,,,,,,,,,,,,,,
10,PT10M37.00S,2024-01-02T02:13:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.915243101182654,60.78431372549019,1610612743,3,2,2024-01-02T02:13:45Z,100000,False,-54.0,13.0,1,left,MISS J. Murray Layup,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,5.53,Missed,,,,,,,,,,,,,,,,
11,PT10M36.00S,2024-01-02T02:13:23.3Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,3,2,2024-01-02T02:13:26Z,110000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M22.00S,2024-01-02T02:13:37.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631121,90.48948751642575,53.67647058823529,1610612766,3,2,2024-01-02T02:13:46Z,120000,False,18.0,37.0,1,right,MISS B. McGowens driving Layup,[1631121],1610612766.0,CHA,driving,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,4.12,Missed,,,,,,,,,,,,,,,,
13,PT10M19.00S,2024-01-02T02:13:40.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2024-01-02T02:13:46Z,130000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M09.00S,2024-01-02T02:13:50.0Z,1,REGULAR,2pt,Jump Shot,[],1627750,20.844283837056505,36.76470588235294,1610612743,3,2,2024-01-02T02:13:55Z,140000,False,66.0,143.0,1,left,MISS J. Murray 15' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,8-16 Center,,,15.79,Missed,,,,,,,,,,,,,,,,
15,PT10M06.00S,2024-01-02T02:13:53.0Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,3,2,2024-01-02T02:13:55Z,150000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Center,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,
16,PT09M55.00S,2024-01-02T02:14:04.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,93.24901445466492,56.127450980392155,1610612766,3,2,2024-01-02T02:14:08Z,160000,False,31.0,11.0,1,right,MISS N. Richards Layup,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,3.25,Missed,,,,,,,,,,,,,,,,
17,PT09M54.00S,2024-01-02T02:14:05.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2024-01-02T02:14:08Z,170000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,
18,PT09M42.00S,2024-01-02T02:14:17.6Z,1,REGULAR,2pt,Jump Shot,[],1629008,16.113666228646515,77.45098039215686,1610612743,5,2,2024-01-02T02:14:22Z,180000,False,-137.0,99.0,1,left,M. Porter Jr. 16' step back Jump Shot (2 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left,,,16.93,Made,2.0,,,,,N. Jokic,203999.0,1.0,,,,,,,,
20,PT09M19.00S,2024-01-02T02:14:40.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,78.40013140604468,88.48039215686273,1610612766,5,2,2024-01-02T02:14:46Z,200000,False,192.0,151.0,1,right,MISS B. Miller 24' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,24.43,Missed,,,,,,,,,,,,,,,,
21,PT09M16.00S,2024-01-02T02:14:43.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,2,2024-01-02T02:14:46Z,210000,False,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,,,,,,20.0,3.0,3.0,0.0,,,,,,,,,,,
22,PT08M59.00S,2024-01-02T02:15:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,6.652431011826544,51.9607843137255,1610612743,7,2,2024-01-02T02:15:04Z,220000,False,-10.0,10.0,1,left,A. Gordon Layup (2 PTS) (J. Murray 1 AST),"[203932, 1627750]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,1.4,Made,2.0,,,,,J. Murray,1627750.0,1.0,,,,,,,,
24,PT08M44.00S,2024-01-02T02:15:14.8Z,1,REGULAR,3pt,Jump Shot,[],1641706,73.14388961892247,81.37254901960785,1610612766,7,5,2024-01-02T02:15:20Z,240000,False,157.0,200.0,1,right,B. Miller 25' 3PT  (3 PTS) (M. Bridges 1 AST),"[1641706, 1628970]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,25.41,Made,3.0,,,,,M. Bridges,1628970.0,1.0,,,,,,,,
26,PT08M20.00S,2024-01-02T02:15:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,6.389618922470433,55.14705882352941,1610612743,7,5,2024-01-02T02:15:44Z,260000,False,-26.0,8.0,1,left,MISS M. Porter Jr. driving Layup - blocked,"[1629008, 1630208]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,2.68,Missed,,,,,,,,,Richards,1630208.0,,,,,,
27,PT08M20.00S,2024-01-02T02:15:39.6Z,1,REGULAR,block,,[],1630208,,,1610612743,7,5,2024-01-02T02:15:41Z,270000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT08M17.00S,2024-01-02T02:15:42.6Z,1,REGULAR,rebound,defensive,[],1631121,,,1610612766,7,5,2024-01-02T02:15:44Z,280000,False,,,0,,B. McGowens REBOUND (Off:0 Def:1),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT08M09.00S,2024-01-02T02:15:50.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630208,90.09526938239159,39.705882352941174,1610612766,7,7,2024-01-02T02:16:02Z,290000,False,-51.0,41.0,1,right,N. Richards 6' turnaround Hook (4 PTS) (M. Bridges 2 AST),"[1630208, 1628970]",1610612766.0,CHA,turnaround,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,6.56,Made,4.0,,,,,M. Bridges,1628970.0,2.0,,,,,,,,
31,PT07M53.00S,2024-01-02T02:16:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,10.33180026281209,41.17647058823529,1610612743,9,7,2024-01-02T02:16:10Z,310000,False,44.0,45.0,1,left,J. Murray 6' turnaround Jump Shot (5 PTS) (N. Jokic 2 AST),"[1627750, 203999]",1610612743.0,DEN,turnaround,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,6.27,Made,5.0,,,,,N. Jokic,203999.0,2.0,,,,,,,,
33,PT07M37.00S,2024-01-02T02:16:22.3Z,1,REGULAR,2pt,Jump Shot,[],1641706,92.46057818659659,28.186274509803923,1610612766,9,7,2024-01-02T02:16:34Z,330000,False,-109.0,18.0,1,right,MISS B. Miller 11' driving floating Shot,[1641706],1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,Mid-Range,8-16 Left,,,11.06,Missed,,,,,,,,,,,,,,,,
34,PT07M35.00S,2024-01-02T02:16:24.3Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,9,7,2024-01-02T02:16:34Z,340000,False,,,0,,N. Richards REBOUND (Off:1 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,8-16 Left,,,,,,33.0,3.0,2.0,1.0,,,,,,,,,,,
35,PT07M34.00S,2024-01-02T02:16:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,92.9862023653088,49.754901960784316,1610612766,9,7,2024-01-02T02:16:38Z,350000,False,-1.0,13.0,1,right,MISS N. Richards putback Layup - blocked,"[1630208, 203932]",1610612766.0,CHA,putback,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,1.35,Missed,,,,,,,,,Gordon,203932.0,,,,,,
36,PT07M34.00S,2024-01-02T02:16:26.0Z,1,REGULAR,block,,[],203932,,,1610612766,9,7,2024-01-02T02:16:28Z,360000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT07M31.00S,2024-01-02T02:16:29.0Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,9,7,2024-01-02T02:16:38Z,370000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT07M30.00S,2024-01-02T02:16:29.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627750,27.677398160315374,23.03921568627451,1610612743,12,7,2024-01-02T02:16:44Z,380000,False,135.0,208.0,1,left,J. Murray 24' 3PT running pullup (8 PTS),[1627750],1610612743.0,DEN,running pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,24.76,Made,8.0,,,,,,,,,,,,,,,
39,PT07M10.00S,2024-01-02T02:16:51.1Z,1,REGULAR,turnover,traveling,[],1641706,,,1610612766,12,7,2024-01-02T02:16:59Z,390000,False,,,0,,B. Miller traveling TURNOVER (2 TO),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Left,201245.0,2.0,,,,,,,,,,,,,,,,,,
40,PT07M00.00S,2024-01-02T02:17:13.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627750,25.312089356110377,54.65686274509803,1610612743,12,7,2024-01-02T02:17:18Z,400000,False,-23.0,185.0,1,left,MISS J. Murray 18' step back Shot,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,,,18.69,Missed,,,,,,,,,,,,,,,,
41,PT06M57.00S,2024-01-02T02:17:16.1Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,12,7,2024-01-02T02:17:18Z,410000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,16-24 Center,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
42,PT06M49.00S,2024-01-02T02:17:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202397,82.86793692509855,54.41176470588235,1610612766,12,9,2024-01-02T02:17:36Z,420000,False,22.0,109.0,1,right,I. Smith 11' pullup Jump Shot (2 PTS) (B. Miller 1 AST),"[202397, 1641706]",1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,11.07,Made,2.0,,,,,B. Miller,1641706.0,1.0,,,,,,,,
44,PT06M30.00S,2024-01-02T02:17:42.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,26.231931668856767,14.460784313725492,1610612743,15,9,2024-01-02T02:17:48Z,440000,False,178.0,194.0,1,left,J. Murray 26' 3PT step back (11 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,26.32,Made,11.0,,,,,,,,,,,,,,,
45,PT06M15.00S,2024-01-02T02:17:57.2Z,1,REGULAR,2pt,Jump Shot,[],202397,81.8166885676741,29.166666666666668,1610612766,15,11,2024-01-02T02:18:01Z,450000,False,-104.0,118.0,1,right,I. Smith 15' pullup Jump Shot (4 PTS),[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,Mid-Range,8-16 Left,,,15.77,Made,4.0,,,,,,,,,,,,,,,
46,PT05M58.00S,2024-01-02T02:18:14.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,32.013797634691194,57.84313725490197,1610612743,15,11,2024-01-02T02:18:18Z,460000,False,-39.0,248.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,25.15,Missed,,,,,,,,,,,,,,,,
47,PT05M57.00S,2024-01-02T02:18:15.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,15,11,2024-01-02T02:18:18Z,470000,False,,,0,,N. Richards REBOUND (Off:1 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,,,,46.0,4.0,3.0,1.0,,,,,,,,,,,
48,PT05M47.00S,2024-01-02T02:18:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202397,81.94809461235218,59.80392156862745,1610612766,15,11,2024-01-02T02:18:32Z,480000,False,49.0,117.0,1,right,MISS I. Smith 12' pullup Shot,[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,12.7,Missed,,,,,,,,,,,,,,,,
49,PT05M43.00S,2024-01-02T02:18:30.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,11,2024-01-02T02:18:32Z,490000,False,,,0,,N. Jokic REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,48.0,4.0,4.0,0.0,,,,,,,,,,,
50,PT05M31.00S,2024-01-02T02:18:42.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,34.11629434954008,48.03921568627451,1610612743,15,11,2024-01-02T02:18:48Z,500000,False,10.0,268.0,1,left,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,26.84,Missed,,,,,,,,,,,,,,,,
