actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-10T02:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-10T02:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-10T02:10:48.6Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-03-10T02:10:48Z,40000,False,,,0,,Jump Ball N. Jokic vs. W. Kessler: Tip to A. Gordon,"[203932, 203999, 1631117]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-10T02:11:05.6Z,1,REGULAR,turnover,backcourt,[],203999,,,1610612743,0,0,2024-03-10T02:11:30Z,70000,False,,,0,,N. Jokic backcourt TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,202007.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-03-10T02:11:38.6Z,1,REGULAR,turnover,double dribble,[],1641718,,,1610612762,0,0,2024-03-10T02:11:49Z,80000,False,,,0,,K. George double dribble TURNOVER (1 TO),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,1628159.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2024-03-10T02:11:58.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203999,13.485545335085414,20.588235294117645,1610612743,2,0,2024-03-10T02:12:05Z,90000,False,147.0,74.0,1,left,N. Jokic 16' Jump Shot (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Right,,,16.48,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,
11,PT10M50.00S,2024-03-10T02:12:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,92.72339027595268,40.19607843137255,1610612762,2,0,2024-03-10T02:12:49Z,110000,False,-49.0,16.0,1,right,MISS W. Kessler cutting Layup - blocked,"[1631117, 203484]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,5.15,Missed,,,,,Caldwell-Pope,203484.0,,,,,,,,,,
12,PT10M50.00S,2024-03-10T02:12:21.3Z,1,REGULAR,block,,[],203484,,,1610612762,2,0,2024-03-10T02:12:23Z,120000,False,,,0,,K. Caldwell-Pope BLOCK (1 BLK),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2024-03-10T02:12:21.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,2,0,2024-03-10T02:12:29Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,11.0,,,,,,,,,
14,PT10M44.00S,2024-03-10T02:12:45.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629012,81.42247043363994,27.205882352941174,1610612762,2,0,2024-03-10T02:12:55Z,140000,False,-114.0,122.0,1,right,MISS C. Sexton 16' driving floating Shot,[1629012],1610612762.0,UTA,driving floating,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left Center,,,16.7,Missed,,,,,,,,,,,,,,,,
15,PT10M39.00S,2024-03-10T02:12:50.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,0,2024-03-10T02:12:50Z,150000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT10M35.00S,2024-03-10T02:12:54.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,28.203022339027594,72.30392156862744,1610612743,5,0,2024-03-10T02:13:08Z,160000,False,-112.0,213.0,1,left,M. Porter Jr. 24' 3PT running (3 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,24.01,Made,3.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,
18,PT10M09.00S,2024-03-10T02:13:19.7Z,1,REGULAR,2pt,Jump Shot,[],1641729,90.48948751642575,73.77450980392157,1610612762,5,2,2024-03-10T02:13:27Z,180000,False,119.0,37.0,1,right,B. Sensabaugh 12' driving floating bank Jump Shot (2 PTS) (C. Sexton 1 AST),"[1641729, 1629012]",1610612762.0,UTA,driving floating bank,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,8-16 Right,,,12.45,Made,2.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,
20,PT09M53.00S,2024-03-10T02:13:36.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,20.45006570302234,90.93137254901961,1610612743,8,2,2024-03-10T02:13:41Z,200000,False,-205.0,140.0,1,left,J. Murray 24' 3PT  (3 PTS) (A. Gordon 2 AST),"[1627750, 203932]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,24.78,Made,3.0,A. Gordon,203932.0,2.0,,,,,,,,,,,,
22,PT09M29.00S,2024-03-10T02:14:00.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641729,84.44480946123521,59.068627450980394,1610612762,8,4,2024-03-10T02:15:24Z,220000,False,45.0,94.0,1,right,B. Sensabaugh 10' fadeaway Jump Shot (4 PTS),[1641729],1610612762.0,UTA,fadeaway,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),8-16 Center,,,10.41,Made,4.0,,,,,,,,,,,,,,,
23,PT09M12.00S,2024-03-10T02:14:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,17.0335085413929,50.245098039215684,1610612743,10,4,2024-03-10T02:14:24Z,230000,False,-1.0,108.0,1,left,N. Jokic 10' floating Jump Shot (4 PTS) (A. Gordon 3 AST),"[203999, 203932]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,10.76,Made,4.0,A. Gordon,203932.0,3.0,,,,,,,,,,,,
25,PT08M57.00S,2024-03-10T02:14:32.2Z,1,REGULAR,3pt,Jump Shot,[],1641718,66.96780551905388,34.55882352941176,1610612762,10,4,2024-03-10T02:14:38Z,250000,False,-77.0,258.0,1,right,MISS K. George 26' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,26.93,Missed,,,,,,,,,,,,,,,,
26,PT08M53.00S,2024-03-10T02:14:36.2Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,10,4,2024-03-10T02:14:38Z,260000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,
