actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-22T01:10:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-22T01:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-22T01:10:40.4Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2024-03-22T01:10:40Z,40000,False,,,0,,Jump Ball N. Jokic vs. I. Hartenstein: Tip to J. Murray,"[1627750, 203999, 1628392]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokic,203999.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-03-22T01:10:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,93.24901445466492,53.18627450980392,1610612743,2,0,2024-03-22T01:10:56Z,70000,False,16.0,11.0,1,right,J. Murray driving finger roll Layup (2 PTS),[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.93,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-03-22T01:11:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,13.354139290407357,55.63725490196079,1610612752,2,2,2024-03-22T01:11:12Z,80000,False,-28.0,73.0,1,left,J. Brunson 7' driving floating Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.83,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-03-22T01:11:09.1Z,1,REGULAR,foul,personal,['1freethrow'],203484,,,1610612752,2,2,2024-03-22T01:11:14Z,90000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (Brunson 1 FT),"[203484, 1628973]",1610612743.0,DEN,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,1662.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,
11,PT11M33.00S,2024-03-22T01:11:36.9Z,1,REGULAR,freethrow,1 of 1,[],1628973,,,1610612752,2,3,2024-03-22T01:11:37Z,110000,False,,,0,,J. Brunson Free Throw 1 of 1 (3 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2024-03-22T01:11:51.6Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,2,3,2024-03-22T01:11:57Z,120000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1630540]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,1.0,McBride,1630540.0,,,,,,,,,
13,PT11M20.00S,2024-03-22T01:11:51.6Z,1,REGULAR,steal,,[],1630540,,,1610612752,2,3,2024-03-22T01:11:53Z,130000,False,,,0,,M. McBride STEAL (1 STL),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2024-03-22T01:11:56.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628392,13.748357424441524,52.69607843137255,1610612752,2,3,2024-03-22T01:12:48Z,140000,False,-13.0,77.0,1,left,MISS I. Hartenstein 7' running Shot,[1628392],1610612752.0,NYK,running,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,7.79,Missed,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2024-03-22T01:12:00.4Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612752,2,3,2024-03-22T01:12:00Z,150000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
