actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-04T02:22:11.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-04T02:22:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-04T02:22:18.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2023-11-04T02:22:18Z,40000,False,,,0,,Jump Ball N. Jokic vs. D. Lively II: Tip to Team (DEN),"[203999, 1641726]",1610612743.0,DEN,startperiod,Team (DEN),Jokic,203999.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-11-04T02:22:45.9Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,0,0,2023-11-04T02:22:50Z,70000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1627884]",1610612743.0,DEN,,,,,,,Mid-Range,16-24 Left Center,1.0,Jokic,N. Jokic,Jones Jr.,1627884.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-11-04T02:22:45.9Z,1,REGULAR,steal,,[],1627884,,,1610612742,0,0,2023-11-04T02:22:47Z,80000,False,,,0,,D. Jones Jr. STEAL (1 STL),[1627884],1610612742.0,DAL,,,,,,,Mid-Range,16-24 Left Center,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2023-11-04T02:22:50.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627884,7.966491458607096,46.32352941176471,1610612742,0,2,2023-11-04T02:23:00Z,90000,False,18.0,22.0,1,left,D. Jones Jr. running finger roll Layup (2 PTS),[1627884],1610612742.0,DAL,running finger roll,,,,,,Restricted Area,0-8 Center,,Jones Jr.,D. Jones Jr.,,,2.9,Made,2.0,,,,,,,,,,,,,,
10,PT11M12.00S,2023-11-04T02:23:09.0Z,1,REGULAR,turnover,bad pass,[],203484,,,1610612743,0,2,2023-11-04T02:23:12Z,100000,False,,,0,,K. Caldwell-Pope bad pass TURNOVER (1 TO),"[203484, 1629684]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,1.0,Caldwell-Pope,K. Caldwell-Pope,Williams,1629684.0,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2023-11-04T02:23:09.0Z,1,REGULAR,steal,,[],1629684,,,1610612742,0,2,2023-11-04T02:23:10Z,110000,False,,,0,,G. Williams STEAL (1 STL),[1629684],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),0-8 Center,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2023-11-04T02:23:15.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641726,6.1268068331143235,52.20588235294118,1610612742,0,4,2023-11-04T02:23:22Z,120000,False,-11.0,5.0,1,left,D. Lively II running reverse Layup (2 PTS) (L. Doncic 1 AST),"[1641726, 1629029]",1610612742.0,DAL,running reverse,,,,,,Restricted Area,0-8 Center,,Lively II,D. Lively II,,,1.21,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,
14,PT10M55.00S,2023-11-04T02:23:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.64323258869908,56.127450980392155,1610612743,2,4,2023-11-04T02:24:06Z,140000,False,31.0,7.0,1,right,N. Jokic driving Layup (2 PTS),[203999],1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,,Jokic,N. Jokic,,,3.15,Made,2.0,,,,,,,,,,,,,,
15,PT10M39.00S,2023-11-04T02:23:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,8.360709592641262,46.81372549019608,1610612742,2,6,2023-11-04T02:23:52Z,150000,False,16.0,26.0,1,left,L. Doncic driving finger roll Layup (2 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,,,,Restricted Area,0-8 Center,,Doncic,L. Doncic,,,3.06,Made,2.0,,,,,,,,,,,,,,
