actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-03-01T03:08:43.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-01T03:08:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-01T03:08:51.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2024-03-01T03:08:51Z,40000,False,,,0,,Jump Ball N. Jokic vs. B. Adebayo: Tip to Team (DEN),"[203999, 1628389]",1610612743.0,DEN,startperiod,Team (DEN),Jokic,203999.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-01T03:09:19.6Z,1,REGULAR,2pt,Jump Shot,[],203932,84.70762155059133,32.1078431372549,1610612743,2,0,2024-03-01T03:09:28Z,80000,False,-89.0,91.0,1,right,A. Gordon 12' turnaround fadeaway Jump Shot (2 PTS) (K. Caldwell-Pope 1 AST),"[203932, 203484]",1610612743.0,DEN,turnaround fadeaway,,,,,,Mid-Range,8-16 Left,12.78,Made,2.0,Gordon,A. Gordon,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,,
10,PT11M16.00S,2024-03-01T03:09:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.719448094612352,37.99019607843137,1610612748,2,0,2024-03-01T03:10:13Z,100000,False,60.0,95.0,1,left,MISS B. Adebayo 11' floating Shot,[1628389],1610612748.0,MIA,floating,,,,,,In The Paint (Non-RA),8-16 Right,11.26,Missed,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2024-03-01T03:09:42.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,0,2024-03-01T03:09:47Z,110000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Porter Jr.,M. Porter Jr.,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M00.00S,2024-03-01T03:09:57.3Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612743,2,0,2024-03-01T03:10:03Z,120000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Gordon 2 FT),"[1629130, 203932]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,,Robinson,D. Robinson,,,,,,,,201246.0,1.0,0.0,Gordon,203932.0,,,,,,
14,PT11M00.00S,2024-03-01T03:10:26.2Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,3,0,2024-03-01T03:10:26Z,140000,False,,,0,,A. Gordon Free Throw 1 of 2 (3 PTS),[203932],1610612743.0,DEN,,,,,,,,,,Made,3.0,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2024-03-01T03:10:43.8Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,4,0,2024-03-01T03:10:43Z,150000,False,,,0,,A. Gordon Free Throw 2 of 2 (4 PTS),[203932],1610612743.0,DEN,,,,,,,,,,Made,4.0,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2024-03-01T03:10:59.0Z,1,REGULAR,3pt,Jump Shot,[],1629130,20.45006570302234,6.862745098039216,1610612748,4,0,2024-03-01T03:11:04Z,160000,False,216.0,140.0,1,left,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2024-03-01T03:11:01.0Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,4,0,2024-03-01T03:11:04Z,170000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Murray,J. Murray,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M31.00S,2024-03-01T03:11:15.1Z,1,REGULAR,3pt,Jump Shot,[],1627750,80.50262812089356,93.13725490196079,1610612743,7,0,2024-03-01T03:11:20Z,180000,False,216.0,131.0,1,right,J. Murray 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.23,Made,3.0,Murray,J. Murray,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,,
