actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-09T03:13:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T03:13:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-09T03:13:48.3Z,1,REGULAR,jumpball,recovered,[],203967,,,1610612744,0,0,2023-11-09T03:13:48Z,40000,False,,,0,,Jump Ball K. Looney vs. N. Jokic: Tip to D. Saric,"[203967, 1626172, 203999]",1610612744.0,GSW,startperiod,D. Saric,203967.0,Saric,D. Saric,Looney,1626172.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-09T03:13:58.8Z,1,REGULAR,2pt,Jump Shot,[],202691,74.72076215505913,50.98039215686274,1610612744,0,2,2023-11-09T03:14:13Z,70000,False,5.0,185.0,1,right,K. Thompson 18' pullup Jump Shot (2 PTS) (D. Saric 1 AST),"[202691, 203967]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,18.52,Made,2.0,D. Saric,203967.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-11-09T03:14:20.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,10.200394218134035,45.34313725490196,1610612743,2,2,2023-11-09T03:14:33Z,90000,False,23.0,43.0,1,left,N. Jokic driving floating Jump Shot (2 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M05.00S,2023-11-09T03:14:39.1Z,1,REGULAR,turnover,lost ball,[],1626172,,,1610612744,2,2,2023-11-09T03:14:49Z,100000,False,,,0,,K. Looney lost ball TURNOVER (1 TO),"[1626172, 203999]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,1.0,Jokic,203999.0,,,,,,,,,,,
11,PT11M05.00S,2023-11-09T03:14:39.1Z,1,REGULAR,steal,,[],203999,,,1610612743,2,2,2023-11-09T03:14:43Z,110000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2023-11-09T03:14:49.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202704,24.917871222076215,81.12745098039215,1610612743,5,2,2023-11-09T03:14:55Z,120000,False,-156.0,182.0,1,left,R. Jackson 3PT  (3 PTS) (A. Gordon 1 AST),"[202704, 203932]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,23.92,Made,3.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
14,PT10M37.00S,2023-11-09T03:15:09.1Z,1,REGULAR,turnover,double dribble,[],202691,,,1610612744,5,2,2023-11-09T03:15:23Z,140000,False,,,0,,K. Thompson double dribble TURNOVER (1 TO),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,202035.0,,,,,,,,,,
15,PT10M17.00S,2023-11-09T03:15:39.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203999,19.136005256241788,59.80392156862745,1610612743,7,2,2023-11-09T03:15:46Z,150000,False,-49.0,127.0,1,left,N. Jokic 13' turnaround Jump Shot (4 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,13.65,Made,4.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
17,PT10M00.00S,2023-11-09T03:15:57.0Z,1,REGULAR,3pt,Jump Shot,[],203967,67.36202365308804,45.83333333333333,1610612744,7,2,2023-11-09T03:16:03Z,170000,False,-21.0,254.0,1,right,MISS D. Saric 25' 3PT,[203967],1610612744.0,GSW,,,,Saric,D. Saric,,,,,Above the Break 3,24+ Center,25.51,Missed,,,,,,,,,,,,,,,,,,
18,PT09M57.00S,2023-11-09T03:16:00.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,2,2023-11-09T03:16:03Z,180000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT09M51.00S,2023-11-09T03:16:08.9Z,1,REGULAR,foul,personal,['2freethrow'],201939,,,1610612743,7,2,2023-11-09T03:16:16Z,190000,False,,,0,,S. Curry shooting personal FOUL (1 PF) (Gordon 2 FT),"[201939, 203932]",1610612744.0,GSW,shooting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,,,,202035.0,,,,,1.0,0.0,Gordon,203932.0,,
21,PT09M51.00S,2023-11-09T03:16:36.2Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,8,2,2023-11-09T03:16:36Z,210000,False,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
