actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-31T01:10:59.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-31T01:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-10-31T01:11:01.0Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-10-31T01:11:01Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Jokic: Tip to T. Horton-Tucker,"[1629659, 1631117, 203999]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-10-31T01:11:20.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,72.35545335085413,79.16666666666666,1610612762,0,0,2023-10-31T01:11:26Z,70000,False,146.0,207.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-10-31T01:11:24.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2023-10-31T01:13:44Z,80000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-10-31T01:11:35.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,10.5946123521682,62.99019607843137,1610612743,2,0,2023-10-31T01:11:39Z,90000,False,-65.0,47.0,1,left,J. Murray 8' driving floating Jump Shot (2 PTS),[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,8.03,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M10.00S,2023-10-31T01:11:50.1Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612762,2,0,2023-10-31T01:11:58Z,100000,False,,,0,,N. Jokic shooting personal FOUL (1 PF) (Kessler 2 FT),"[203999, 1631117]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,2004.0,1.0,0.0,Kessler,1631117.0,,,,,,,,
12,PT11M10.00S,2023-10-31T01:12:16.0Z,1,REGULAR,freethrow,1 of 2,[],1631117,,,1610612762,2,0,2023-10-31T01:12:16Z,120000,False,,,0,,MISS W. Kessler Free Throw 1 of 2,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2023-10-31T01:12:16.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,2,0,2023-10-31T01:12:16Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2023-10-31T01:12:32.2Z,1,REGULAR,freethrow,2 of 2,[],1631117,,,1610612762,2,1,2023-10-31T01:12:32Z,140000,False,,,0,,W. Kessler Free Throw 2 of 2 (1 PTS),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
15,PT10M54.00S,2023-10-31T01:12:50.6Z,1,REGULAR,3pt,Jump Shot,[],1627750,26.49474375821288,15.196078431372548,1610612743,2,1,2023-10-31T01:12:54Z,150000,False,174.0,197.0,1,left,MISS J. Murray 26' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,26.25,Missed,,,,,,,,,,,,,,,,,,
