actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,descriptor,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-07T01:11:07.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-07T01:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PT12M00.00S,2024-04-07T01:11:13.6Z,1,REGULAR,violation,jumpball,[],203999,,,0,0,0,2024-04-07T01:11:38Z,30000,False,,,0,,N. Jokic jumpball VIOLATION,[203999],1610612743.0,DEN,2002.0,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,
4,PT11M44.00S,2024-04-07T01:11:45.7Z,1,REGULAR,3pt,Jump Shot,[],1627749,4.5499342969776615,94.11764705882352,1610612737,0,3,2024-04-07T01:12:27Z,40000,False,-221.0,-10.0,1,left,D. Murray 3PT  (3 PTS) (J. Johnson 1 AST),"[1627749, 1630552]",1610612737.0,ATL,,Murray,D. Murray,Left Corner 3,24+ Left,22.08,Made,3.0,J. Johnson,1630552.0,1.0,,,,,,,,,,,,,,
6,PT11M17.00S,2024-04-07T01:12:12.7Z,1,REGULAR,3pt,Jump Shot,[],203999,67.62483574244416,58.333333333333336,1610612743,3,3,2024-04-07T01:12:18Z,60000,False,42.0,252.0,1,right,N. Jokic 25' 3PT  (3 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,,Jokic,N. Jokic,Above the Break 3,24+ Center,25.52,Made,3.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,,,,,
8,PT11M02.00S,2024-04-07T01:12:26.7Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,3,3,2024-04-07T01:12:30Z,80000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 203484]",1610612737.0,ATL,,Johnson,J. Johnson,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,,,,
9,PT11M02.00S,2024-04-07T01:12:26.7Z,1,REGULAR,steal,,[],203484,,,1610612743,3,3,2024-04-07T01:12:28Z,90000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,Caldwell-Pope,K. Caldwell-Pope,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT10M58.00S,2024-04-07T01:12:30.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627750,79.84559789750328,90.19607843137256,1610612743,3,3,2024-04-07T01:14:05Z,100000,False,201.0,137.0,1,right,MISS J. Murray 24' running 3PT,[1627750],1610612743.0,DEN,,Murray,J. Murray,Above the Break 3,24+ Right Center,24.32,Missed,,,,,,,,running,,,,,,,,,,
11,PT10M55.00S,2024-04-07T01:12:33.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,3,2024-04-07T01:12:37Z,110000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,Capela,C. Capela,Above the Break 3,24+ Right Center,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,
12,PT10M47.00S,2024-04-07T01:12:42.1Z,1,REGULAR,3pt,Jump Shot,[],1627749,32.53942181340342,64.95098039215686,1610612737,3,3,2024-04-07T01:12:45Z,120000,False,-75.0,253.0,1,left,MISS D. Murray 26' 3PT,[1627749],1610612737.0,ATL,,Murray,D. Murray,Above the Break 3,24+ Center,26.42,Missed,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2024-04-07T01:12:43.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,3,2024-04-07T01:12:45Z,130000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,Jokic,N. Jokic,Above the Break 3,24+ Center,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M36.00S,2024-04-07T01:12:53.9Z,1,REGULAR,2pt,Jump Shot,[],203484,74.06373193166885,49.26470588235294,1610612743,5,3,2024-04-07T01:12:58Z,140000,False,-4.0,191.0,1,right,K. Caldwell-Pope 19' pullup Jump Shot (2 PTS),[203484],1610612743.0,DEN,,Caldwell-Pope,K. Caldwell-Pope,Mid-Range,16-24 Center,19.13,Made,2.0,,,,,,,pullup,,,,,,,,,,
