actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-27T01:11:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-27T01:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-27T01:11:04.4Z,1,REGULAR,jumpball,recovered,[],203200,,,1610612743,0,0,2023-11-27T01:11:04Z,40000,False,,,0,,Jump Ball N. Jokic vs. V. Wembanyama: Tip to J. Holiday,"[203200, 203999, 1641705]",1610612743.0,DEN,startperiod,J. Holiday,203200.0,Holiday,J. Holiday,Jokic,203999.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-11-27T01:11:20.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,77.7431011826544,11.27450980392157,1610612743,3,0,2023-11-27T01:11:27Z,70000,False,-194.0,157.0,1,right,M. Porter Jr. 24' 3PT step back (3 PTS) (J. Holiday 1 AST),"[1629008, 203200]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.91,Made,3.0,J. Holiday,203200.0,1.0,,,,,,,,,,,,,,
9,PT11M14.00S,2023-11-27T01:11:46.4Z,1,REGULAR,3pt,Jump Shot,[],1628380,30.436925098554536,62.254901960784316,1610612759,3,0,2023-11-27T01:12:02Z,90000,False,-61.0,234.0,1,left,MISS Z. Collins 24' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,24.15,Missed,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2023-11-27T01:11:49.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,3,0,2023-11-27T01:12:02Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M11.00S,2023-11-27T01:11:58.0Z,1,REGULAR,foul,personal,[],203200,,,1610612759,3,0,2023-11-27T01:12:14Z,110000,False,,,0,,J. Holiday loose ball personal FOUL (1 PF),"[203200, 1641705]",1610612743.0,DEN,loose ball,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,1162.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,
13,PT11M02.00S,2023-11-27T01:12:23.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1641705,21.107095926412615,40.68627450980392,1610612759,3,2,2023-11-27T01:12:29Z,130000,False,47.0,146.0,1,left,V. Wembanyama 15' fadeaway Jump Shot (2 PTS),[1641705],1610612759.0,SAS,fadeaway,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Center,15.32,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2023-11-27T01:12:37.8Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612743,3,2,2023-11-27T01:12:44Z,140000,False,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612743.0,DEN,bad pass,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,,1162.0,,,,,1.0,,,,,,,
15,PT10M30.00S,2023-11-27T01:13:04.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641705,27.677398160315374,49.01960784313725,1610612759,3,2,2023-11-27T01:13:09Z,150000,False,5.0,208.0,1,left,MISS V. Wembanyama 20' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,20.78,Missed,,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2023-11-27T01:13:08.3Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,3,2,2023-11-27T01:15:19Z,160000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Center,,,,,,,15.0,,,,,,,1.0,1.0,0.0,,,,
