actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-27T22:48:57.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-27T22:48:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-27T22:49:02.8Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612743,0,0,2024-01-27T22:49:02Z,40000,False,,,0,,Jump Ball N. Jokic vs. P. Reed: Tip to K. Caldwell-Pope,"[203484, 203999, 1630194]",1610612743.0,DEN,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Jokic,203999.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-27T22:49:11.0Z,1,REGULAR,3pt,Jump Shot,[],203484,69.33311432325887,29.411764705882355,1610612743,0,0,2024-01-27T22:49:17Z,70000,False,-103.0,236.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,25.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-01-27T22:49:15.0Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,0,0,2024-01-27T22:49:17Z,80000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2024-01-27T22:49:23.1Z,1,REGULAR,turnover,bad pass,[],1626162,,,1610612755,0,0,2024-01-27T22:49:29Z,90000,False,,,0,,K. Oubre Jr. bad pass TURNOVER (1 TO),"[1626162, 203999]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Jokic,203999.0,,,,,,,,,,,
10,PT11M34.00S,2024-01-27T22:49:23.1Z,1,REGULAR,steal,,[],203999,,,1610612743,0,0,2024-01-27T22:49:26Z,100000,False,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2024-01-27T22:49:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629008,90.3580814717477,37.99019607843137,1610612743,0,0,2024-01-27T22:49:39Z,110000,False,-60.0,38.0,1,right,MISS M. Porter Jr. 7' driving Layup - blocked,"[1629008, 1626162]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.11,Missed,,,,,,,,Oubre Jr.,1626162.0,,,,,,,,,
12,PT11M25.00S,2024-01-27T22:49:32.5Z,1,REGULAR,block,,[],1626162,,,1610612743,0,0,2024-01-27T22:49:35Z,120000,False,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M21.00S,2024-01-27T22:49:36.5Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,0,2024-01-27T22:49:39Z,130000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M16.00S,2024-01-27T22:49:40.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,16.507884362680684,93.87254901960785,1610612755,0,0,2024-01-27T22:52:00Z,140000,False,-219.0,103.0,1,left,MISS P. Beverley 24' running 3PT,[201976],1610612755.0,PHI,running,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,24.22,Missed,,,,,,,,,,,,,,,,,,
