actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-15T02:11:15.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T02:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-15T02:11:18.6Z,1,REGULAR,jumpball,recovered,[],203200,,,1610612743,0,0,2024-02-15T02:11:18Z,40000,False,,,0,,Jump Ball N. Jokic vs. D. Sabonis: Tip to J. Holiday,"[203200, 203999, 1627734]",1610612743.0,DEN,startperiod,J. Holiday,203200.0,Holiday,J. Holiday,Jokic,203999.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-02-15T02:11:36.7Z,1,REGULAR,2pt,Jump Shot,[],1629008,94.69448094612353,73.52941176470588,1610612743,2,0,2024-02-15T02:11:47Z,70000,False,118.0,-3.0,1,right,M. Porter Jr. 11' fadeaway Jump Shot (2 PTS),[1629008],1610612743.0,DEN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Right,11.76,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2024-02-15T02:11:53.9Z,1,REGULAR,2pt,Jump Shot,[],1627734,9.937582128777924,21.568627450980394,1610612758,2,0,2024-02-15T02:12:00Z,80000,False,142.0,41.0,1,left,MISS D. Sabonis 14' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,14.8,Missed,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-02-15T02:11:56.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,0,2024-02-15T02:12:00Z,90000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M05.00S,2024-02-15T02:12:29.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,89.17542706964521,3.1862745098039214,1610612743,5,0,2024-02-15T02:12:36Z,110000,False,-234.0,49.0,1,right,M. Porter Jr. 3PT  (5 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,23.92,Made,5.0,,,,,N. Jokic,203999.0,1.0,,,,,,,,,,
13,PT10M55.00S,2024-02-15T02:12:39.8Z,1,REGULAR,2pt,Jump Shot,[],1628368,15.062417871222076,72.30392156862744,1610612758,5,0,2024-02-15T02:12:47Z,130000,False,-112.0,89.0,1,left,MISS D. Fox 14' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,14.27,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2024-02-15T02:12:42.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,0,2024-02-15T02:12:47Z,140000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,
15,PT10M43.00S,2024-02-15T02:12:52.3Z,1,REGULAR,turnover,bad pass,[],203932,,,1610612743,5,0,2024-02-15T02:12:57Z,150000,False,,,0,,A. Gordon bad pass TURNOVER (1 TO),"[203932, 1627734]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Sabonis,1627734.0,,,,,,,
16,PT10M43.00S,2024-02-15T02:12:52.3Z,1,REGULAR,steal,,[],1627734,,,1610612758,5,0,2024-02-15T02:12:53Z,160000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
