actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-29T02:10:49.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-29T02:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-12-29T02:10:57.6Z,1,REGULAR,violation,jumpball,[],203999,,,0,0,0,2023-12-29T02:11:22Z,40000,False,,,0,,N. Jokic jumpball VIOLATION,[203999],1610612743.0,DEN,1830.0,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,
5,PT11M48.00S,2023-12-29T02:11:19.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,91.93495400788436,54.41176470588235,1610612763,0,0,2023-12-29T02:12:07Z,50000,False,22.0,23.0,1,right,MISS J. Jackson Jr. driving Hook,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,driving,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,
6,PT11M46.00S,2023-12-29T02:11:21.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2023-12-29T02:11:21Z,60000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,,Restricted Area,0-8 Center,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,
7,PT11M28.00S,2023-12-29T02:11:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,13.222733245729303,36.029411764705884,1610612743,2,0,2023-12-29T02:11:46Z,70000,False,70.0,72.0,1,left,N. Jokic 10' driving floating Jump Shot (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,Jokic,N. Jokic,driving floating,In The Paint (Non-RA),8-16 Right,10.02,Made,,,,,2.0,J. Murray,1627750.0,1.0,,,,,,,,,
9,PT11M16.00S,2023-12-29T02:11:50.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,68.67608409986859,72.05882352941177,1610612763,2,3,2023-12-29T02:11:56Z,90000,False,110.0,242.0,1,right,D. Bane 26' 3PT pullup (3 PTS),[1630217],1610612763.0,MEM,,Bane,D. Bane,pullup,Above the Break 3,24+ Right Center,26.59,Made,,,,,3.0,,,,,,,,,,,,
10,PT10M57.00S,2023-12-29T02:12:08.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631212,8.229303547963205,46.81372549019608,1610612743,2,3,2023-12-29T02:12:22Z,100000,False,16.0,25.0,1,left,MISS P. Watson cutting Layup - blocked,"[1631212, 202687]",1610612743.0,DEN,,Watson,P. Watson,cutting,Restricted Area,0-8 Center,2.95,Missed,,,,,,,,,Biyombo,202687.0,,,,,,,
11,PT10M57.00S,2023-12-29T02:12:08.8Z,1,REGULAR,block,,[],202687,,,1610612743,2,3,2023-12-29T02:12:11Z,110000,False,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612763.0,MEM,,Biyombo,B. Biyombo,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2023-12-29T02:12:10.8Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,2,3,2023-12-29T02:12:22Z,120000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,Williams Jr.,V. Williams Jr.,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M46.00S,2023-12-29T02:12:20.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202687,86.28449408672799,48.03921568627451,1610612763,2,3,2023-12-29T02:12:27Z,130000,False,-10.0,76.0,1,right,MISS B. Biyombo 7' Hook,[202687],1610612763.0,MEM,,Biyombo,B. Biyombo,,In The Paint (Non-RA),0-8 Center,7.7,Missed,,,,,,,,,,,,,,,,,
14,PT10M43.00S,2023-12-29T02:12:23.2Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,2,3,2023-12-29T02:12:27Z,140000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,Murray,J. Murray,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M39.00S,2023-12-29T02:12:32.2Z,1,REGULAR,foul,personal,[],202687,,,1610612743,2,3,2023-12-29T02:12:44Z,150000,False,,,0,,B. Biyombo personal FOUL (1 PF),"[202687, 203999]",1610612763.0,MEM,1626302.0,Biyombo,B. Biyombo,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,0.0,Jokic,203999.0,,,
17,PT10M34.00S,2023-12-29T02:12:58.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,33.590670170827856,45.09803921568628,1610612743,2,3,2023-12-29T02:13:11Z,170000,False,25.0,263.0,1,left,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,Porter Jr.,M. Porter Jr.,,Above the Break 3,24+ Center,26.44,Missed,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2023-12-29T02:12:58.9Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,2,3,2023-12-29T02:13:11Z,180000,False,,,0,,J. Murray REBOUND (Off:1 Def:1),[1627750],1610612743.0,DEN,,Murray,J. Murray,,Above the Break 3,24+ Center,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,,
