actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-08T01:10:55.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-08T01:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-01-08T01:10:56.5Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2024-01-08T01:10:56Z,40000,False,,,0,,Jump Ball J. Duren vs. N. Jokic: Tip to J. Ivey,"[1631093, 1631105, 203999]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Duren,1631105.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-01-08T01:11:13.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631105,92.19776609724047,47.05882352941176,1610612765,0,2,2024-01-08T01:12:19Z,70000,False,-15.0,21.0,1,right,J. Duren Hook (2 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.55,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2024-01-08T01:11:34.1Z,1,REGULAR,foul,personal,['2freethrow'],1630587,,,1610612743,0,2,2024-01-08T01:11:47Z,80000,False,,,0,,I. Livers shooting personal FOUL (1 PF) (Murray 2 FT),"[1630587, 1627750]",1610612765.0,DET,shooting,,,Livers,I. Livers,,,,,In The Paint (Non-RA),0-8 Center,,,,202049.0,1.0,0.0,Murray,1627750.0,,,,,,,,,,,,
10,PT11M19.00S,2024-01-08T01:11:56.6Z,1,REGULAR,freethrow,1 of 2,[],1627750,,,1610612743,1,2,2024-01-08T01:11:56Z,100000,False,,,0,,J. Murray Free Throw 1 of 2 (1 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2024-01-08T01:12:14.7Z,1,REGULAR,freethrow,2 of 2,[],1627750,,,1610612743,2,2,2024-01-08T01:12:14Z,110000,False,,,0,,J. Murray Free Throw 2 of 2 (2 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2024-01-08T01:12:42.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612765,2,2,2024-01-08T01:12:51Z,120000,False,,,0,,DET shot clock Team TURNOVER,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Center,,,,202035.0,,,,,,,,,,,,,,,,
13,PT10M35.00S,2024-01-08T01:13:14.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,3.892904073587385,94.36274509803921,1610612743,2,2,2024-01-08T01:13:20Z,130000,False,-222.0,-16.0,1,left,MISS M. Porter Jr. 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,22.24,Missed,,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2024-01-08T01:13:17.3Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,2,2,2024-01-08T01:13:20Z,140000,False,,,0,,I. Livers REBOUND (Off:0 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Left Corner 3,24+ Left,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M12.00S,2024-01-08T01:13:37.1Z,1,REGULAR,2pt,Jump Shot,[],202711,76.5604467805519,31.127450980392158,1610612765,2,2,2024-01-08T01:13:45Z,150000,False,-94.0,168.0,1,right,MISS B. Bogdanovic 19' step back Shot,[202711],1610612765.0,DET,step back,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Left Center,19.25,Missed,,,,,,,,,,,,,,,,,,
