actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-29T02:10:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-29T02:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-29T02:10:58.3Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-02-29T02:10:58Z,40000,False,,,0,,Jump Ball N. Jokic vs. D. Sabonis: Tip to A. Gordon,"[203932, 203999, 1627734]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-02-29T02:11:06.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,73.53810775295663,18.38235294117647,1610612743,0,0,2024-02-29T02:11:14Z,70000,False,-158.0,196.0,1,right,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-02-29T02:11:12.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2024-02-29T02:11:14Z,80000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2024-02-29T02:11:18.6Z,1,REGULAR,3pt,Jump Shot,[],1631099,35.56176084099869,29.901960784313726,1610612758,0,3,2024-02-29T02:11:28Z,90000,False,100.0,282.0,1,left,K. Murray 29' 3PT  (3 PTS) (D. Mitchell 1 AST),"[1631099, 1630558]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,29.92,Made,,,,,3.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,
11,PT11M14.00S,2024-02-29T02:11:39.1Z,1,REGULAR,3pt,Jump Shot,[],203484,71.82982917214193,20.833333333333336,1610612743,0,3,2024-02-29T02:11:44Z,110000,False,-146.0,212.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2024-02-29T02:11:42.1Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,3,2024-02-29T02:11:44Z,120000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-02-29T02:11:54.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,13.61695137976347,56.86274509803921,1610612758,0,3,2024-02-29T02:13:00Z,130000,False,-34.0,75.0,1,left,MISS H. Barnes 8' turnaround fadeaway Shot,[203084],1610612758.0,SAC,turnaround fadeaway,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),8-16 Center,8.29,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2024-02-29T02:11:59.0Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,3,2024-02-29T02:12:02Z,140000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M52.00S,2024-02-29T02:12:06.3Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,0,3,2024-02-29T02:12:31Z,150000,False,,,0,,J. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627750],1610612743.0,DEN,bad pass,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202035.0,1.0,,,,,,,,
