actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-31T19:41:13.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-31T19:41:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-31T19:41:16.7Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2024-03-31T19:41:16Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Jokic: Tip to D. Mitchell,"[1628378, 1628386, 203999]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2024-03-31T19:41:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,5.995400788436268,46.568627450980394,1610612739,0,2,2024-03-31T19:41:31Z,70000,False,17.0,4.0,1,left,D. Mitchell driving finger roll Layup (2 PTS),[1628378],1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-31T19:41:37.9Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612743,0,2,2024-03-31T19:41:46Z,80000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Gordon 2 FT),"[1630596, 203932]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,1162.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,,,
10,PT11M36.00S,2024-03-31T19:42:07.3Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,0,2,2024-03-31T19:42:07Z,100000,False,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2024-03-31T19:42:07.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,0,2,2024-03-31T19:42:07Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,
12,PT11M36.00S,2024-03-31T19:42:18.2Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,1,2,2024-03-31T19:42:18Z,120000,False,,,0,,A. Gordon Free Throw 2 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2024-03-31T19:42:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,9.543363994743759,59.55882352941176,1610612739,1,4,2024-03-31T19:43:05Z,130000,False,-48.0,37.0,1,left,J. Allen 6' driving Layup (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.06,Made,2.0,,,,,,,D. Garland,1629636.0,1.0,,,,,,,,
15,PT11M00.00S,2024-03-31T19:42:57.1Z,1,REGULAR,2pt,Jump Shot,[],202704,78.40013140604468,66.17647058823529,1610612743,3,4,2024-03-31T19:43:01Z,150000,False,81.0,151.0,1,right,R. Jackson 17' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[202704, 203999]",1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Right Center,17.09,Made,2.0,,,,,,,N. Jokic,203999.0,1.0,,,,,,,,
17,PT10M38.00S,2024-03-31T19:43:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,6.258212877792378,47.05882352941176,1610612739,3,4,2024-03-31T19:43:28Z,170000,False,15.0,6.0,1,left,MISS M. Strus reverse Layup,[1629622],1610612739.0,CLE,reverse,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,1.6,Missed,,,,,,,,,,,,,,,,,,
