actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-15T03:05:59.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-15T03:05:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-15T03:06:02.1Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-11-15T03:06:02Z,40000,False,,,0,,Jump Ball N. Jokic vs. I. Zubac: Tip to A. Gordon,"[203932, 203999, 1627826]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-11-15T03:06:14.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,10.33180026281209,46.07843137254902,1610612743,0,0,2023-11-15T03:06:19Z,70000,False,20.0,45.0,1,left,MISS N. Jokic turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,4.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-11-15T03:06:17.9Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,0,0,2023-11-15T03:06:19Z,80000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2023-11-15T03:06:25.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,93.9060446780552,41.42156862745098,1610612746,0,0,2023-11-15T03:06:31Z,90000,False,-43.0,5.0,1,right,MISS I. Zubac Hook,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,4.32,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2023-11-15T03:06:28.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2023-11-15T03:06:31Z,100000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2023-11-15T03:06:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,7.30946123521682,45.83333333333333,1610612743,0,0,2023-11-15T03:06:41Z,110000,False,21.0,16.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2023-11-15T03:06:39.1Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,0,0,2023-11-15T03:06:41Z,120000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M15.00S,2023-11-15T03:06:43.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202331,90.88370565045992,49.26470588235294,1610612746,0,2,2023-11-15T03:06:50Z,130000,False,-4.0,33.0,1,right,P. George floating Jump Shot (2 PTS),[202331],1610612746.0,LAC,floating,,,George,P. George,,,,,Restricted Area,0-8 Center,3.34,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M51.00S,2023-11-15T03:07:07.7Z,1,REGULAR,turnover,lost ball,[],1629008,,,1610612743,0,2,2023-11-15T03:07:12Z,140000,False,,,0,,M. Porter Jr. lost ball TURNOVER (1 TO),"[1629008, 201566]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Westbrook,201566.0,,,,,,,,,,
