actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-30T02:10:42.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-30T02:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-30T02:10:56.2Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-01-30T02:10:56Z,40000,False,,,0,,Jump Ball N. Jokic vs. B. Lopez: Tip to A. Gordon,"[203932, 203999, 201572]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-01-30T02:11:12.1Z,1,REGULAR,3pt,Jump Shot,[],203999,24.26084099868594,12.745098039215685,1610612743,0,0,2024-01-30T02:11:18Z,70000,False,186.0,176.0,1,left,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-01-30T02:11:16.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2024-01-30T02:11:18Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-01-30T02:11:22.6Z,1,REGULAR,2pt,Jump Shot,[],203507,74.58935611038108,67.64705882352942,1610612749,0,2,2024-01-30T02:11:29Z,90000,False,88.0,186.0,1,right,G. Antetokounmpo 20' pullup Jump Shot (2 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,20.62,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M08.00S,2024-01-30T02:11:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,8.492115637319317,58.57843137254902,1610612743,0,2,2024-01-30T05:51:05Z,100000,False,-43.0,27.0,1,left,MISS M. Porter Jr. driving Layup - blocked,"[1629008, 203114]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.08,Missed,,,,,,Middleton,203114.0,,,,,,,,,,,
11,PT11M08.00S,2024-01-30T02:11:45.0Z,1,REGULAR,block,,[],203114,,,1610612743,0,2,2024-01-30T02:11:49Z,110000,False,,,0,,K. Middleton BLOCK (1 BLK),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2024-01-30T02:11:51.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2024-01-30T02:11:54Z,120000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2024-01-30T02:11:52.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,93.11760840998686,53.67647058823529,1610612749,0,4,2024-01-30T02:12:43Z,130000,False,18.0,12.0,1,right,G. Antetokounmpo running Layup (4 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,4.0,,,,,,,,,,,,,
14,PT10M51.00S,2024-01-30T02:12:01.6Z,1,REGULAR,2pt,Jump Shot,[],203932,18.2161629434954,22.058823529411764,1610612743,0,4,2024-01-30T02:12:12Z,140000,False,140.0,119.0,1,left,MISS A. Gordon 18' turnaround Shot,[203932],1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Right Center,18.33,Missed,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2024-01-30T02:12:01.6Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,4,2024-01-30T02:12:12Z,150000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M38.00S,2024-01-30T02:12:15.0Z,1,REGULAR,3pt,Jump Shot,[],203114,83.52496714848883,4.166666666666666,1610612749,0,7,2024-01-30T02:12:22Z,160000,False,-229.0,102.0,1,right,K. Middleton 25' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[203114, 203507]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,25.1,Made,,,,,3.0,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,
