actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-08T03:06:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-08T03:06:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-08T03:06:12.6Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612743,0,0,2024-03-08T03:06:12Z,40000,False,,,0,,Jump Ball N. Jokic vs. K. Porzingis: Tip to K. Caldwell-Pope,"[203484, 203999, 204001]",1610612743.0,DEN,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Jokic,203999.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-08T03:06:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,93.9060446780552,51.71568627450981,1610612743,2,0,2024-03-08T03:07:02Z,70000,False,9.0,5.0,1,right,M. Porter Jr. cutting Layup (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-03-08T03:06:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,15.588042049934298,44.36274509803921,1610612738,2,0,2024-03-08T03:06:46Z,90000,False,28.0,94.0,1,left,MISS J. Holiday 9' driving floating Shot,[201950],1610612738.0,BOS,driving floating,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,9.81,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2024-03-08T03:06:42.5Z,1,REGULAR,rebound,offensive,[],201950,,,1610612738,2,0,2024-03-08T03:06:46Z,100000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M24.00S,2024-03-08T03:06:46.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,4.155716162943495,95.34313725490196,1610612738,2,0,2024-03-08T03:06:51Z,110000,False,-227.0,-13.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,22.71,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2024-03-08T03:06:50.5Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,2,0,2024-03-08T03:06:51Z,120000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M07.00S,2024-03-08T03:07:02.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,30.831143232588698,65.44117647058823,1610612738,2,3,2024-03-08T03:07:09Z,130000,False,-77.0,237.0,1,left,J. Tatum 24' 3PT  (3 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,24.95,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
15,PT10M45.00S,2024-03-08T03:07:25.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,92.72339027595268,48.28431372549019,1610612743,2,3,2024-03-08T03:07:36Z,150000,False,-9.0,16.0,1,right,MISS J. Murray reverse Layup,[1627750],1610612743.0,DEN,reverse,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.81,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2024-03-08T03:07:26.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,2,3,2024-03-08T03:08:24Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,15.0,,,,,,,,,,,,,
