actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-09T02:12:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-09T02:12:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-09T02:12:57.5Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2023-12-09T02:12:57Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Jokic: Tip to J. Green,"[1630224, 1630578, 203999]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-12-09T02:13:05.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,71.96123521681997,22.058823529411764,1610612745,0,0,2023-12-09T02:13:54Z,70000,False,-140.0,211.0,1,right,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612745.0,HOU,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-12-09T02:13:09.5Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,0,0,2023-12-09T02:13:09Z,80000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:0),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M43.00S,2023-12-09T02:13:10.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,78.13731931668858,11.029411764705882,1610612745,0,0,2023-12-09T02:13:14Z,90000,False,-195.0,153.0,1,right,MISS F. VanVleet 24' 3PT,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,24.78,Missed,,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2023-12-09T02:13:13.4Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612745,0,0,2023-12-09T02:13:14Z,100000,False,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M39.00S,2023-12-09T02:13:14.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,71.69842312746385,73.52941176470588,1610612745,0,0,2023-12-09T02:13:21Z,110000,False,118.0,214.0,1,right,MISS J. Green 24' 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,24.37,Missed,,,,,,,,,,,,,,,,,,
12,PT11M35.00S,2023-12-09T02:13:18.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,0,2023-12-09T02:13:21Z,120000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M24.00S,2023-12-09T02:13:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,11.383048620236531,51.71568627450981,1610612743,0,0,2023-12-09T02:13:34Z,130000,False,-9.0,55.0,1,left,MISS N. Jokic floating Shot,[203999],1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.52,Missed,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2023-12-09T02:13:31.8Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,0,0,2023-12-09T02:13:34Z,140000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
15,PT11M16.00S,2023-12-09T02:13:39.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,93.11760840998686,50.245098039215684,1610612745,0,2,2023-12-09T02:14:01Z,150000,False,1.0,12.0,1,right,A. Sengun driving Layup (2 PTS) (J. Smith Jr. 1 AST),"[1630578, 1631095]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,2.0,J. Smith Jr.,1631095.0,1.0,,,,,,,,,,
17,PT11M16.00S,2023-12-09T02:13:42.2Z,1,REGULAR,foul,personal,['1freethrow'],1627750,,,1610612745,0,2,2023-12-09T02:22:43Z,170000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Sengun 1 FT),"[1627750, 1630578]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1626302.0,1.0,0.0,Sengun,1630578.0,,,,,
19,PT11M16.00S,2023-12-09T02:14:05.1Z,1,REGULAR,freethrow,1 of 1,[],1630578,,,1610612745,0,3,2023-12-09T02:20:33Z,190000,False,,,0,,A. Sengun Free Throw 1 of 1 (3 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
20,PT10M56.00S,2023-12-09T02:14:28.2Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612743,0,3,2023-12-09T02:14:41Z,200000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Jokic 2 FT),"[1630578, 203999]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1179.0,1.0,0.0,Jokic,203999.0,,,,,
22,PT10M56.00S,2023-12-09T02:14:51.6Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,0,3,2023-12-09T02:15:27Z,220000,False,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M56.00S,2023-12-09T02:14:51.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,0,3,2023-12-09T02:15:27Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
