actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-12T01:12:23.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-12T01:12:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-12T01:12:25.3Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-03-12T01:12:25Z,40000,False,,,0,,Jump Ball N. Jokic vs. K. Olynyk: Tip to A. Gordon,"[203932, 203999, 203482]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-03-12T01:12:39.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,0,0,2024-03-12T01:12:47Z,70000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1641711]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Left,1.0,Dick,1641711.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-03-12T01:12:39.5Z,1,REGULAR,steal,,[],1641711,,,1610612761,0,0,2024-03-12T01:12:41Z,80000,False,,,0,,G. Dick STEAL (1 STL),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-03-12T01:12:44.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641711,92.85479632063075,47.30392156862745,1610612761,0,0,2024-03-12T01:13:45Z,90000,False,-13.0,15.0,1,right,MISS G. Dick running finger roll Layup,[1641711],1610612761.0,TOR,running finger roll,,,Dick,G. Dick,,,,,Restricted Area,0-8 Center,,,,2.0,Missed,,,,,,,,,,,,,,,
10,PT11M36.00S,2024-03-12T01:12:46.1Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612761,0,0,2024-03-12T01:13:45Z,100000,False,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M35.00S,2024-03-12T01:12:47.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628971,93.24901445466492,49.754901960784316,1610612761,0,0,2024-03-12T01:13:08Z,110000,False,-1.0,11.0,1,right,MISS B. Brown putback Layup,[1628971],1610612761.0,TOR,putback,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,1.11,Missed,,,,,,,,,,,,,,,
12,PT11M32.00S,2024-03-12T01:12:50.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2024-03-12T01:13:08Z,120000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M24.00S,2024-03-12T01:12:58.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,6.389618922470433,50.245098039215684,1610612743,2,0,2024-03-12T01:16:32Z,130000,False,-1.0,8.0,1,left,A. Gordon driving reverse DUNK (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,driving reverse,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,0.77,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,
15,PT11M12.00S,2024-03-12T01:13:10.3Z,1,REGULAR,3pt,Jump Shot,[],203482,90.3580814717477,96.32352941176471,1610612761,2,3,2024-03-12T01:13:17Z,150000,False,232.0,38.0,1,right,K. Olynyk 3PT  (3 PTS) (B. Brown 1 AST),"[203482, 1628971]",1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,Right Corner 3,24+ Right,,,,23.47,Made,,,,,3.0,B. Brown,1628971.0,1.0,,,,,,,
17,PT10M49.00S,2024-03-12T01:13:33.0Z,1,REGULAR,3pt,Jump Shot,[],203999,31.09395532194481,67.15686274509804,1610612743,2,3,2024-03-12T01:13:37Z,170000,False,-86.0,240.0,1,left,MISS N. Jokic 25' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,25.47,Missed,,,,,,,,,,,,,,,
18,PT10M47.00S,2024-03-12T01:13:35.0Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612761,2,3,2024-03-12T01:13:37Z,180000,False,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,
19,PT10M40.00S,2024-03-12T01:13:43.0Z,1,REGULAR,3pt,Jump Shot,[],203482,67.62483574244416,52.94117647058824,1610612761,2,3,2024-03-12T01:19:07Z,190000,False,15.0,252.0,1,right,MISS K. Olynyk 25' 3PT,[203482],1610612761.0,TOR,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,,,,25.22,Missed,,,,,,,,,,,,,,,
20,PT10M36.00S,2024-03-12T01:13:47.0Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,3,2024-03-12T01:13:49Z,200000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT10M26.00S,2024-03-12T01:13:56.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,13.485545335085414,48.28431372549019,1610612743,4,3,2024-03-12T01:14:01Z,210000,False,9.0,74.0,1,left,N. Jokic 7' floating Jump Shot (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,7.48,Made,,,,,2.0,J. Murray,1627750.0,1.0,,,,,,,
23,PT10M18.00S,2024-03-12T01:14:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,92.59198423127464,46.32352941176471,1610612761,4,3,2024-03-12T01:14:09Z,230000,False,-18.0,17.0,1,right,MISS K. Olynyk driving Layup,[203482],1610612761.0,TOR,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,2.51,Missed,,,,,,,,,,,,,,,
24,PT10M16.00S,2024-03-12T01:14:05.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,3,2024-03-12T01:14:09Z,240000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,
25,PT10M03.00S,2024-03-12T01:14:19.7Z,1,REGULAR,foul,personal,['2freethrow'],203482,,,1610612743,4,3,2024-03-12T01:15:12Z,250000,False,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Gordon 2 FT),"[203482, 203932]",1610612761.0,TOR,shooting,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,201638.0,1.0,0.0,Gordon,203932.0,,
27,PT10M03.00S,2024-03-12T01:14:48.7Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,5,3,2024-03-12T01:15:08Z,270000,False,,,0,,A. Gordon Free Throw 1 of 2 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
28,PT10M03.00S,2024-03-12T01:14:48.7Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,6,3,2024-03-12T01:15:08Z,280000,False,,,0,,A. Gordon Free Throw 2 of 2 (4 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,
29,PT09M50.00S,2024-03-12T01:15:14.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629628,91.40932982917214,47.05882352941176,1610612761,6,5,2024-03-12T01:15:20Z,290000,False,-15.0,28.0,1,right,R. Barrett driving DUNK (2 PTS) (K. Olynyk 1 AST),"[1629628, 203482]",1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,3.19,Made,,,,,2.0,K. Olynyk,203482.0,1.0,,,,,,,
30,PT09M37.00S,2024-03-12T01:15:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,7.30946123521682,48.03921568627451,1610612743,8,5,2024-03-12T01:15:40Z,300000,False,10.0,16.0,1,left,A. Gordon driving Layup (6 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,1.89,Made,,,,,6.0,,,,,,,,,,
32,PT09M37.00S,2024-03-12T01:15:32.9Z,1,REGULAR,foul,personal,['1freethrow'],1629628,,,1610612743,8,5,2024-03-12T01:15:47Z,320000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Gordon 1 FT),"[1629628, 203932]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,204059.0,1.0,0.0,Gordon,203932.0,,
35,PT09M37.00S,2024-03-12T01:15:58.6Z,1,REGULAR,freethrow,1 of 1,[],203932,,,1610612743,8,5,2024-03-12T01:16:05Z,340000,False,,,0,,MISS A. Gordon Free Throw 1 of 1,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
36,PT09M31.00S,2024-03-12T01:16:04.6Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,8,5,2024-03-12T01:16:05Z,350000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,
37,PT09M26.00S,2024-03-12T01:16:07.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203999,12.434296977660972,46.07843137254902,1610612743,8,5,2024-03-12T01:17:26Z,360000,False,20.0,64.0,1,left,MISS N. Jokic 6' Hook - blocked,"[203999, 1630534]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,6.73,Missed,,,,,,,,,,,,,,Agbaji,1630534.0
38,PT09M26.00S,2024-03-12T01:16:07.3Z,1,REGULAR,block,,[],1630534,,,1610612743,8,5,2024-03-12T01:17:00Z,370000,False,,,0,,O. Agbaji BLOCK (1 BLK),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M25.00S,2024-03-12T01:16:08.3Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,8,5,2024-03-12T01:17:26Z,380000,False,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,37.0,3.0,2.0,1.0,,,,,,,,,,,
