actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-21T03:03:17.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-21T03:03:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-21T03:03:20.7Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612743,0,0,2022-12-21T03:03:20Z,40000,False,,,0,,Jump Ball A. Gordon vs. S. Adams: Tip to K. Caldwell-Pope,"[203484, 203932, 203500]",1610612743.0,DEN,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Gordon,203932.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-12-21T03:03:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,9.674770039421814,50.245098039215684,1610612743,0,0,2022-12-21T03:03:42Z,70000,False,-1.0,38.0,1,left,MISS A. Gordon cutting Layup,[203932],1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.84,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-12-21T03:03:40.9Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,0,2022-12-21T03:03:42Z,80000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2022-12-21T03:03:40.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,5.590000152587891,50.0,1610612743,2,0,2022-12-21T03:03:40Z,90000,False,0.0,0.0,1,left,A. Gordon tip Layup (2 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M28.00S,2022-12-21T03:03:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,93.11760840998686,55.392156862745104,1610612763,2,0,2022-12-21T03:03:55Z,100000,False,27.0,12.0,1,right,MISS D. Brooks cutting Layup - blocked,"[1628415, 203932]",1610612763.0,MEM,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.96,Missed,,,,,,Gordon,203932.0,,,,,,,,,,,
11,PT11M28.00S,2022-12-21T03:03:48.8Z,1,REGULAR,block,,[],203932,,,1610612763,2,0,2022-12-21T03:03:50Z,110000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2022-12-21T03:03:50.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,0,2022-12-21T03:03:55Z,120000,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT11M16.00S,2022-12-21T03:04:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,7.046649145860711,41.17647058823529,1610612743,2,0,2022-12-21T03:04:04Z,130000,False,44.0,14.0,1,left,MISS B. Brown driving finger roll Layup,[1628971],1610612743.0,DEN,driving finger roll,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-12-21T03:04:03.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,2,0,2022-12-21T03:04:04Z,140000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
