actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-26T03:51:14.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-26T03:51:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-26T03:51:17.7Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2022-12-26T03:51:17Z,40000,False,,,0,,Jump Ball N. Jokic vs. D. Ayton: Tip to J. Murray,"[1627750, 203999, 1629028]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokic,203999.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-12-26T03:51:37.3Z,1,REGULAR,2pt,Jump Shot,[],203999,12.565703022339028,17.647058823529413,1610612743,2,0,2022-12-26T03:51:44Z,70000,False,162.0,66.0,1,left,N. Jokic 17' Jump Shot (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Right,17.46,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-12-26T03:51:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,82.60512483574244,37.00980392156863,1610612756,2,0,2022-12-26T03:52:01Z,90000,False,-65.0,111.0,1,right,MISS C. Paul 12' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,12.86,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-12-26T03:51:57.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,2,0,2022-12-26T03:52:01Z,100000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M06.00S,2022-12-26T03:52:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,7.966491458607096,43.872549019607845,1610612743,2,0,2022-12-26T03:52:15Z,110000,False,31.0,22.0,1,left,MISS A. Gordon Layup - blocked,"[203932, 1629028]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,Ayton,1629028.0,,,,,,,,,,,
12,PT11M06.00S,2022-12-26T03:52:08.4Z,1,REGULAR,block,,[],1629028,,,1610612743,2,0,2022-12-26T03:52:11Z,120000,False,,,0,,D. Ayton BLOCK (1 BLK),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-12-26T03:52:10.4Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,2,0,2022-12-26T03:52:15Z,130000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT11M04.00S,2022-12-26T03:52:15.4Z,1,REGULAR,turnover,traveling,[],1627750,,,1610612743,2,0,2022-12-26T03:52:21Z,140000,False,,,0,,J. Murray traveling TURNOVER (1 TO),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,2005.0,1.0,,,,,,,,,
15,PT10M38.00S,2022-12-26T03:52:53.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626164,91.27792378449409,50.98039215686274,1610612756,2,2,2022-12-26T03:52:59Z,150000,False,5.0,29.0,1,right,D. Booker driving finger roll Layup (2 PTS),[1626164],1610612756.0,PHX,driving finger roll,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,2.99,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M16.00S,2022-12-26T03:53:16.0Z,1,REGULAR,3pt,Jump Shot,[],203999,31.225361366622867,65.19607843137256,1610612743,5,2,2022-12-26T03:53:22Z,160000,False,-76.0,241.0,1,left,N. Jokic 25' 3PT  (5 PTS) (K. Caldwell-Pope 1 AST),"[203999, 203484]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,25.27,Made,5.0,,,,,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,,
18,PT10M01.00S,2022-12-26T03:53:30.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,72.35545335085413,48.77450980392157,1610612756,5,2,2022-12-26T03:53:35Z,180000,False,-6.0,207.0,1,right,MISS D. Booker 20' Jump Shot,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,20.75,Missed,,,,,,,,,,,,,,,,,,
19,PT09M59.00S,2022-12-26T03:53:32.3Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,5,2,2022-12-26T03:53:35Z,190000,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Center,,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,
20,PT09M54.00S,2022-12-26T03:53:37.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,27.808804204993432,79.41176470588235,1610612743,8,2,2022-12-26T03:54:57Z,200000,False,-147.0,209.0,1,left,A. Gordon 25' 3PT running pullup (3 PTS),[203932],1610612743.0,DEN,running pullup,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,25.55,Made,3.0,,,,,,,,,,,,,,,,,
21,PT09M42.00S,2022-12-26T03:53:50.0Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612756,8,2,2022-12-26T03:53:59Z,210000,False,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 1627750]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1.0,,,,Murray,1627750.0,,,,
24,PT09M42.00S,2022-12-26T03:53:50.0Z,1,REGULAR,steal,,[],1627750,,,1610612743,8,2,2022-12-26T03:53:59Z,215000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
22,PT09M36.00S,2022-12-26T03:53:56.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203999,11.826544021024972,51.69270833333333,1610612743,8,2,2022-12-26T03:56:00Z,220000,False,-8.0,59.0,1,left,MISS N. Jokic running Shot,[203999],1610612743.0,DEN,running,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.93,Missed,,,,,,,,,,,,,,,,,,
23,PT09M35.00S,2022-12-26T03:53:57.4Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,8,2,2022-12-26T04:03:43Z,230000,False,,,0,,A. Gordon REBOUND (Off:2 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,22.0,3.0,1.0,2.0,,,,,,,,,,,,,
64,PT09M34.00S,2022-12-26T03:53:58.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203932,7.276609724047319,53.67647058823529,1610612743,8,2,2022-12-26T04:04:18Z,235000,False,-18.0,16.0,1,left,MISS A. Gordon putback Layup - blocked,"[203932, 1628969]",1610612743.0,DEN,putback,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.43,Missed,,,,,,Bridges,1628969.0,,,,,,,,,,,
65,PT09M34.00S,2022-12-26T03:53:58.0Z,1,REGULAR,block,,[],1628969,,,1610612743,8,2,2022-12-26T04:02:08Z,237500,False,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
66,PT09M34.00S,2022-12-26T03:53:58.0Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,8,2,2022-12-26T04:03:39Z,238750,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Right,,,,64.0,1.0,0.0,1.0,,,,,,,,,,,,,
25,PT09M34.00S,2022-12-26T03:53:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203999,8.229303547963205,50.49019607843137,1610612743,10,2,2022-12-26T04:02:08Z,240000,False,-2.0,25.0,1,left,N. Jokic putback Layup (7 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,2.5,Made,7.0,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2022-12-26T03:54:11.0Z,1,REGULAR,foul,personal,['1freethrow'],1628969,,,1610612743,10,2,2022-12-26T03:54:23Z,250000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Jokic 1 FT),"[1628969, 203999]",1610612756.0,PHX,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,202026.0,,,,,,,1.0,0.0,Jokic,203999.0
28,PT09M34.00S,2022-12-26T03:54:31.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",203999,,,1610612743,11,2,2022-12-26T04:02:08Z,270000,False,,,0,,N. Jokic Free Throw 1 of 1 (8 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
