actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-16T01:11:28.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-16T01:11:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-16T01:11:30.9Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-01-16T01:11:30Z,40000,False,,,0,,Jump Ball N. Jokic vs. W. Carter Jr.: Tip to A. Gordon,"[203932, 203999, 1628976]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-16T01:11:46.6Z,1,REGULAR,2pt,Jump Shot,[],1627750,86.5473061760841,76.22549019607843,1610612743,0,0,2023-01-16T01:11:53Z,70000,False,131.0,74.0,1,right,MISS J. Murray 15' fadeaway Shot,[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Right,15.05,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-01-16T01:11:51.6Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,0,0,2023-01-16T01:11:53Z,80000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-16T01:11:58.5Z,1,REGULAR,3pt,Jump Shot,[],1630532,29.25427069645204,16.666666666666664,1610612753,0,0,2023-01-16T01:12:03Z,90000,False,167.0,222.0,1,left,MISS F. Wagner 27' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,27.8,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2023-01-16T01:12:00.5Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,0,0,2023-01-16T01:12:03Z,100000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2023-01-16T01:12:10.9Z,1,REGULAR,2pt,Jump Shot,[],203932,86.81011826544021,21.813725490196077,1610612743,0,0,2023-01-16T01:12:17Z,110000,False,-141.0,71.0,1,right,MISS A. Gordon 15' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,15.8,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-01-16T01:12:13.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2023-01-16T01:12:17Z,120000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M00.00S,2023-01-16T01:12:27.3Z,1,REGULAR,2pt,Jump Shot,[],1628365,20.844283837056505,41.17647058823529,1610612753,0,2,2023-01-16T01:12:47Z,130000,False,44.0,143.0,1,left,M. Fultz 15' pullup Jump Shot (2 PTS),[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Center,15.0,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M34.00S,2023-01-16T01:12:53.9Z,1,REGULAR,2pt,Jump Shot,[],203999,79.31997371879106,36.029411764705884,1610612743,2,2,2023-01-16T01:12:58Z,150000,False,-70.0,142.0,1,right,N. Jokic 15' turnaround fadeaway Jump Shot (2 PTS),[203999],1610612743.0,DEN,turnaround fadeaway,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Center,15.82,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M24.00S,2023-01-16T01:13:06.2Z,1,REGULAR,foul,offensive,[],1628365,,,1610612753,2,2,2023-01-16T01:13:17Z,160000,False,,,0,,M. Fultz offensive FOUL (1 PF),"[1628365, 203484]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Left Center,,,,,,,,201638.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,
18,PT10M24.00S,2023-01-16T01:13:06.2Z,1,REGULAR,turnover,offensive foul,[],1628365,,,1610612753,2,2,2023-01-16T01:13:06Z,180000,False,,,0,,M. Fultz offensive foul TURNOVER (1 TO),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Left Center,,,,,,,,201638.0,,,,,1.0,,,,,,,
19,PT10M02.00S,2023-01-16T01:13:43.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203932,84.57621550591328,42.40196078431372,1610612743,4,2,2023-01-16T01:14:01Z,190000,False,-38.0,92.0,1,right,A. Gordon 10' bank Hook (2 PTS),[203932],1610612743.0,DEN,bank,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,10.0,Made,,,,,2.0,,,,,,,,,,,,,
20,PT09M38.00S,2023-01-16T01:14:07.2Z,1,REGULAR,3pt,Jump Shot,[],1631094,6.1268068331143235,95.34313725490196,1610612753,4,5,2023-01-16T01:14:11Z,200000,False,-227.0,5.0,1,left,P. Banchero 3PT  (3 PTS) (M. Fultz 1 AST),"[1631094, 1628365]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Left Corner 3,24+ Left,22.68,Made,,,,,3.0,,,,,,,M. Fultz,1628365.0,1.0,,,,
23,PT09M24.00S,2023-01-16T01:14:34.7Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,4,5,2023-01-16T01:15:56Z,230000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1631094]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,,,,Banchero,1631094.0,,
24,PT09M24.00S,2023-01-16T01:14:34.7Z,1,REGULAR,steal,,[],1631094,,,1610612753,4,5,2023-01-16T01:14:36Z,240000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M19.00S,2023-01-16T01:14:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631094,8.09789750328515,40.19607843137255,1610612753,4,5,2023-01-16T01:15:26Z,250000,False,49.0,24.0,1,left,MISS P. Banchero running finger roll Layup - blocked,"[1631094, 1629008]",1610612753.0,ORL,running finger roll,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.44,Missed,,,,,,,,,,,,,,,,,Porter Jr.,1629008.0
26,PT09M19.00S,2023-01-16T01:14:39.2Z,1,REGULAR,block,,[],1629008,,,1610612753,4,5,2023-01-16T01:14:42Z,260000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M16.00S,2023-01-16T01:14:42.2Z,1,REGULAR,rebound,offensive,[],203914,,,1610612753,4,5,2023-01-16T01:14:56Z,270000,False,,,0,,G. Harris REBOUND (Off:1 Def:0),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M14.00S,2023-01-16T01:14:44.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630532,26.757555847568987,13.725490196078432,1610612753,4,5,2023-01-16T01:14:59Z,280000,False,181.0,199.0,1,left,MISS F. Wagner 26' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,26.93,Missed,,,,,,,,,,,,,,,,,,
29,PT09M13.00S,2023-01-16T01:14:45.5Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,5,2023-01-16T01:14:59Z,290000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M04.00S,2023-01-16T01:14:55.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,84.97043363994744,2.941176470588235,1610612743,7,5,2023-01-16T01:15:01Z,300000,False,-235.0,89.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,25.15,Made,,,,,3.0,,,,,,,N. Jokic,203999.0,1.0,,,,
32,PT08M48.00S,2023-01-16T01:15:10.1Z,1,REGULAR,3pt,Jump Shot,[],1628365,9.017739816031538,96.07843137254902,1610612753,7,8,2023-01-16T01:15:14Z,320000,False,-230.0,32.0,1,left,M. Fultz 3PT  (5 PTS) (G. Harris 1 AST),"[1628365, 203914]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Left Corner 3,24+ Left,23.27,Made,,,,,5.0,,,,,,,G. Harris,203914.0,1.0,,,,
