actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-07T02:10:56.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-07T02:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-07T02:10:58.3Z,1,REGULAR,jumpball,recovered,[],1627832,,,1610612761,0,0,2023-03-07T02:10:58Z,40000,False,,,0,,Jump Ball J. Poeltl vs. N. Jokic: Tip to F. VanVleet,"[1627832, 1627751, 203999]",1610612761.0,TOR,startperiod,F. VanVleet,1627832.0,VanVleet,F. VanVleet,Poeltl,1627751.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-03-07T02:11:16.4Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612761,0,0,2023-03-07T02:11:23Z,80000,False,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,1162.0,,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-03-07T02:11:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,18.873193166885677,38.23529411764706,1610612761,0,0,2023-03-07T02:11:40Z,90000,False,59.0,125.0,1,left,MISS S. Barnes 13' turnaround fadeaway Shot - blocked,"[1630567, 203932]",1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,,In The Paint (Non-RA),8-16 Center,13.8,Missed,Gordon,203932.0,,,,,,,,,,,,,,,
10,PT11M39.00S,2023-03-07T02:11:36.3Z,1,REGULAR,block,,[],203932,,,1610612761,0,0,2023-03-07T02:11:38Z,100000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2023-03-07T02:11:39.3Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,0,0,2023-03-07T02:11:40Z,110000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,In The Paint (Non-RA),8-16 Center,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M26.00S,2023-03-07T02:11:49.0Z,1,REGULAR,3pt,Jump Shot,[],203932,87.99277266754271,3.431372549019608,1610612743,0,0,2023-03-07T02:11:55Z,120000,False,-233.0,60.0,1,right,MISS A. Gordon 24' step back 3PT,[203932],1610612743.0,DEN,step back,,,Gordon,A. Gordon,,,,,,Left Corner 3,24+ Left,24.05,Missed,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2023-03-07T02:11:53.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2023-03-07T02:11:55Z,130000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Left Corner 3,24+ Left,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M14.00S,2023-03-07T02:12:00.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,9.543363994743759,40.931372549019606,1610612761,0,2,2023-03-07T02:12:07Z,140000,False,45.0,37.0,1,left,J. Poeltl turnaround Hook (2 PTS) (P. Siakam 1 AST),"[1627751, 1627783]",1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),0-8 Center,5.86,Made,,,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,,,
16,PT10M56.00S,2023-03-07T02:12:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.9862023653088,55.14705882352941,1610612743,2,2,2023-03-07T02:12:29Z,160000,False,26.0,13.0,1,right,A. Gordon reverse Layup (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,,Restricted Area,0-8 Center,2.9,Made,,,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,
