actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-02T01:11:04.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-02T01:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-02T01:11:06.3Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-01-02T01:11:06Z,40000,False,,,0,,Jump Ball N. Jokic vs. A. Horford: Tip to A. Gordon,"[203932, 203999, 201143]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-02T01:11:18.7Z,1,REGULAR,2pt,Jump Shot,[],203999,90.09526938239159,77.69607843137256,1610612743,0,0,2023-01-02T01:11:23Z,70000,False,138.0,41.0,1,right,MISS N. Jokic 14' Jump Shot,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,14.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-01-02T01:11:20.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2023-01-02T01:11:23Z,80000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-02T01:11:34.6Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,0,0,2023-01-02T01:11:39Z,90000,False,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,,,,,,,1662.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2023-01-02T01:11:57.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629008,82.34231274638634,76.22549019607843,1610612743,2,0,2023-01-02T01:12:03Z,100000,False,131.0,113.0,1,right,M. Porter Jr. 17' pullup Jump Shot (2 PTS) (K. Caldwell-Pope 1 AST),"[1629008, 203484]",1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,17.34,Made,,,,,,,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,
12,PT10M59.00S,2023-01-02T01:12:10.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,30.436925098554536,72.54901960784314,1610612738,2,3,2023-01-02T01:12:17Z,120000,False,-113.0,234.0,1,left,J. Brown 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.94,Made,,,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,
14,PT10M41.00S,2023-01-02T01:12:29.2Z,1,REGULAR,2pt,Jump Shot,[],203484,74.72076215505913,57.59803921568627,1610612743,2,3,2023-01-02T01:12:35Z,140000,False,38.0,185.0,1,right,MISS K. Caldwell-Pope 18' pullup Shot,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,18.9,Missed,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2023-01-02T01:12:32.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,3,2023-01-02T01:12:35Z,160000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M33.00S,2023-01-02T01:12:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.5722733245729295,54.90196078431373,1610612738,2,5,2023-01-02T01:12:44Z,170000,False,-25.0,19.0,1,left,J. Brown driving Layup (5 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.08,Made,,,,,,,5.0,J. Tatum,1628369.0,1.0,,,,,,,,
18,PT10M23.00S,2023-01-02T01:12:47.1Z,1,REGULAR,3pt,Jump Shot,[],1628971,67.09921156373193,52.69607843137255,1610612743,5,5,2023-01-02T01:12:55Z,180000,False,13.0,257.0,1,right,B. Brown 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[1628971, 203999]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,25.72,Made,,,,,,,3.0,N. Jokic,203999.0,1.0,,,,,,,,
