actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2023-02-08T02:11:23.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-08T02:11:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-08T02:11:25.7Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612743,0,0,2023-02-08T02:11:25Z,40000,False,,,0,,Jump Ball N. Jokic vs. R. Gobert: Tip to B. Brown,"[1628971, 203999, 203497]",1610612743.0,DEN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Jokic,203999.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-02-08T02:11:40.3Z,1,REGULAR,2pt,Jump Shot,[],203932,79.05716162943496,30.392156862745097,1610612743,0,0,2023-02-08T02:11:52Z,70000,False,-98.0,144.0,1,right,MISS A. Gordon 17' Jump Shot,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,17.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-02-08T02:11:42.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,0,2023-02-08T02:11:52Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Mid-Range,16-24 Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2023-02-08T02:12:02.9Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,0,0,2023-02-08T02:13:38Z,100000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 203932]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Gordon,203932.0,,,,,,,,,,,,,,
11,PT11M29.00S,2023-02-08T02:12:02.9Z,1,REGULAR,steal,,[],203932,,,1610612743,0,0,2023-02-08T02:12:06Z,110000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2023-02-08T02:12:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203484,92.9862023653088,56.372549019607845,1610612743,2,0,2023-02-08T02:12:18Z,120000,False,32.0,13.0,1,right,K. Caldwell-Pope running Layup (2 PTS) (A. Gordon 1 AST),"[203484, 203932]",1610612743.0,DEN,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,3.46,Made,,,,,2.0,A. Gordon,203932.0,1.0,,,,,,,,,,
14,PT11M09.00S,2023-02-08T02:12:23.2Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.6484888304862,70.34313725490196,1610612750,2,3,2023-02-08T02:13:38Z,140000,False,-102.0,226.0,1,left,D. Russell 24' 3PT pullup (3 PTS) (J. McDaniels 1 AST),"[1626156, 1630183]",1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,24.8,Made,,,,,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,
16,PT10M48.00S,2023-02-08T02:12:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,86.94152431011827,50.49019607843137,1610612743,4,3,2023-02-08T02:13:08Z,160000,False,2.0,70.0,1,right,N. Jokic 7' floating Jump Shot (2 PTS) (A. Gordon 2 AST),"[203999, 203932]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,7.02,Made,,,,,2.0,A. Gordon,203932.0,2.0,,,,,,,,,,
18,PT10M48.00S,2023-02-08T02:12:48.9Z,1,REGULAR,foul,personal,['1freethrow'],1629675,,,1610612743,4,3,2023-02-08T02:13:11Z,180000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Jokic 1 FT),"[1629675, 203999]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202027.0,1.0,0.0,Jokic,203999.0,,,,,
20,PT10M48.00S,2023-02-08T02:13:12.9Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,5,3,2023-02-08T02:13:12Z,200000,False,,,0,,N. Jokic Free Throw 1 of 1 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
21,PT10M36.00S,2023-02-08T02:13:26.1Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,5,3,2023-02-08T02:13:30Z,210000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 203932]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Gordon,203932.0,,,,,,,,,,,,,,
22,PT10M36.00S,2023-02-08T02:13:26.1Z,1,REGULAR,steal,,[],203932,,,1610612743,5,3,2023-02-08T02:13:27Z,220000,False,,,0,,A. Gordon STEAL (2 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M33.00S,2023-02-08T02:13:30.4Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,5,3,2023-02-08T02:13:37Z,230000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,,1.0,,,,,,,202027.0,,,,,,,,,
25,PT10M26.00S,2023-02-08T02:13:41.2Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,5,3,2023-02-08T02:13:45Z,250000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1629008]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,1.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,
26,PT10M26.00S,2023-02-08T02:13:41.2Z,1,REGULAR,steal,,[],1629008,,,1610612743,5,3,2023-02-08T02:13:42Z,260000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
